draw,rebalance_date,macro_source_date,temperature,max_tokens,parse_ok,inflation,growth,credit_stress,policy,risk_appetite,latency_s,error,reply_text
16,2020-03-02,2020-02-29,0.0,2048,False,,,,,,1.3,LMHTTPError: Model openai/gpt-oss-20b request failed after 2 attempt(s): 429 Client Error: Too Many Requests for url: https://integrate.api.nvidia.com/v1/chat/completions,
1,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.9,-0.8,-0.6,6.11,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.9, ""policy"": -0.8, ""risk_appetite"": -0.6}"
19,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.3,0.6,0.7,-0.8,6.1,,"{""inflation"": 0.8, ""growth"": -0.3, ""credit_stress"": 0.6, ""policy"": 0.7, ""risk_appetite"": -0.8}"
21,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.6,6.65,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.6}"
14,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.4,0.9,0.7,-0.6,6.73,,"{""inflation"": 0.8, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.6}"
24,2020-03-02,2020-02-29,0.0,2048,True,0.8,0.3,0.9,0.7,-0.7,5.47,,"{""inflation"": 0.8, ""growth"": 0.3, ""credit_stress"": 0.9, ""policy"": 0.7, ""risk_appetite"": -0.7}"
15,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.98,0.7,-0.8,7.43,,"```json
{
  ""inflation"": 0.85,
  ""growth"": 0.40,
  ""credit_stress"": 0.98,
  ""policy"": 0.70,
  ""risk_appetite"": -0.80
}
```"
0,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.9,0.6,-0.7,8.64,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.6, ""risk_appetite"": -0.7}"
3,2020-03-02,2020-02-29,0.0,2048,True,0.8,-0.7,0.8,-0.6,-0.7,10.82,,"{""inflation"": 0.8, ""growth"": -0.7, ""credit_stress"": 0.8, ""policy"": -0.6, ""risk_appetite"": -0.7}"
9,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.43,0.95,-0.8,-0.7,11.4,,"{""inflation"": 0.85, ""growth"": 0.43, ""credit_stress"": 0.95, ""policy"": -0.8, ""risk_appetite"": -0.7}"
7,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.98,-0.5,-0.7,11.89,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.98, ""policy"": -0.5, ""risk_appetite"": -0.7}"
23,2020-03-02,2020-02-29,0.0,2048,True,0.85,0.4,0.9,0.8,-0.8,11.87,,"{""inflation"": 0.85, ""growth"": 0.4, ""credit_stress"": 0.9, ""policy"": 0.8, ""risk_appetite"": -0.8}"
