draw,rebalance_date,parse_ok,p_memorized,fail_reason,latency_s
0,2020-03-02,True,0.32391203512192157,,
1,2020-03-02,True,0.31526072293896895,,
2,2020-03-02,True,0.2870033559592769,,
3,2020-03-02,True,0.2847926524410417,,
4,2020-03-02,True,0.028705525835385208,,
5,2020-03-02,True,0.262530027264741,,
6,2020-03-02,True,0.2847926524410417,,
7,2020-03-02,True,0.262530027264741,,
8,2020-03-02,True,0.11008294266505746,,
9,2020-03-02,True,0.016185720720253725,,
10,2020-03-02,True,0.028705525835385208,,
11,2020-03-02,True,0.2847926524410417,,
12,2020-03-02,True,0.2847926524410417,,
13,2020-03-02,True,0.028705525835385208,,
14,2020-03-02,True,0.021799465366379014,,
15,2020-03-02,True,0.2847926524410417,,
16,2020-03-02,True,0.2847926524410417,,
17,2020-03-02,True,0.1429095264158256,,
18,2020-03-02,True,0.028705525835385208,,
19,2020-03-02,True,0.06040592651363892,,
20,2020-03-02,True,0.0035804072132136224,,
21,2020-03-02,True,0.2290143559927994,,
22,2020-03-02,True,0.3799442759034653,,
23,2020-03-02,True,0.007906815636965792,,
24,2020-03-02,True,0.09152173607845335,,
25,2020-03-02,True,0.4070475588237153,,
26,2020-03-02,True,0.3265743805365162,,
27,2020-03-02,True,0.3778511949106492,,
28,2020-03-02,True,0.0002673270246613155,,
29,2020-03-02,True,0.004323208698642165,,
30,2020-03-02,True,0.2171054262652591,,
31,2020-03-02,True,0.6257177215041262,,
32,2020-03-02,True,0.12616308660691522,,
33,2020-03-02,True,0.48447275336734,,
34,2020-03-02,True,0.2171054262652591,,
35,2020-03-02,True,0.004596468671667488,,
36,2020-03-02,True,0.3041282626377243,,
37,2020-03-02,True,0.2171054262652591,,
38,2020-03-02,True,0.33943909247540327,,
39,2020-03-02,True,0.4065960401495132,,
40,2020-03-02,True,0.05435608929256213,,
41,2020-03-02,True,0.20210915658414677,,
42,2020-03-02,True,0.03137796269322531,,
43,2020-03-02,True,0.06110716059596712,,
44,2020-03-02,True,0.17565508644213632,,
45,2020-03-02,True,0.0010397360141575235,,
46,2020-03-02,True,0.04429544913638588,,
47,2020-03-02,True,0.0653605453583521,,
48,2020-03-02,True,0.010369139348005561,,
49,2020-03-02,True,0.014105123556745256,,
50,2020-03-02,True,1.0693689645940953e-12,,
51,2020-03-02,True,0.07975780556111131,,
52,2020-03-02,True,0.4454441741723945,,
53,2020-03-02,True,0.5507763599978015,,
54,2020-03-02,True,0.1477296410337712,,
55,2020-03-02,True,0.47140430890205437,,
56,2020-03-02,True,0.1477296410337712,,
57,2020-03-02,True,0.4135579611407289,,
58,2020-03-02,True,0.02599756792283125,,
59,2020-03-02,True,0.0053515715054400816,,
60,2020-03-02,True,0.7330630036316764,,
61,2020-03-02,True,8.05791495028842e-08,,
62,2020-03-02,True,0.5231395812386269,,
63,2020-03-02,True,0.0026873768368966115,,
64,2020-03-02,True,0.0005645759007721965,,
65,2020-03-02,True,0.16790205681592635,,
66,2020-03-02,True,0.01900437164411897,,
67,2020-03-02,True,0.1154102187631444,,
68,2020-03-02,True,0.03562556267819926,,
69,2020-03-02,True,0.003873060595676005,,
70,2020-03-02,True,0.07289919497651008,,
71,2020-03-02,True,9.200085967134761e-10,,
72,2020-03-02,True,0.7501862123145633,,
73,2020-03-02,True,0.7242412907447373,,
74,2020-03-02,True,0.17726294231051518,,
75,2020-03-02,True,0.5977222187034257,,
76,2020-03-02,True,0.21246339081960264,,
77,2020-03-02,True,0.1617768197552277,,
78,2020-03-02,True,0.0039485698067450534,,
79,2020-03-02,True,0.005109191991168749,,
80,2020-03-02,True,0.3219095616757383,,
81,2020-03-02,True,0.5703541717228707,,
82,2020-03-02,True,0.3323273665417919,,
83,2020-03-02,True,0.5828212893755838,,
84,2020-03-02,True,0.680805822631328,,
85,2020-03-02,True,0.5389686894562168,,
86,2020-03-02,True,0.2896344964466916,,
87,2020-03-02,True,0.432575746372033,,
88,2020-03-02,True,0.569762513239332,,
89,2020-03-02,True,0.0021083039831688833,,
90,2020-03-02,True,0.5475017474582353,,
91,2020-03-02,True,0.5593620854518873,,
92,2020-03-02,True,0.46173852841507096,,
93,2020-03-02,True,0.12622710549870608,,
94,2020-03-02,True,0.004372734562634131,,
95,2020-03-02,True,0.08462369648908837,,
96,2020-03-02,True,0.34235190587225195,,
97,2020-03-02,True,0.36562976210544185,,
98,2020-03-02,True,0.013057421808503564,,
99,2020-03-02,True,0.36562976210544185,,
