block;axis;mean;median;sd;min;max;range;IQR;p05;p95;mode;mode_share;sign_agreement
loading_axis;inflation;0,823490;0,800000;0,032693;0,700000;0,950000;0,250000;0,050000;0,800000;0,850000;0,800000;0,518936;1,000000
loading_axis;growth;-0,503644;-0,600000;0,369662;-0,980000;0,500000;1,480000;0,300000;-0,900000;0,400000;-0,700000;0,202661;0,874104
loading_axis;credit_stress;0,613910;0,600000;0,292963;-0,980000;1,000000;1,980000;0,470000;0,400000;0,900000;0,900000;0,208802;0,976459
loading_axis;policy;0,142098;0,500000;0,659584;-0,980000;0,980000;1,960000;1,300000;-0,900000;0,850000;0,700000;0,205732;0,632549
loading_axis;risk_appetite;-0,661904;-0,700000;0,169707;-0,980000;0,800000;1,780000;0,110000;-0,800000;-0,500000;-0,700000;0,377687;0,986694
decision;model_share_defensive;0,985670;;;;;;;;;;;
decision;null_share_defensive;0,500115;;;;;;;;;;;
decision;model_mean_spread;6,773186;;;;;;;;;;;
decision;model_sd_spread;2,041310;;;;;;;;;;;
decision;model_min_spread;-5,750000;;;;;;;;;;;
decision;model_max_spread;10,280000;;;;;;;;;;;
decision;null_mean_spread;-0,005192;;;;;;;;;;;
decision;null_sd_spread;3,316509;;;;;;;;;;;
decision;binomial_p_defensive_gt_half;0,000000;;;;;;;;;;;
decision;ks_statistic_vs_null;0,815765;;;;;;;;;;;
decision;ks_p_value_vs_null;0,000000;;;;;;;;;;;
decision;n_draws_total;1000,000000;;;;;;;;;;;
decision;n_draws_parsed;977,000000;;;;;;;;;;;
decision;distinct_loading_vectors;652,000000;;;;;;;;;;;
recall_guard;mean_p_memorized;0,211357;;;;;;;;;;;
recall_guard;sd_p_memorized;0,218416;;;;;;;;;;;
recall_guard;min_p_memorized;0,000000;;;;;;;;;;;
recall_guard;max_p_memorized;0,760249;;;;;;;;;;;
