,A pure HRP-CVaR,B pinned HRP-CVaR,C pinned HRP + BL,EW B&H (nb 04),SPY B&H
Total Return,0.152448,2.240507,2.622834,3.157810,2.573302
CAGR,0.014296,0.124818,0.137438,0.153219,0.135873
Ann. Volatility,0.014713,0.083242,0.095389,0.139182,0.179689
Sharpe,0.992078,1.484178,1.425997,1.116345,0.800186
Downside vol (daily),0.000702,0.003606,0.004126,0.006164,0.008061
Sortino,1.309079,2.157965,2.076784,1.587795,1.123640
Max Drawdown,-0.032344,-0.118689,-0.142557,-0.223360,-0.341047
Calmar,0.441988,1.051638,0.964090,0.685974,0.398398
VaR 95 (daily),-0.001227,-0.008059,-0.008814,-0.013899,-0.016777
CVaR 95 (daily),-0.002488,-0.012001,-0.013826,-0.020823,-0.027612
Skew,-1.791783,-0.439422,-0.373163,-0.375783,-0.325315
Excess Kurtosis,20.043882,7.196583,7.596430,7.199661,14.899057
Hit Rate,0.593598,0.566856,0.561588,0.567666,0.552286
SSR (Sharpe Stability),0.150863,0.138917,0.131697,0.138183,0.110570
"HAC t (mean, NW)",3.011697,4.478207,4.327384,3.520405,2.848426
HAC lag L,3.000000,3.000000,2.000000,1.000000,6.000000
Correlation to S&P 500,0.575154,0.588710,0.613630,0.889736,1.000000
Beta,0.047079,0.272640,0.325651,0.688955,1.000000
Active Return (ann.),-0.119875,-0.010925,0.001554,0.020904,0.000000
Tracking Error (ann.),0.171704,0.147038,0.142706,0.084630,0.000000
Information Ratio,-0.698147,-0.074302,0.010888,0.247008,
"R2 (CAPM, 1 factor)",0.330802,0.346580,0.376541,0.791629,1.000000
Idio vol sigma_e (ann.),0.012036,0.067288,0.075319,0.063533,0.000000
"alpha (Regression, ann.)",0.008266,0.086884,0.092234,0.062731,0.000000
Appraisal Ratio (a/se),0.686747,1.291218,1.224584,0.987370,
