,A pure HRP-CVaR,B pinned HRP-CVaR,C pinned HRP + BL,EW B&H (nb 04),SPY B&H
Total Return,0.152448,2.240507,2.622834,3.600726,3.737574
CAGR,0.016163,0.142091,0.156576,0.188233,0.188359
Ann. Volatility,0.015485,0.087657,0.100441,0.153330,0.204030
Sharpe,1.043239,1.559828,1.498800,1.201861,0.948295
Downside vol (daily),0.000614,0.003153,0.003607,0.005667,0.007611
Sortino,1.377157,2.270188,2.184785,1.702042,1.330604
Max Drawdown,-0.032344,-0.118689,-0.142557,-0.223360,-0.341047
Calmar,0.499716,1.197172,1.098337,0.842731,0.552296
VaR 95 (daily),-0.001030,-0.006939,-0.007810,-0.012247,-0.016061
CVaR 95 (daily),-0.002172,-0.010937,-0.012536,-0.019335,-0.025869
Skew,-1.996158,-0.425679,-0.353154,-0.384490,-0.333826
Excess Kurtosis,26.954302,10.238756,10.773031,8.294745,14.689520
Hit Rate,0.453560,0.433127,0.429102,0.560991,0.550456
SSR (Sharpe Stability),0.146391,0.144738,0.136516,0.128420,0.105883
"HAC t (mean, NW)",3.006145,4.460528,4.332248,3.590610,3.187079
HAC lag L,3.000000,3.000000,3.000000,1.000000,6.000000
Correlation to S&P 500,0.532390,0.544713,0.567793,0.876748,1.000000
Beta,0.040362,0.233778,0.279221,0.658188,1.000000
Active Return (ann.),-0.165798,-0.045222,-0.031412,0.002329,0.000000
Tracking Error (ann.),0.196439,0.172903,0.168844,0.101548,0.000000
Information Ratio,-0.844018,-0.261548,-0.186040,0.022935,
"R2 (CAPM, 1 factor)",0.283439,0.296712,0.322389,0.768687,1.000000
Idio vol sigma_e (ann.),0.013108,0.073511,0.082680,0.073744,0.000000
"alpha (Regression, ann.)",0.008810,0.094194,0.099736,0.064522,-0.000000
Appraisal Ratio (a/se),0.672131,1.281350,1.206285,0.874951,
