symbol,date,structural,fat_finger,jitter,level_shift,stale,ohlc_quirk,z
SPY,2018-03-23,False,False,True,False,False,False,-6.9345748458199115
SPY,2018-03-26,False,False,True,False,False,False,8.271516159688753
SWDA.L,2010-01-05,False,False,False,False,False,True,
SWDA.L,2010-01-07,False,False,False,False,False,True,
SWDA.L,2010-01-08,False,False,False,False,False,True,
SWDA.L,2010-01-11,False,False,False,False,False,True,
SWDA.L,2010-01-12,False,False,False,False,False,True,
SWDA.L,2010-01-15,False,False,False,False,False,True,
SWDA.L,2010-01-22,False,False,False,False,False,True,
SWDA.L,2010-01-25,True,False,False,False,False,False,
SWDA.L,2010-01-26,False,False,False,False,False,True,
SWDA.L,2010-01-27,False,False,False,False,False,True,
SWDA.L,2010-02-01,False,False,False,False,False,True,
SWDA.L,2010-02-04,False,False,False,False,False,True,
SWDA.L,2010-02-16,False,False,False,False,False,True,
SWDA.L,2010-02-17,False,False,False,False,False,True,
SWDA.L,2010-02-22,False,False,False,False,False,True,
SWDA.L,2010-02-23,False,False,False,False,False,True,
SWDA.L,2010-02-25,False,False,False,False,False,True,
SWDA.L,2010-02-26,False,False,False,False,False,True,
SWDA.L,2010-03-01,False,False,False,False,False,True,
SWDA.L,2010-03-02,False,False,False,False,False,True,
SWDA.L,2010-03-03,False,False,False,False,False,True,
SWDA.L,2010-03-04,False,False,False,False,False,True,
SWDA.L,2010-03-05,False,False,False,False,False,True,
SWDA.L,2010-03-08,False,False,False,False,False,True,
SWDA.L,2010-03-09,False,False,False,False,False,True,
SWDA.L,2010-03-15,False,False,False,False,False,True,
SWDA.L,2010-03-16,False,False,False,False,False,True,
SWDA.L,2010-03-19,False,False,False,False,False,True,
SWDA.L,2010-03-22,False,False,False,False,False,True,
SWDA.L,2010-03-24,False,False,False,False,False,True,
SWDA.L,2010-03-29,False,False,False,False,False,True,
SWDA.L,2010-04-01,False,False,False,False,False,True,
SWDA.L,2010-04-07,False,False,False,False,False,True,
SWDA.L,2010-04-08,False,False,False,False,False,True,
SWDA.L,2010-04-09,False,False,False,False,False,True,
SWDA.L,2010-04-12,False,False,False,False,False,True,
SWDA.L,2010-04-13,False,False,False,False,False,True,
SWDA.L,2010-04-14,False,False,False,False,False,True,
SWDA.L,2010-04-16,True,False,False,False,False,False,
SWDA.L,2010-04-20,False,False,False,False,False,True,
SWDA.L,2010-04-21,False,False,False,False,False,True,
SWDA.L,2010-04-22,False,False,False,False,False,True,
