Date;static_return;spy_return;active_return
2014-01-03;0,00148413;-0,00016422;0,00164836
2014-01-06;-0,00110846;-0,00289772;0,00178926
2014-01-07;0,00273606;0,00614153;-0,00340548
2014-01-08;-0,00225581;0,00021843;-0,00247424
2014-01-09;-0,00194138;0,00065362;-0,00259500
2014-01-10;0,00518502;0,00272312;0,00246190
2014-01-13;0,00089066;-0,01330556;0,01419621
2014-01-14;0,00001060;0,01089818;-0,01088757
2014-01-15;0,00543238;0,00538968;0,00004270
2014-01-16;0,00034663;-0,00129978;0,00164642
2014-01-17;-0,00015133;-0,00422938;0,00407805
2014-01-21;-0,00238447;0,00294045;-0,00532491
2014-01-22;-0,00226374;0,00065189;-0,00291563
2014-01-23;0,00274969;-0,00819326;0,01094295
2014-01-24;-0,00645274;-0,02133599;0,01488325
2014-01-27;-0,00862734;-0,00491948;-0,00370786
2014-01-28;-0,00069843;0,00595506;-0,00665349
2014-01-29;0,00136610;-0,00960547;0,01097157
2014-01-30;-0,00161865;0,01060065;-0,01221931
2014-01-31;0,00008994;-0,00585862;0,00594855
2014-02-03;-0,00413591;-0,02250509;0,01836918
2014-02-04;-0,00018686;0,00700463;-0,00719149
2014-02-05;0,00095746;-0,00125455;0,00221200
2014-02-06;0,00569314;0,01318741;-0,00749427
2014-02-07;0,00672340;0,01239551;-0,00567211
2014-02-10;0,00254060;0,00183694;0,00070365
2014-02-11;0,00831718;0,01094339;-0,00262620
2014-02-12;0,00035468;0,00049491;-0,00014023
2014-02-13;0,00394246;0,00516292;-0,00122046
2014-02-14;0,00359024;0,00551861;-0,00192838
2014-02-18;0,00323085;0,00119602;0,00203483
2014-02-19;-0,00344657;-0,00662228;0,00317571
2014-02-20;0,00289278;0,00590102;-0,00300824
2014-02-21;0,00072938;-0,00114087;0,00187025
2014-02-24;0,00518118;0,00554659;-0,00036541
2014-02-25;-0,00089117;-0,00037808;-0,00051309
2014-02-26;-0,00194220;0,00005390;-0,00199611
2014-02-27;0,00142931;0,00524758;-0,00381827
2014-02-28;-0,00013207;0,00252921;-0,00266128
2014-03-03;-0,00073768;-0,00703186;0,00629418
2014-03-04;0,00492441;0,01405580;-0,00913139
2014-03-05;-0,00067611;0,00090605;-0,00158216
2014-03-06;0,00462832;0,00229055;0,00233778
2014-03-07;-0,00415451;0,00042476;-0,00457926
2014-03-10;0,00050740;-0,00053102;0,00103841
2014-03-11;0,00036967;-0,00494267;0,00531233
2014-03-12;0,00377189;0,00026717;0,00350471
2014-03-13;-0,00476143;-0,01121308;0,00645165
2014-03-14;-0,00048694;-0,00280829;0,00232135
2014-03-17;0,00139858;0,00904391;-0,00764533
2014-03-18;0,00336953;0,00713769;-0,00376816
2014-03-19;-0,00736834;-0,00532878;-0,00203956
2014-03-20;0,00243317;0,00583942;-0,00340625
2014-03-21;0,00124385;-0,00387851;0,00512236
2014-03-24;-0,00790365;-0,00413550;-0,00376815
2014-03-25;0,00306597;0,00474595;-0,00167998
2014-03-26;-0,00447424;-0,00719254;0,00271829
2014-03-27;-0,00434985;-0,00210836;-0,00224149
2014-03-28;0,00252672;0,00492994;-0,00240322
2014-03-31;0,00055465;0,00819489;-0,00764024
2014-04-01;0,00386345;0,00663049;-0,00276703
2014-04-02;0,00326917;0,00334690;-0,00007773
2014-04-03;-0,00159722;-0,00132393;-0,00027329
2014-04-04;-0,00130275;-0,01182200;0,01051925
2014-04-07;-0,00676062;-0,01105154;0,00429091
2014-04-08;0,00212380;0,00412280;-0,00199900
2014-04-09;0,00493360;0,01075150;-0,00581790
2014-04-10;-0,00519380;-0,02100647;0,01581267
2014-04-11;-0,00494663;-0,00900829;0,00406166
2014-04-14;0,00436160;0,00787799;-0,00351639
2014-04-15;-0,00442219;0,00688798;-0,01131017
2014-04-16;0,00441525;0,01047736;-0,00606211
2014-04-17;-0,00055148;0,00139698;-0,00194846
2014-04-22;0,00155110;0,00454500;-0,00299390
2014-04-23;-0,00224414;-0,00234245;0,00009831
2014-04-24;0,00355091;0,00202735;0,00152355
2014-04-25;-0,00339921;-0,00819892;0,00479970
2014-04-28;0,00148983;0,00316761;-0,00167778
2014-04-29;0,00302815;0,00465504;-0,00162690
2014-04-30;-0,00098543;0,00298269;-0,00396812
2014-05-01;0,00043052;0,00010635;0,00032418
2014-05-02;0,00151977;-0,00143403;0,00295380
2014-05-06;-0,00142383;-0,00870367;0,00727984
2014-05-07;-0,00433609;0,00588883;-0,01022492
2014-05-08;0,00322898;-0,00106420;0,00429318
2014-05-09;-0,00023553;0,00149195;-0,00172748
2014-05-12;0,00659488;0,00973605;-0,00314116
2014-05-13;0,00090831;0,00089541;0,00001289
2014-05-14;0,00194651;-0,00473800;0,00668451
2014-05-15;-0,00682100;-0,00877994;0,00195894
2014-05-16;0,00159338;0,00346814;-0,00187476
2014-05-19;0,00227556;0,00366974;-0,00139418
2014-05-20;-0,00216586;-0,00630495;0,00413909
2014-05-21;0,00116286;0,00842441;-0,00726155
2014-05-22;0,00273815;0,00243179;0,00030636
2014-05-23;0,00264837;0,00400923;-0,00136087
2014-05-27;-0,00141936;0,00614661;-0,00756597
2014-05-28;-0,00078727;-0,00073136;-0,00005591
2014-05-29;0,00166642;0,00517314;-0,00350672
2014-05-30;-0,00084469;0,00161134;-0,00245603
2014-06-02;-0,00133244;0,00114162;-0,00247407
2014-06-03;-0,00015800;-0,00051830;0,00036030
2014-06-04;0,00048249;0,00202313;-0,00154064
2014-06-05;0,00356001;0,00652175;-0,00296175
2014-06-06;0,00299941;0,00478269;-0,00178328
2014-06-09;0,00153368;0,00102383;0,00050985
2014-06-10;0,00150426;0,00010220;0,00140206
2014-06-11;-0,00177975;-0,00347680;0,00169705
2014-06-12;-0,00017596;-0,00707954;0,00690358
2014-06-13;0,00003057;0,00304847;-0,00301790
2014-06-16;-0,00156943;0,00082411;-0,00239354
2014-06-17;0,00061435;0,00277941;-0,00216506
2014-06-18;0,00299365;0,00733959;-0,00434593
2014-06-19;0,00898052;0,00112118;0,00785934
2014-06-20;-0,00067019;0,00203047;-0,00270066
2014-06-23;0,00109820;-0,00030630;0,00140450
2014-06-24;0,00004599;-0,00602415;0,00607014
2014-06-25;-0,00068820;0,00451952;-0,00520772
2014-06-26;-0,00202698;-0,00071572;-0,00131126
2014-06-27;0,00222077;0,00194417;0,00027660
2014-06-30;0,00242168;-0,00051052;0,00293220
2014-07-01;0,00304435;0,00669337;-0,00364902
2014-07-02;0,00007072;0,00101458;-0,00094386
2014-07-03;0,00099743;0,00491846;-0,00392103
2014-07-07;-0,00092417;-0,00348121;0,00255704
2014-07-08;-0,00418405;-0,00643013;0,00224608
2014-07-09;0,00366450;0,00448405;-0,00081955
2014-07-10;-0,00084389;-0,00395688;0,00311299
2014-07-11;0,00195144;0,00137534;0,00057611
2014-07-14;-0,00149615;0,00503515;-0,00653129
2014-07-15;-0,00476486;-0,00187268;-0,00289219
2014-07-16;0,00440061;0,00370148;0,00069914
2014-07-17;0,00026938;-0,01136552;0,01163489
2014-07-18;0,00210301;0,01021873;-0,00811571
2014-07-21;-0,00046005;-0,00187135;0,00141131
2014-07-22;0,00279922;0,00435806;-0,00155885
2014-07-23;0,00067197;0,00221990;-0,00154794
2014-07-24;-0,00089568;0,00005054;-0,00094622
2014-07-25;0,00080497;-0,00468207;0,00548705
2014-07-28;-0,00007529;0,00040510;-0,00048039
2014-07-29;-0,00073620;-0,00429736;0,00356116
2014-07-30;-0,00087395;0,00015189;-0,00102583
2014-07-31;-0,01067605;-0,01974779;0,00907173
2014-08-01;-0,00082583;-0,00305560;0,00222976
2014-08-04;0,00105300;0,00722063;-0,00616763
2014-08-05;-0,00309922;-0,00969626;0,00659704
2014-08-06;0,00212904;0,00031266;0,00181638
2014-08-07;-0,00124018;-0,00541465;0,00417447
2014-08-08;0,00195613;0,01156877;-0,00961263
2014-08-11;0,00401039;0,00289794;0,00111245
2014-08-12;-0,00158842;-0,00139307;-0,00019535
2014-08-13;0,00679813;0,00676911;0,00002903
2014-08-14;0,00126802;0,00472162;-0,00345360
2014-08-15;-0,00238643;-0,00020429;-0,00218214
2014-08-18;0,00384539;0,00837960;-0,00453422
2014-08-19;0,00317600;0,00521893;-0,00204293
2014-08-20;-0,00114078;0,00267089;-0,00381167
2014-08-21;0,00053528;0,00291613;-0,00238085
2014-08-22;0,00026500;-0,00155392;0,00181892
