year,1,2,3,4,5,6,7,8,9,10,11,12
2016,,0.029809,0.025842,-0.001634,-0.000377,0.039163,0.034702,-0.001768,0.011346,0.003108,-0.021970,0.012928
2017,0.020021,0.032006,0.006505,0.003845,0.017280,-0.013328,0.020841,0.024547,-0.009924,0.026216,0.005651,0.012143
2018,0.027429,-0.006935,-0.023406,0.009236,0.028897,-0.005287,0.011792,0.023812,0.000372,-0.038766,-0.004096,-0.036638
2019,0.040038,0.027027,0.021390,0.029411,-0.031902,0.060744,0.027674,0.002575,0.003303,0.010734,0.020362,0.024119
2020,0.023852,-0.045286,-0.052626,0.082302,0.047655,0.038327,0.043236,0.055243,-0.028608,-0.030145,0.054630,0.042367
2021,-0.012103,-0.005111,0.016787,0.039981,0.007612,0.025298,0.025138,0.024437,-0.036523,0.047854,0.023238,0.026041
2022,-0.049224,-0.015852,0.031896,-0.061916,-0.014264,-0.056306,0.070162,-0.029127,-0.066298,0.033689,0.043616,-0.037688
2023,0.060642,-0.008507,0.061662,0.002338,0.037688,0.033417,0.021765,-0.010358,-0.039134,0.005592,0.075632,0.034405
2024,0.015068,0.033923,0.026954,-0.027785,0.039358,0.048790,-0.007885,0.006448,0.022569,0.007070,0.033154,-0.005667
2025,0.020071,-0.016215,-0.037346,0.013596,0.057732,0.053028,0.030273,0.009069,0.068258,0.051510,-0.013684,0.008403
2026,0.027439,,,,,,,,,,,
