year;1;2;3;4;5;6;7;8;9;10;11;12
2016;;0,02980900;0,02584200;-0,00163400;-0,00037700;0,03916300;0,03470200;-0,00176800;0,01134600;0,00310800;-0,02197000;0,01292800
2017;0,02002100;0,03200600;0,00650500;0,00384500;0,01728000;-0,01332800;0,02084100;0,02454700;-0,00992400;0,02621600;0,00565100;0,01214300
2018;0,02742900;-0,00693500;-0,02340600;0,00923600;0,02889700;-0,00528700;0,01179200;0,02381200;0,00037200;-0,03876600;-0,00409600;-0,03663800
2019;0,04003800;0,02702700;0,02139000;0,02941100;-0,03190200;0,06074400;0,02767400;0,00257500;0,00330300;0,01073400;0,02036200;0,02411900
2020;0,02385200;-0,04528600;-0,05262600;0,08230200;0,04765500;0,03832700;0,04323600;0,05524300;-0,02860800;-0,03014500;0,05463000;0,04236700
2021;-0,01210300;-0,00511100;0,01678700;0,03998100;0,00761200;0,02529800;0,02513800;0,02443700;-0,03652300;0,04785400;0,02323800;0,02604100
2022;-0,04922400;-0,01585200;0,03189600;-0,06191600;-0,01426400;-0,05630600;0,07016200;-0,02912700;-0,06629800;0,03368900;0,04361600;-0,03768800
2023;0,06064200;-0,00850700;0,06166200;0,00233800;0,03768800;0,03341700;0,02176500;-0,01035800;-0,03913400;0,00559200;0,07563200;0,03440500
2024;0,01506800;0,03392300;0,02695400;-0,02778500;0,03935800;0,04879000;-0,00788500;0,00644800;0,02256900;0,00707000;0,03315400;-0,00566700
2025;0,02007100;-0,01621500;-0,03734600;0,01359600;0,05773200;0,05302800;0,03027300;0,00906900;0,06825800;0,05151000;-0,01368400;0,00840300
2026;0,02743900;;;;;;;;;;;
