Date,value,daily_return,drawdown
2014-01-02,10000.00000000,,0.00000000
2014-01-03,9998.35775846,-0.00016422,-0.00016422
2014-01-06,9969.38532289,-0.00289772,-0.00306147
2014-01-07,10030.61261787,0.00614153,0.00000000
2014-01-08,10032.80364609,0.00021843,0.00000000
2014-01-09,10039.36128645,0.00065362,0.00000000
2014-01-10,10066.69971742,0.00272312,0.00000000
2014-01-13,9932.75664400,-0.01330556,-0.01330556
2014-01-14,10041.00558722,0.01089818,-0.00255239
2014-01-15,10095.12336632,0.00538968,0.00000000
2014-01-16,10082.00190788,-0.00129978,-0.00129978
2014-01-17,10039.36128645,-0.00422938,-0.00552367
2014-01-21,10068.88147907,0.00294045,-0.00259946
2014-01-22,10075.44529714,0.00065189,-0.00194926
2014-01-23,9992.89460259,-0.00819326,-0.01012655
2014-01-24,9779.68634731,-0.02133599,-0.03124647
2014-01-27,9731.57536267,-0.00491948,-0.03601224
2014-01-28,9789.52744114,0.00595506,-0.03027164
2014-01-29,9695.49444083,-0.00960547,-0.03958633
2014-01-30,9798.27302085,0.01060065,-0.02940532
2014-01-31,9740.86869944,-0.00585862,-0.03509166
2014-02-03,9521.64953124,-0.02250509,-0.05680702
2014-02-04,9588.34513019,0.00700463,-0.05020030
2014-02-05,9576.31609700,-0.00125455,-0.05139187
2014-02-06,9702.60292710,0.01318741,-0.03888218
2014-02-07,9822.87163694,0.01239551,-0.02696864
2014-02-10,9840.91570153,0.00183694,-0.02518123
2014-02-11,9948.60865075,0.01094339,-0.01451342
2014-02-12,9953.53228652,0.00049491,-0.01402569
2014-02-13,10004.92157653,0.00516292,-0.00893518
2014-02-14,10060.13486973,0.00551861,-0.00346588
2014-02-18,10072.16699177,0.00119602,-0.00227401
2014-02-19,10005.46624473,-0.00662228,-0.00888123
2014-02-20,10064.50868921,0.00590102,-0.00303262
2014-02-21,10053.02638346,-0.00114087,-0.00417003
2014-02-24,10108.78640409,0.00554659,0.00000000
2014-02-25,10104.96446014,-0.00037808,-0.00037808
2014-02-26,10105.50912834,0.00005390,-0.00032420
2014-02-27,10158.53860066,0.00524758,0.00000000
2014-02-28,10184.23170123,0.00252921,0.00000000
2014-03-03,10112.61761461,-0.00703186,-0.00703186
2014-03-04,10254.75851070,0.01405580,0.00000000
2014-03-05,10264.04978823,0.00090605,0.00000000
2014-03-06,10287.56009755,0.00229055,0.00000000
2014-03-07,10291.92979855,0.00042476,0.00000000
2014-03-10,10286.46458344,-0.00053102,-0.00053102
2014-03-11,10235.62202086,-0.00494267,-0.00547106
2014-03-12,10238.35668766,0.00026717,-0.00520535
2014-03-13,10123.55319292,-0.01121308,-0.01636006
2014-03-14,10095.12336632,-0.00280829,-0.01912240
2014-03-17,10186.42272945,0.00904391,-0.01025144
2014-03-18,10259.13027094,0.00713769,-0.00318692
2014-03-19,10204.46164594,-0.00532878,-0.00849871
2014-03-20,10264.04978823,0.00583942,-0.00270892
2014-03-21,10224.24061773,-0.00387851,-0.00657692
2014-03-24,10181.95830354,-0.00413550,-0.01068522
2014-03-25,10230.28138959,0.00474595,-0.00598998
2014-03-26,10156.69970198,-0.00719254,-0.01313943
2014-03-27,10135.28569597,-0.00210836,-0.01522009
2014-03-28,10185.25205319,0.00492994,-0.01036518
2014-03-31,10268.71910823,0.00819489,-0.00225523
2014-04-01,10336.80572180,0.00663049,0.00000000
2014-04-02,10371.40193373,0.00334690,0.00000000
2014-04-03,10357.67094113,-0.00132393,-0.00132393
2014-04-04,10235.22252888,-0.01182200,-0.01313028
2014-04-07,10122.10760852,-0.01105154,-0.02403670
2014-04-08,10163.83907680,0.00412280,-0.02001300
2014-04-09,10273.11557931,0.01075150,-0.00947667
2014-04-10,10057.31371498,-0.02100647,-0.03028407
2014-04-11,9966.71449245,-0.00900829,-0.03901955
2014-04-14,10045.23217125,0.00787799,-0.03144896
2014-04-15,10114.42356550,0.00688798,-0.02477759
2014-04-16,10220.39602217,0.01047736,-0.01455984
2014-04-17,10234.67374221,0.00139698,-0.01318319
2014-04-21,10270.36340901,0.00348713,-0.00974203
2014-04-22,10317.04219428,0.00454500,-0.00524131
2014-04-23,10292.87498835,-0.00234245,-0.00757149
2014-04-24,10313.74226692,0.00202735,-0.00555949
2014-04-25,10229.18072739,-0.00819892,-0.01371282
2014-04-28,10261.58282226,0.00316761,-0.01058865
2014-04-29,10309.35094393,0.00465504,-0.00598289
2014-04-30,10340.10050106,0.00298269,-0.00301805
2014-05-01,10341.20013364,0.00010635,-0.00291203
2014-05-02,10326.37053808,-0.00143403,-0.00434188
2014-05-05,10346.14024331,0.00191449,-0.00243571
2014-05-06,10256.09083706,-0.00870367,-0.01111818
2014-05-07,10316.48722990,0.00588883,-0.00529482
2014-05-08,10305.50840761,-0.00106420,-0.00635339
2014-05-09,10320.88370098,0.00149195,-0.00487092
2014-05-12,10421.36829094,0.00973605,0.00000000
2014-05-13,10430.69972360,0.00089541,0.00000000
2014-05-14,10381.27906420,-0.00473800,-0.00473800
2014-05-15,10290.13208461,-0.00877994,-0.01347634
2014-05-16,10325.81969217,0.00346814,-0.01005494
2014-05-19,10363.71274261,0.00366974,-0.00642210
2014-05-20,10298.37006240,-0.00630495,-0.01268656
2014-05-21,10385.12777823,0.00842441,-0.00436902
2014-05-22,10410.38226132,0.00243179,-0.00194785
2014-05-23,10452.11990731,0.00400923,0.00000000
2014-05-27,10516.36501418,0.00614661,0.00000000
2014-05-28,10508.67376383,-0.00073136,-0.00073136
2014-05-29,10563.03659213,0.00517314,0.00000000
2014-05-30,10580.05721590,0.00161134,0.00000000
2014-06-02,10592.13567077,0.00114162,0.00000000
2014-06-03,10586.64574482,-0.00051830,-0.00051830
2014-06-04,10608.06386930,0.00202313,0.00000000
2014-06-05,10677.24702659,0.00652175,0.00000000
2014-06-06,10728.31301639,0.00478269,0.00000000
2014-06-09,10739.29698677,0.00102383,0.00000000
2014-06-10,10740.39456011,0.00010220,0.00000000
2014-06-11,10703.05235559,-0.00347680,-0.00347680
2014-06-12,10627.27963976,-0.00707954,-0.01053173
