Date;value;daily_return;drawdown
2016-02-01;10000,00000000;;0,00000000
2016-02-02;9819,78051435;-0,01802195;-0,01802195
2016-02-03;9878,64985770;0,00599498;-0,01213501
2016-02-04;9894,14060956;0,00156810;-0,01058594
2016-02-05;9705,65421789;-0,01905030;-0,02943458
2016-02-08;9575,00719440;-0,01346092;-0,04249928
2016-02-09;9575,52218199;0,00005378;-0,04244778
2016-02-10;9567,26275312;-0,00086256;-0,04327372
2016-02-11;9442,81240423;-0,01300794;-0,05571876
2016-02-12;9637,49640513;0,02061716;-0,03625036
2016-02-16;9800,15490752;0,01687767;-0,01998451
2016-02-17;9960,23660268;0,01633461;-0,00397634
2016-02-18;9919,44603411;-0,00409534;-0,00805540
2016-02-19;9914,79899548;-0,00046848;-0,00852010
2016-02-22;10058,35529040;0,01447899;0,00000000
2016-02-23;9931,32533037;-0,01262930;-0,01262930
2016-02-24;9976,76200293;0,00457509;-0,00811199
2016-02-25;10097,60276549;0,01211222;0,00000000
2016-02-26;10074,36289914;-0,00230152;-0,00230152
2016-02-29;9995,35763458;-0,00784221;-0,01012568
2016-03-01;10230,31721646;0,02350687;0,00000000
2016-03-02;10276,27541910;0,00449235;0,00000000
2016-03-03;10316,55660793;0,00391982;0,00000000
2016-03-04;10350,11865744;0,00325322;0,00000000
2016-03-07;10358,37902096;0,00079809;0,00000000
2016-03-08;10245,29111145;-0,01091753;-0,01091753
2016-03-09;10295,89915664;0,00493964;-0,00603182
2016-03-10;10304,15765088;0,00080211;-0,00523454
2016-03-11;10470,43882457;0,01613729;0,00000000
2016-03-14;10457,01363091;-0,00128220;-0,00128220
2016-03-15;10439,97324308;-0,00162957;-0,00290968
2016-03-16;10500,38848383;0,00578692;0,00000000
2016-03-17;10567,00694168;0,00634438;0,00000000
2016-03-18;10608,52746543;0,00392926;0,00000000
2016-03-21;10623,57987032;0,00141890;0,00000000
2016-03-22;10617,87388262;-0,00053711;-0,00053711
2016-03-23;10547,80098898;-0,00659952;-0,00713308
2016-03-24;10543,12778038;-0,00044305;-0,00757297
2016-03-28;10549,35716744;0,00059085;-0,00698660
2016-03-29;10646,93937082;0,00925006;0,00000000
2016-03-30;10693,65556789;0,00438776;0,00000000
2016-03-31;10667,70524055;-0,00242670;-0,00242670
2016-04-01;10740,37083032;0,00681174;0,00000000
2016-04-04;10705,59187729;-0,00323815;-0,00323815
2016-04-05;10598,67166850;-0,00998732;-0,01319313
2016-04-06;10714,41769905;0,01092081;-0,00241641
2016-04-07;10586,21009045;-0,01196590;-0,01435339
2016-04-08;10614,75872177;0,00269678;-0,01169532
2016-04-11;10589,84304281;-0,00234727;-0,01401514
2016-04-12;10688,46643706;0,00931302;-0,00483264
2016-04-13;10796,43064066;0,01010100;0,00000000
2016-04-14;10796,94843217;0,00004796;0,00000000
2016-04-15;10785,00931885;-0,00110579;-0,00110579
2016-04-18;10860,79193875;0,00702666;0,00000000
2016-04-19;10895,05123098;0,00315440;0,00000000
2016-04-20;10905,43416585;0,00095300;0,00000000
2016-04-21;10846,77979009;-0,00537845;-0,00537845
2016-04-22;10846,77979009;0,00000000;-0,00537845
2016-04-25;10828,08882498;-0,00172318;-0,00709237
2016-04-26;10844,17961683;0,00148602;-0,00561688
2016-04-27;10866,50353430;0,00205861;-0,00356984
2016-04-28;10767,88014005;-0,00907591;-0,01261335
2016-04-29;10709,74635973;-0,00539881;-0,01794406
2016-05-02;10794,87259291;0,00794848;-0,01013821
2016-05-03;10700,92334190;-0,00870314;-0,01875311
2016-05-04;10641,23244848;-0,00557811;-0,02422661
2016-05-05;10639,15287065;-0,00019543;-0,02441730
2016-05-06;10678,08350220;0,00365919;-0,02084747
2016-05-09;10686,91025860;0,00082662;-0,02003807
2016-05-10;10819,78640259;0,01243354;-0,00785368
2016-05-11;10718,57124685;-0,00935464;-0,01713484
2016-05-12;10721,68453842;0,00029046;-0,01684936
2016-05-13;10628,25401356;-0,00871416;-0,02541670
2016-05-16;10733,10492559;0,00986530;-0,01580214
2016-05-17;10632,92535288;-0,00933370;-0,02498835
2016-05-18;10636,03864444;0,00029280;-0,02470287
2016-05-19;10599,18385216;-0,00346509;-0,02808236
2016-05-20;10666,14719280;0,00631778;-0,02194199
2016-05-23;10651,61257942;-0,00136269;-0,02327478
2016-05-24;10789,68159280;0,01296226;-0,01061421
2016-05-25;10862,86871265;0,00678307;-0,00390314
2016-05-26;10865,98387350;0,00028677;-0,00361749
2016-05-27;10912,70007057;0,00429931;0,00000000
2016-05-31;10891,93513549;-0,00190282;-0,00190282
2016-06-01;10914,25718368;0,00204941;0,00000000
2016-06-02;10947,47715432;0,00304372;0,00000000
2016-06-03;10914,77404055;-0,00298727;-0,00298727
2016-06-06;10970,31512474;0,00508862;0,00000000
2016-06-07;10987,44523817;0,00156150;0,00000000
2016-06-08;11023,25697030;0,00325933;0,00000000
2016-06-09;11008,20456541;-0,00136551;-0,00136551
2016-06-10;10903,87518346;-0,00947742;-0,01082999
2016-06-13;10819,78640259;-0,00771183;-0,01845830
2016-06-14;10798,50647992;-0,00196676;-0,02038876
2016-06-15;10783,45594431;-0,00139376;-0,02175410
2016-06-16;10815,63846264;0,00298443;-0,01883459
2016-06-17;10775,35446988;-0,00372461;-0,02248904
2016-06-20;10844,74787899;0,00644001;-0,01619386
2016-06-21;10875,53310795;0,00283872;-0,01340111
2016-06-22;10857,79360812;-0,00163114;-0,01501039
2016-06-23;10999,18994602;0,01302257;-0,00218330
2016-06-24;10604,21876710;-0,03590912;-0,03801401
2016-06-27;10414,29770040;-0,01790995;-0,05524313
2016-06-28;10602,13264678;0,01803626;-0,03820326
2016-06-29;10782,65962956;0,01702742;-0,02182634
2016-06-30;10929,79653691;0,01364570;-0,00847848
2016-07-01;10952,75227218;0,00210029;-0,00639600
2016-07-05;10873,96758307;-0,00719314;-0,01354313
2016-07-06;10939,18688227;0,00599775;-0,00762661
2016-07-07;10932,40325267;-0,00062012;-0,00824200
2016-07-08;11095,19540882;0,01489079;0,00000000
2016-07-11;11134,32324976;0,00352656;0,00000000
2016-07-12;11215,19686312;0,00726345;0,00000000
2016-07-13;11213,63320752;-0,00013942;-0,00013942
2016-07-14;11276,24392167;0,00558345;0,00000000
2016-07-15;11261,11394152;-0,00134176;-0,00134176
2016-07-18;11291,37296719;0,00268704;0,00000000
2016-07-19;11279,89556687;-0,00101648;-0,00101648
2016-07-20;11326,85290151;0,00416292;0,00000000
2016-07-21;11284,07061143;-0,00377707;-0,00377707
2016-07-22;11334,68052591;0,00448508;0,00000000
2016-07-25;11303,89623159;-0,00271594;-0,00271594
2016-07-26;11309,11340167;0,00046154;-0,00225565
2016-07-27;11297,11540591;-0,00106091;-0,00331418
2016-07-28;11310,15739647;0,00115445;-0,00216355
2016-07-29;11328,42029567;0,00161473;-0,00055231
2016-08-01;11319,02714639;-0,00082917;-0,00138102
2016-08-02;11246,50268752;-0,00640730;-0,00777947
2016-08-03;11279,37590608;0,00292297;-0,00487924
2016-08-04;11291,37296719;0,00106363;-0,00382080
2016-08-05;11383,72585014;0,00817907;0,00000000
2016-08-08;11376,94128590;-0,00059599;-0,00059599
2016-08-09;11383,72585014;0,00059634;0,00000000
2016-08-10;11355,55014086;-0,00247509;-0,00247509
2016-08-11;11408,24711030;0,00464064;0,00000000
2016-08-12;11398,33336558;-0,00086900;-0,00086900
2016-08-15;11431,20284557;0,00288371;0,00000000
2016-08-16;11372,24658054;-0,00515749;-0,00515749
2016-08-17;11393,64146415;0,00188132;-0,00328586
2016-08-18;11419,20858839;0,00224398;-0,00104926
2016-08-19;11402,50841014;-0,00146246;-0,00251019
2016-08-22;11401,98968399;-0,00004549;-0,00255556
2016-08-23;11424,94354998;0,00201315;-0,00054756
2016-08-24;11366,50694574;-0,00511483;-0,00565959
2016-08-25;11358,68025598;-0,00068857;-0,00634427
2016-08-26;11337,28911095;-0,00188324;-0,00821556
2016-08-29;11393,11806478;0,00492437;-0,00333165
2016-08-30;11374,33457014;-0,00164867;-0,00497483
2016-08-31;11341,98662023;-0,00284394;-0,00780462
2016-09-01;11342,50534638;0,00004574;-0,00775924
2016-09-02;11393,64146415;0,00450836;-0,00328586
2016-09-06;11428,07459974;0,00302214;-0,00027366
2016-09-07;11427,03340886;-0,00009111;-0,00036474
2016-09-08;11400,94288526;-0,00228323;-0,00264714
2016-09-09;11128,06395417;-0,02393477;-0,02651855
2016-09-12;11287,72225663;0,01434736;-0,01255166
2016-09-13;11125,45443449;-0,01437560;-0,02674683
2016-09-14;11121,28032457;-0,00037519;-0,02711198
2016-09-15;11232,41670216;0,00999313;-0,01738978
2016-09-16;11188,99511715;-0,00386574;-0,02118830
2016-09-19;11191,09619174;0,00018778;-0,02100450
2016-09-20;11191,61678717;0,00004652;-0,02095895
2016-09-21;11317,47096793;0,01124540;-0,00994925
2016-09-22;11388,78880434;0,00630157;-0,00371037
2016-09-23;11326,38744993;-0,00547919;-0,00916924
2016-09-26;11234,61871805;-0,00810221;-0,01719715
2016-09-27;11304,36074852;0,00620778;-0,01109613
2016-09-28;11360,47289880;0,00496376;-0,00618745
2016-09-29;11257,69315282;-0,00904714;-0,01517860
2016-09-30;11342,64460800;0,00754608;-0,00774706
2016-10-03;11315,37550119;-0,00240412;-0,01013256
2016-10-04;11257,69315282;-0,00509770;-0,01517860
2016-10-05;11307,50768719;0,00442493;-0,01082083
2016-10-06;11315,37550119;0,00069580;-0,01013256
2016-10-07;11276,57198092;-0,00342927;-0,01352709
2016-10-10;11335,30299729;0,00520823;-0,00838931
2016-10-11;11192,13925190;-0,01262990;-0,02091325
2016-10-12;11206,82527724;0,00131217;-0,01962852
2016-10-13;11170,11815834;-0,00327543;-0,02283965
2016-10-14;11175,88770168;0,00051652;-0,02233493
2016-10-17;11137,07950820;-0,00347249;-0,02572987
2016-10-18;11206,82527724;0,00626248;-0,01962852
2016-10-19;11236,71792335;0,00266736;-0,01701351
2016-10-20;11215,74175924;-0,00186675;-0,01884851
2016-10-21;11220,98136072;0,00046716;-0,01839015
2016-10-24;11268,70136300;0,00425275;-0,01421561
2016-10-25;11230,94744538;-0,00335033;-0,01751831
2016-10-26;11208,39921389;-0,00200769;-0,01949083
2016-10-27;11178,50563313;-0,00266707;-0,02210592
2016-10-28;11145,46885227;-0,00295538;-0,02499597
2016-10-31;11145,99225163;0,00004696;-0,02495018
2016-11-01;11065,23733778;-0,00724520;-0,03201461
2016-11-02;10998,64224597;-0,00601841;-0,03784034
2016-11-03;10948,29683511;-0,00457742;-0,04224455
2016-11-04;10936,23434907;-0,00110177;-0,04329977
2016-11-07;11177,45976905;0,02205745;-0,02219741
