Date;value;daily_return;drawdown
2014-01-02;10000,00000000;;0,00000000
2014-01-03;10014,84132484;0,00148413;0,00000000
2014-01-06;10003,74029571;-0,00110846;-0,00110846
2014-01-07;10031,11108623;0,00273606;0,00000000
2014-01-08;10008,48283040;-0,00225581;-0,00225581
2014-01-09;9989,05259895;-0,00194138;-0,00419280
2014-01-10;10040,84607568;0,00518502;0,00000000
2014-01-13;10049,78900550;0,00089066;0,00000000
2014-01-14;10049,89556093;0,00001060;0,00000000
2014-01-15;10104,49037442;0,00543238;0,00000000
2014-01-16;10107,99293029;0,00034663;0,00000000
2014-01-17;10106,46325976;-0,00015133;-0,00015133
2014-01-21;10082,36474366;-0,00238447;-0,00253544
2014-01-22;10059,54086303;-0,00226374;-0,00479344
2014-01-23;10087,20151900;0,00274969;-0,00205693
2014-01-24;10022,11142468;-0,00645274;-0,00849640
2014-01-27;9935,64728432;-0,00862734;-0,01705043
2014-01-28;9928,70789040;-0,00069843;-0,01773696
2014-01-29;9942,27150637;0,00136610;-0,01639509
2014-01-30;9926,17840692;-0,00161865;-0,01798720
2014-01-31;9927,07113818;0,00008994;-0,01789888
2014-02-03;9886,01365467;-0,00413591;-0,02196077
2014-02-04;9884,16632373;-0,00018686;-0,02214353
2014-02-05;9893,62998257;0,00095746;-0,02120727
2014-02-06;9949,95583751;0,00569314;-0,01563486
2014-02-07;10016,85340985;0,00672340;-0,00901658
2014-02-10;10042,30218763;0,00254060;-0,00649889
2014-02-11;10125,82586039;0,00831718;0,00000000
2014-02-12;10129,41729417;0,00035468;0,00000000
2014-02-13;10169,35214597;0,00394246;0,00000000
2014-02-14;10205,86254129;0,00359024;0,00000000
2014-02-18;10238,83618394;0,00323085;0,00000000
2014-02-19;10203,54732872;-0,00344657;-0,00344657
2014-02-20;10233,06392529;0,00289278;-0,00056376
2014-02-21;10240,52769313;0,00072938;0,00000000
2014-02-24;10293,58572828;0,00518118;0,00000000
2014-02-25;10284,41240407;-0,00089117;-0,00089117
2014-02-26;10264,43797385;-0,00194220;-0,00283164
2014-02-27;10279,10907144;0,00142931;-0,00140638
2014-02-28;10277,75155475;-0,00013207;-0,00153826
2014-03-03;10270,16988814;-0,00073768;-0,00227480
2014-03-04;10320,74441788;0,00492441;0,00000000
2014-03-05;10313,76644693;-0,00067611;-0,00067611
2014-03-06;10361,50190899;0,00462832;0,00000000
2014-03-07;10318,45495584;-0,00415451;-0,00415451
2014-03-10;10323,69048848;0,00050740;-0,00364922
2014-03-11;10327,50682510;0,00036967;-0,00328090
2014-03-12;10366,46099736;0,00377189;0,00000000
2014-03-13;10317,10180241;-0,00476143;-0,00476143
2014-03-14;10312,07799530;-0,00048694;-0,00524605
2014-03-17;10326,50025191;0,00139858;-0,00385481
2014-03-18;10361,29571886;0,00336953;-0,00049827
2014-03-19;10284,95016533;-0,00736834;-0,00786294
2014-03-20;10309,97522581;0,00243317;-0,00544890
2014-03-21;10322,79930572;0,00124385;-0,00421182
2014-03-24;10241,21153772;-0,00790365;-0,01208218
2014-03-25;10272,61083367;0,00306597;-0,00905325
2014-03-26;10226,64867246;-0,00447424;-0,01348699
2014-03-27;10182,16423892;-0,00434985;-0,01777818
2014-03-28;10207,89175289;0,00252672;-0,01529637
2014-03-31;10213,55358597;0,00055465;-0,01475020
2014-04-01;10253,01316668;0,00386345;-0,01094374
2014-04-02;10286,53196164;0,00326917;-0,00771035
2014-04-03;10270,10208828;-0,00159722;-0,00929526
