Date;SWDA.L;XLK;IAU;BIL
2014-01-02;0,250000;0,250000;0,250000;0,250000
2014-01-03;0,249524;0,248430;0,252361;0,249684
2014-01-06;0,249170;0,248282;0,252641;0,249907
2014-01-07;0,250169;0,249859;0,250693;0,249279
2014-01-08;0,249736;0,250423;0,249998;0,249843
2014-01-09;0,249325;0,249284;0,251117;0,250274
2014-01-10;0,249088;0,248491;0,253384;0,249037
2014-01-13;0,250752;0,245598;0,254834;0,248816
2014-01-14;0,249125;0,249743;0,252318;0,248813
2014-01-15;0,250593;0,251400;0,250539;0,247469
2014-01-16;0,250506;0,251243;0,250868;0,247383
2014-01-17;0,249554;0,249883;0,253197;0,247366
2014-01-21;0,248950;0,251741;0,251297;0,248012
2014-01-22;0,248573;0,252031;0,250821;0,248575
2014-01-23;0,245699;0,250850;0,255558;0,247893
2014-01-24;0,244458;0,247616;0,258477;0,249448
2014-01-27;0,243195;0,247424;0,257761;0,251619
2014-01-28;0,244160;0,246103;0,257942;0,251795
2014-01-29;0,243668;0,243849;0,260976;0,251507
2014-01-30;0,245177;0,247233;0,255675;0,251914
2014-01-31;0,244519;0,247781;0,255864;0,251837
2014-02-03;0,243830;0,243593;0,259694;0,252883
2014-02-04;0,243343;0,244568;0,259104;0,252985
2014-02-05;0,243057;0,244548;0,259707;0,252688
2014-02-06;0,244856;0,245862;0,258025;0,251257
2014-02-07;0,244429;0,247534;0,258403;0,249634
2014-02-10;0,244648;0,247399;0,259005;0,248947
2014-02-11;0,244554;0,248358;0,260194;0,246893
2014-02-12;0,243584;0,249247;0,260310;0,246860
2014-02-13;0,242472;0,250074;0,261564;0,245890
2014-02-14;0,241398;0,249664;0,263927;0,245011
2014-02-18;0,243140;0,248998;0,263694;0,244168
2014-02-19;0,243775;0,249028;0,262131;0,245066
2014-02-20;0,242454;0,249138;0,264048;0,244359
2014-02-21;0,244025;0,247991;0,263856;0,244128
2014-02-24;0,244251;0,247674;0,265153;0,242923
2014-02-25;0,243649;0,247208;0,266004;0,243139
2014-02-26;0,244431;0,247895;0,264061;0,243613
2014-02-27;0,243161;0,249534;0,264094;0,243212
2014-02-28;0,243756;0,249842;0,263105;0,243297
2014-03-03;0,240348;0,247344;0,268831;0,243477
2014-03-04;0,244169;0,249349;0,264252;0,242231
2014-03-05;0,243262;0,249860;0,264430;0,242447
2014-03-06;0,243767;0,249050;0,265852;0,241330
2014-03-07;0,243458;0,249336;0,264922;0,242284
2014-03-10;0,244048;0,248799;0,264991;0,242161
2014-03-11;0,243652;0,248160;0,266116;0,242072
2014-03-12;0,241823;0,247636;0,269379;0,241162
2014-03-13;0,240734;0,245466;0,271484;0,242316
2014-03-14;0,240035;0,244078;0,273453;0,242434
2014-03-17;0,241280;0,246611;0,270014;0,242096
2014-03-18;0,242858;0,248987;0,266873;0,241283
2014-03-19;0,243534;0,249805;0,263534;0,243127
2014-03-20;0,243709;0,251117;0,262691;0,242484
2014-03-21;0,244630;0,249547;0,263587;0,242235
2014-03-24;0,243546;0,251327;0,260961;0,244165
2014-03-25;0,244134;0,252079;0,260368;0,243419
2014-03-26;0,245901;0,250159;0,259481;0,244459
2014-03-27;0,244959;0,250346;0,259168;0,245527
2014-03-28;0,246095;0,250688;0,258308;0,244909
2014-03-31;0,246422;0,252494;0,256311;0,244773
2014-04-01;0,246963;0,254498;0,254709;0,243831
2014-04-02;0,247437;0,253806;0,255720;0,243036
2014-04-03;0,248038;0,252969;0,255514;0,243478
2014-04-04;0,248670;0,248457;0,259130;0,243743
2014-04-07;0,246745;0,248198;0,259655;0,245402
2014-04-08;0,243850;0,249896;0,261372;0,244882
2014-04-09;0,243423;0,251989;0,260909;0,243679
2014-04-10;0,244075;0,247465;0,263509;0,244952
2014-04-11;0,243318;0,245901;0,264611;0,246169
2014-04-14;0,242107;0,247268;0,265525;0,245100
2014-04-15;0,242249;0,249624;0,261938;0,246189
2014-04-16;0,243352;0,250961;0,260581;0,245107
2014-04-17;0,244674;0,250751;0,259279;0,245296
2014-04-22;0,246203;0,252378;0,256611;0,244809
2014-04-23;0,246963;0,250229;0,257394;0,245413
2014-04-24;0,246038;0,251287;0,258130;0,244545
2014-04-25;0,245017;0,248941;0,260663;0,245379
2014-04-28;0,244807;0,250935;0,259244;0,245014
