,Label,Start,End,Number of days,Total Return,CAGR,Ann. Volatility,Sharpe,Downside vol (daily),Sortino,Max Drawdown,Calmar,VaR 95 (daily),CVaR 95 (daily),Skew,Excess Kurtosis,Hit Rate,Correlation to S&P 500,Beta,Active Return (ann.),Tracking Error (ann.),Information Ratio,"R² (SPY regression, rf=0)","Residual vol (ann., SPY reg)",Regression intercept (ann.),Appraisal Ratio (intercept / residual vol),R² (4-ETF basket),Residual vol basket (ann.),Model note (REF),SSR (Sharpe Stability Ratio),SSR verdict,Max Drawdown Peak,Max Drawdown Trough,Max Drawdown Recovered
Static B&H 16-26,Static B&H 16-26,2019-01-03,2024-12-30,1478,1.4977473830760282,0.16502100885055726,0.1394247163896641,1.1895453840392127,0.006130054581919379,1.7043397533713551,-0.19630627526611266,0.8406303294525602,-0.01324137271986121,-0.02041691279770705,-0.3439424474616092,5.542225393993504,0.5622462787550744,0.9026657061534676,0.6290997644936166,-0.016168374427369823,0.09542376460690917,-0.16943760806308777,0.8148053770655375,0.06000037382501141,0.05134303562658172,0.8557119290010016,0.9902390765585626,0.013774797495574552,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.1331437932364241,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.005 < 0.05) — temporal consistency, not a skill claim",2021-12-29,2022-10-14,2023-06-12
Static B&H 14-24,Static B&H 14-24,2019-01-03,2024-12-30,1478,1.5864899168353404,0.17182750992630247,0.14889473392675912,1.163081825052205,0.0065524311715995836,1.6648950771582884,-0.20678449731895232,0.8309496705706576,-0.014335919621284148,-0.021800702257093713,-0.34640593115257257,5.528162605975633,0.560893098782138,0.9120758487550485,0.6788332458022844,-0.008843643353473716,0.08862989744099328,-0.09978171710467686,0.831882353882242,0.06105004498931214,0.04961525842839237,0.8126981468576867,0.9917113682973886,0.013555662867798805,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.13284505220479773,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.005 < 0.05) — temporal consistency, not a skill claim",2021-12-29,2022-10-14,2023-06-13
Factor v1,Factor v1,2019-01-03,2024-12-30,1478,0.8222340396237537,0.10530880766516337,0.08082821452717846,1.306427730026106,0.003453752274596747,1.9260028312843838,-0.1140524197795667,0.9233368995475727,-0.007474844643504808,-0.011452552181723004,-0.07089702140787653,8.265238390433584,0.5602165087956699,0.548532765284083,0.2216248064717691,-0.07642418140286623,0.16975051736525082,-0.45021471857093043,0.300888194590203,0.06758281905503218,0.06525598440874036,0.9655706187041845,0.9277568447971339,0.02172507768958231,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.12467688860072332,"SSR=0.12: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim",2020-02-21,2020-03-19,2020-04-14
Factor v2,Factor v2,2019-01-03,2024-12-30,1478,0.9287890099247702,0.1158395653122255,0.07832682900592161,1.4693656456060917,0.0033188099700368853,2.1845287766866366,-0.11231993478817015,1.0313357600384403,-0.007274842815286747,-0.010948821062653383,-0.0757980868729671,9.204618139950963,0.5622462787550744,0.5424263965673486,0.21237538069534456,-0.06692965055910716,0.17075562523178173,-0.39196161454861367,0.29422639569303866,0.06580262984031401,0.07643409945271776,1.1615660291724446,0.9144289935913814,0.02291257316433627,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.12477208651534943,"SSR=0.12: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim",2020-02-21,2020-03-19,2020-05-20
Factor non-PIT v1  [DIAG],Factor non-PIT v1,2019-01-03,2024-12-30,1478,0.9963702021597463,0.12226993720672463,0.08181710997603837,1.4819288429338795,0.0035269175435376997,2.1655883626149053,-0.11060161348199815,1.1054986754476748,-0.007618470344686656,-0.011755610407230294,-0.3216183251011375,6.24867526835565,0.5669824086603519,0.5902266121388781,0.24138803067632866,-0.0607732671106866,0.16551183009466636,-0.3671838265332855,0.3483674536769372,0.06604584767180788,0.077309588681851,1.170544272003509,0.9371387567702086,0.020513304079201832,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.13770155899394568,"SSR=0.14: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim",2020-02-21,2020-03-19,2020-05-12
Factor ext26,Factor ext26,2019-01-03,2024-12-30,1478,0.8663587134384918,0.10973027882844932,0.08117976017295579,1.3513780033062686,0.003430323411794626,2.01460205088756,-0.12080467300077136,0.9083280977694355,-0.00785698607564526,-0.011291892988032343,0.03604293166852671,8.444027966884644,0.5649526387009473,0.5647092613817072,0.22915296661303647,-0.07231586001826036,0.16813569938658082,-0.43010413780115997,0.3188965498902735,0.06699683768315286,0.06799402705638337,1.0148841259933268,0.9099683828371464,0.02435820546575025,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.1230635116330599,"SSR=0.12: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim",2022-03-29,2022-09-27,2023-02-01
Factor non-PIT ext26  [DIAG],Factor non-PIT ext26,2019-01-03,2024-12-30,1478,0.8959463618502639,0.11264654599075086,0.08341904351735596,1.3494844817615426,0.0035507878735900316,1.9971381247257038,-0.11191035798157334,1.0065783723906838,-0.008123430045022294,-0.011817457247719997,-0.06758994042556304,6.739363468272235,0.564276048714479,0.5879681080970853,0.24517251709252494,-0.06944769751960846,0.16539631459326548,-0.41988660805647837,0.34570649613926563,0.06747633879580416,0.0679463045332203,1.006964896818696,0.9415382117575386,0.02016978429445426,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.13027919216489217,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim",2022-03-30,2022-10-14,2023-02-01
Baseline 19-24,Baseline 19-24,2019-01-03,2024-12-30,1477,0.03672395984516008,0.006035958832323329,0.07845460079763385,0.11771238128742127,0.003648860200961091,0.15943478022117363,-0.17741463956419345,0.0340217630695541,-0.006250125413009666,-0.013642713508278708,-0.49684258053924385,30.00082889034194,0.5937711577522004,0.5405461868434922,0.21191981266794688,-0.1734625557784172,0.17096213772239766,-1.0146255661594479,0.2921901801110397,0.06600498074594477,-0.029482170417528094,-0.4466658437642136,0.41010183535163247,0.06025692141713075,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.043266086294530715,"SSR=0.04: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.227, mirror p=0.774) — luck-compatible",2021-12-29,2022-06-16,
Track A 19-24,Track A 19-24,2019-01-03,2024-12-30,1477,1.0391765510395157,0.12624975140357586,0.0950449975019166,1.3269153929312216,0.004089767140071522,1.9425564325001263,-0.1307001630380087,0.9659494561369552,-0.009313399561247392,-0.013475939778545915,-0.18995693819142354,5.235437922330607,0.5619498984427894,0.5738224330934566,0.2725380364360565,-0.0565809634548581,0.16508011043591148,-0.3427485195245514,0.3292721847212946,0.0778399273858379,0.07632461586684867,0.9805329787696472,0.9846048019955473,0.011792934952666591,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.12527785400090455,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.003 < 0.05) — temporal consistency, not a skill claim",2022-03-30,2022-10-14,2023-04-04
Track A steered,Track A steered,2019-01-03,2024-12-30,1478,1.1267951970760812,0.13418350362890963,0.09515877086233455,1.3999919491876842,0.004078592479262045,2.0576133902836182,-0.12997907652430485,1.0323469531945673,-0.009163818280788527,-0.013447267376753998,-0.18337110655303102,5.300041143746264,0.5663058186738836,0.5783793489302358,0.2751150896807769,-0.048798889127807187,0.16448615981943004,-0.29667474261286014,0.33452267126896307,0.07762747429261271,0.0831449538187168,1.0710763756824837,0.9838456314963848,0.012094664242584178,"basket residual after a constant-beta 4-ETF factor model; useful for conditional attribution, not a pure timing-skill isolate",0.12670762020918142,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim",2022-03-30,2022-10-14,2023-04-03
