iteration,kind,param,value,appraisal,passed,first_failure,decision
0,,,,-0.08801176080561701,False,budget: CAGR 7.21% vs floor 8.73%,KEEP
1,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08259911898546124,False,budget: CAGR 7.58% vs floor 8.73%,REVERT
2,overlay,overlay,"{'lam': 100.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.09957503877767493,False,budget: CAGR 7.00% vs floor 8.73%,REVERT
3,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 126, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08801176080561779,False,budget: CAGR 7.15% vs floor 8.73%,REVERT
4,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 504, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.1020847429337135,False,budget: CAGR 6.67% vs floor 8.73%,REVERT
5,overlay,overlay,"{'lam': 50.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.087004879798119,False,budget: CAGR 7.40% vs floor 8.73%,REVERT
6,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.07935803680608566,False,budget: CAGR 6.50% vs floor 8.73%,REVERT
7,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 1.1, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.096602107602629,False,budget: CAGR 7.92% vs floor 8.73%,REVERT
8,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 1.2, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.10512934817959185,False,budget: CAGR 8.61% vs floor 8.73%,REVERT
9,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 1.3, 'floor': 0.4, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.11012674179128945,True,,REVERT
10,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.5, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08801176080561701,False,budget: CAGR 7.21% vs floor 8.73%,REVERT
11,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.3, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",-0.08801176080561701,False,budget: CAGR 7.21% vs floor 8.73%,REVERT
