iteration,kind,param,value,appraisal,passed,first_failure,decision
0,,,,0.7843749656244171,False,risk_shape: CAGR 8.23% vs floor 9.73% / maxDD -10.5%,KEEP
1,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.9228775659953988,False,risk_shape: CAGR 8.86% vs floor 9.73% / maxDD -9.6%,REVERT
2,overlay,overlay,"{'lam': 100.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.6358561601322709,False,risk_shape: CAGR 7.87% vs floor 9.73% / maxDD -12.4%,REVERT
3,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 126, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.7843749656244171,False,risk_shape: CAGR 8.23% vs floor 9.73% / maxDD -10.5%,REVERT
4,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 504, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.6532641753436105,False,risk_shape: CAGR 7.79% vs floor 9.73% / maxDD -11.9%,REVERT
5,overlay,overlay,"{'lam': 50.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.7801044418994159,False,risk_shape: CAGR 8.42% vs floor 9.73% / maxDD -10.8%,REVERT
6,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 0.9, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.783076582865517,False,risk_shape: CAGR 7.42% vs floor 9.73% / maxDD -9.5%,REVERT
7,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 1.1, 'floor': 0.4, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.7985187637952141,False,risk_shape: CAGR 8.52% vs floor 9.73% / maxDD -10.7%,REVERT
8,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.5, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.7843749656244171,False,risk_shape: CAGR 8.23% vs floor 9.73% / maxDD -10.5%,REVERT
9,overlay,overlay,"{'lam': 50.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.3, 'limits': {'bull': {0: 1.0, 1: 1.0, 2: 1.0}, 'neutral': {0: 1.0, 1: 1.0, 2: 1.0}, 'bear': {0: 1.0, 1: 0.8, 2: 0.5}}}",0.7843749656244171,False,risk_shape: CAGR 8.23% vs floor 9.73% / maxDD -10.5%,REVERT
