iteration,kind,param,value,appraisal,passed,first_failure,decision
0,,,,0.8120696003583808,True,,KEEP
1,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9107122501714557,True,,KEEP
2,overlay,overlay,"{'lam': 100.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.6969112626311068,False,budget: CAGR 6.94% vs floor 7.11%,REVERT
3,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 126, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9032663507537055,True,,REVERT
4,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 504, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.7217905181036637,False,budget: CAGR 6.98% vs floor 7.11%,REVERT
5,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9464250056977235,True,,KEEP
6,overlay,overlay,"{'lam': 100.0, 'signal': 'turbulence', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.7475806511752638,True,,REVERT
7,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 126, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.8812092868764482,True,,REVERT
8,overlay,overlay,"{'lam': 20.0, 'signal': 'turbulence', 'window': 504, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9430783901400983,True,,REVERT
9,overlay,overlay,"{'lam': 20.0, 'signal': 'absorption', 'window': 252, 'scale': 1.0, 'floor': 0.4, 'arm': None, 'limits': {'bear': {0: 1.0, 1: 0.8, 2: 0.5}, 'bull': {0: 1.0, 1: 0.9, 2: 0.8}, 'neutral': {0: 1.0, 1: 0.9, 2: 0.8}}}",0.9107122501714557,True,,REVERT
