,Buy & hold,AI macro-factor,SJM v3 overlay
Window,2016-02-02 → 2026-01-30,2016-02-01 → 2026-01-30,2016-02-01 → 2026-01-30
Trading days,2468,2469,2469
Total return (cum.),3.200699228130837,1.8139307629564314,1.458631560276658
"CAGR (geom., ann.)",0.15440385306677484,0.10895237666047164,0.09409065072624578
"Total return (ann., arith.)",0.15495492469573668,0.10912996421218654,0.09440022135928242
Ann. volatility,0.12932936616450816,0.08381893766097356,0.07161813361390126
Downside RMS (daily),0.005648128614089126,0.0036013042204207928,0.0030955172390521864
Sharpe (excess BIL),1.0363373742494848,1.053330460048929,1.0273569093953507
Sortino (excess BIL),1.4841000643556232,1.5272465729566251,1.4776602287580884
Calmar,0.786545033363388,0.9552820857346586,1.1503789850541069
Max drawdown,-0.19630643703453332,-0.11405256969377997,-0.0817910027466473
Max DD peak,2021-12-29,2020-02-21,2025-02-19
Max DD trough,2022-10-14,2020-03-19,2025-04-07
Max DD recovered,2023-06-12,2020-04-14,2025-07-03
VaR 95 (daily),-0.01216759294143826,-0.007395346365243238,-0.00654588810716743
CVaR 95 (daily),-0.019042502719807675,-0.011673903666173475,-0.010009951948322318
Skew (daily),-0.10448663375415684,-0.1387635067507583,-0.1907100423676967
Excess kurtosis (daily),11.814237555063713,17.531471387615042,25.018868506479325
Hit rate (daily > 0),0.5725283630470016,0.5560955852571892,0.5581206966383151
SSR,0.13336848729822745,0.11640522468627189,0.09749326179871666
SSR p (MBB),0.000999000999000999,0.001998001998001998,0.001998001998001998
"Market (β·SPY, ann. arith.)",0.0987225678246216,0.03295649356324453,0.02346793474635244
"Alpha vs SPY (ann., arith.)",0.056232356871115274,0.07617347064894193,0.07093228661293
Beta (SPY),0.6047595625686989,0.20201396378963024,0.1438517878417256
t(α) HAC,2.9666244730067146,3.3717158175649544,3.6073275452921116
R² (market),0.7100921618312575,0.18855905333920275,0.1309644558560087
Correlation (SPY),0.842669663528513,0.43423386940587966,0.36189011572023955
"Idio vol σε (ann., CAPM)",0.06963492751206037,0.07550411331231173,0.06676391090004716
"Appraisal ratio (α/σε, CAPM)",0.8075309170297643,1.0088651771044779,1.0624345646725721
Active return vs SPY (ann.),-0.008287748814542915,-0.05400971655544687,-0.068739459408351
Tracking error vs SPY (ann.),0.09960943522829908,0.1623938927401587,0.16808148310106816
Information ratio (vs SPY),-0.08320244759492786,-0.3325846535489244,-0.4089650932400308
R² (own 4-ETF basket),0.9845321877338866,0.9096991557877292,0.8651831433191726
Idio vol vs basket (ann.),0.01608464926544999,0.025187673639267886,0.026296327358906208
