rebalance_date,macro_source_date,configuration,evidence_id,prompt_mode,guard_enabled,p_memorized,parse_ok,steered,conviction,cpi_yoy_z,t10y2y_z,hy_oas_z,macro_state_norm,loading_inflation,loading_growth,loading_credit_stress,loading_policy,loading_risk_appetite,raw_view_tilt,applied_view_tilt,expected_attenuation,observed_attenuation,relation_error,allocation_status,bl_fallback_reason,target_effective_date,target_reconstruction_error,raw_tilt_SWDA_L,raw_tilt_XLK,raw_tilt_IAU,raw_tilt_BIL,applied_tilt_SWDA_L,applied_tilt_XLK,applied_tilt_IAU,applied_tilt_BIL,bl_q_SWDA_L,bl_q_XLK,bl_q_IAU,bl_q_BIL,hrp_base_weight_SWDA_L,hrp_base_weight_XLK,hrp_base_weight_IAU,hrp_base_weight_BIL,bl_weight_SWDA_L,bl_weight_XLK,bl_weight_IAU,bl_weight_BIL,target_weight_SWDA_L,target_weight_XLK,target_weight_IAU,target_weight_BIL,target_delta_SWDA_L,target_delta_XLK,target_delta_IAU,target_delta_BIL
2019-01-02,2018-12-31,factor_pit_ext2026,1f475bc274c0b13c0da9926a3695a68e260b5669851bf06112cdce17c5932721,pit,True,0.29204048,True,True,0.82036577,0.55415989,-1.58715468,0.64765574,1.80155797,0.55000000,-1.00000000,0.65000000,1.00000000,-0.80000000,9.62000000,6.81057056,0.70795952,0.70795952,-0.00000000,bl_blend_applied,,2019-01-02,0.00000000,-2.46500000,-2.92500000,1.79500000,2.43500000,-1.74512021,-2.07078159,1.27078733,1.72388143,-0.00568110,-0.00674126,0.00413695,0.00561196,0.21607784,0.13994703,0.39397512,0.25000000,0.00000000,0.00000000,0.99999999,0.00000001,0.15125449,0.09796292,0.57578258,0.17500000,-0.06482335,-0.04198411,0.18180746,-0.07500000
2019-02-01,2019-01-31,factor_pit_ext2026,bea2a69cb2b5d4713191fe30fd036d481f702c9a1c70d0eae53a2e85d9b9da92,pit,True,0.60414109,True,True,0.55196014,-0.03021485,-1.59932940,-0.18449514,1.61021921,-0.03000000,-0.18000000,0.80000000,0.70000000,-0.60000000,5.41000000,2.14159671,0.39585891,0.39585891,0.00000000,bl_blend_applied,,2019-02-01,0.00000000,-1.38100000,-1.55200000,0.97800000,1.49900000,-0.54668116,-0.61437303,0.38715001,0.59339251,-0.00119741,-0.00134567,0.00084798,0.00129972,0.22149296,0.13409385,0.39441319,0.25000000,0.00000001,0.00000001,0.99999994,0.00000005,0.15504507,0.09386570,0.57608921,0.17500002,-0.06644789,-0.04022815,0.18167602,-0.07499998
2019-03-01,2019-02-28,factor_pit_ext2026,1e01888ab6f5decdae21af742659ba61d5ec9f1b77a2c317ba26b8aa59b12bb5,pit,True,0.47493392,True,True,0.57445626,-0.00219275,-1.51619788,-0.57582790,1.62186269,0.00000000,-0.80000000,-0.40000000,-0.60000000,-0.70000000,2.01000000,1.05538282,0.52506608,0.52506608,-0.00000000,bl_blend_applied,,2019-03-01,0.00000000,-0.72000000,-0.78000000,0.33000000,0.18000000,-0.37804758,-0.40955154,0.17327181,0.09451189,-0.00086179,-0.00093361,0.00039499,0.00021545,0.21837179,0.13370570,0.39792251,0.25000000,0.00000000,0.00000000,0.99999999,0.00000001,0.15286025,0.09359399,0.57854575,0.17500000,-0.06551154,-0.04011171,0.18062324,-0.07500000
2019-04-01,2019-03-31,factor_pit_ext2026,423f49769dc88f61377a88bca112e9f1001d990de06240d7d71757d8a90cd4d8,pit,True,0.61393731,True,True,0.54954527,0.40735864,-1.60580403,-0.46845828,1.72162737,0.40000000,-0.60000000,-0.50000000,-0.70000000,-0.50000000,1.42000000,0.54820901,0.38606269,0.38606269,0.00000000,bl_blend_applied,,2019-04-01,0.00000000,-0.41000000,-0.54000000,0.39000000,-0.08000000,-0.15828570,-0.20847385,0.15056445,-0.03088501,-0.00034518,-0.00045463,0.00032834,-0.00006735,0.21385623,0.13225313,0.40389065,0.25000000,0.00000001,0.00000001,0.99999997,0.00000001,0.14969936,0.09257719,0.58272345,0.17500000,-0.06415686,-0.03967594,0.17883280,-0.07500000
2019-05-01,2019-04-30,factor_pit_ext2026,de2c11aa82b53fef9b35ed5b91a95c5a62044199a39cdb07b993f7691e73e1b9,pit,True,0.03837118,True,True,0.54954527,0.54134103,-1.40160296,-0.74660398,1.67778380,0.50000000,-0.40000000,-0.60000000,-0.70000000,-0.50000000,1.04000000,1.00009397,0.96162882,0.96162882,0.00000000,bl_blend_applied,,2019-05-01,0.00000000,-0.16000000,-0.33000000,0.32000000,-0.23000000,-0.15386061,-0.31733751,0.30772122,-0.22117463,-0.00033553,-0.00069203,0.00067106,-0.00048232,0.21199891,0.12964318,0.40835791,0.25000000,0.00000000,0.00000000,1.00000000,0.00000000,0.14839924,0.09075022,0.58585054,0.17500000,-0.06359967,-0.03889295,0.17749263,-0.07500000
2019-06-03,2019-05-31,factor_pit_ext2026,cb09f4e7208b6bd36d77a5b06e732d0cf4765a077feafc814cd355989865138f,pit,True,0.06919663,True,True,0.47749346,0.31657087,-1.46124673,-0.01352818,1.49520638,0.30000000,0.00000000,0.80000000,-0.50000000,-0.40000000,2.99000000,2.78310209,0.93080337,0.93080337,-0.00000000,bl_blend_applied,,2019-06-03,0.00000000,-0.82000000,-0.81000000,0.95000000,0.41000000,-0.76325877,-0.75395073,0.88426320,0.38162938,-0.00144623,-0.00142860,0.00167552,0.00072312,0.20788938,0.12640151,0.41570912,0.25000000,0.00000000,0.00000001,0.99999997,0.00000002,0.14552257,0.08848106,0.59099637,0.17500001,-0.06236681,-0.03792045,0.17528726,-0.07499999
2019-07-01,2019-06-30,factor_pit_ext2026,8117ec939adfa2aaca3a4bb44944dedd6ac27504ce88d69d93c537ea8a521399,pit,True,0.01742180,True,True,0.50990195,0.18199305,-1.32110109,-0.47793871,1.41663509,0.20000000,-0.70000000,-0.40000000,-0.50000000,-0.60000000,2.03000000,1.99463375,0.98257820,0.98257820,0.00000000,bl_blend_applied,,2019-07-01,0.00000000,-0.65000000,-0.77000000,0.41000000,0.20000000,-0.63867583,-0.75658522,0.40285706,0.19651564,-0.00129231,-0.00153089,0.00081515,0.00039763,0.20453584,0.12697706,0.41848710,0.25000000,0.00000000,0.00000000,1.00000000,0.00000000,0.14317509,0.08888394,0.59294097,0.17500000,-0.06136075,-0.03809312,0.17445387,-0.07500000
2019-08-01,2019-07-31,factor_pit_ext2026,4ba1a639ecda4da084670f3e2c1b4cc30cb906b2f87f3a77dce6c48af726a61a,pit,True,0.51660448,True,True,0.42661458,0.36308874,-1.51990579,-0.59867516,1.67342732,0.30000000,-0.40000000,0.50000000,0.40000000,-0.50000000,5.13000000,2.47981904,0.48339552,0.48339552,-0.00000000,bl_blend_applied,,2019-08-01,0.00000000,-1.31000000,-1.53000000,1.04000000,1.25000000,-0.63324814,-0.73959515,0.50273135,0.60424441,-0.00107204,-0.00125207,0.00085108,0.00102293,0.20617057,0.12669796,0.41713146,0.25000000,0.00000000,0.00000000,0.99999996,0.00000003,0.14431940,0.08868858,0.59199201,0.17500001,-0.06185117,-0.03800939,0.17486055,-0.07499999
2019-09-02,2019-08-31,factor_pit_ext2026,4e961dedfb6ee98185f9224947a415cd71cffcfe3c103719954f3011f3278cad,pit,True,0.02155456,True,True,0.52107581,0.26084925,-1.72179937,-0.42854264,1.79340018,0.26000000,-0.80000000,-0.20000000,-0.60000000,0.50000000,0.77400000,0.75731677,0.97844544,0.97844544,0.00000000,non_trading_rebalance_date,rebalance_date_not_in_price_calendar,2019-08-01,,-0.23800000,-0.11600000,0.07800000,-0.34200000,-0.23287001,-0.11349967,0.07631874,-0.33462834,-0.00048152,-0.00023469,0.00015781,-0.00069193,0.19930127,0.12278071,0.42791801,0.25000000,,,,,0.14431940,0.08868858,0.59199201,0.17500001,-0.05498187,-0.03409214,0.16407400,-0.07499999
2019-10-01,2019-09-30,factor_pit_ext2026,936ff7741350bb887cba24f40b3641670fd79e5ea7ac7f0b84494584e3cc38dd,pit,True,0.21133500,True,True,0.59665736,0.19986001,-1.58824128,-0.51862942,1.68268561,0.20000000,0.50000000,-0.60000000,-0.80000000,0.70000000,5.89000000,4.64523684,0.78866500,0.78866500,0.00000000,bl_blend_applied,,2019-10-01,0.00000000,1.58000000,1.76000000,-0.89000000,-1.66000000,1.24609070,1.38805040,-0.70191185,-1.30918390,0.00295035,0.00328647,-0.00166191,-0.00309974,0.19960338,0.12295354,0.42744308,0.25000000,1.00000000,0.00000000,0.00000000,0.00000000,0.43972237,0.08606748,0.29921016,0.17500000,0.24011899,-0.03688606,-0.12823292,-0.07500000
