row_order,record_kind,configuration,comparison_id,window,metric_semantics,ann_vol,cagr,calmar,cash_benchmark_id,currency_basis,downside_rms,end,maxdd,n_obs,periods_per_year,portfolio_id,return_basis,row_kind,schema,sharpe,sortino,source,ssr_L_hac,ssr_alpha,ssr_block_len,ssr_mean_rolling_sr,ssr_n_boot,ssr_n_obs,ssr_n_rolling,ssr_p_value,ssr_p_value_lower,ssr_periods_per_year,ssr_seed,ssr_sigma_hac,ssr_sr_full,ssr_sr_star,ssr_ssr,ssr_window,start,total_return,window_label,endpoint_total_return_difference
0,reader,factor_pit_ext2026,,full,portfolio_return_metrics,0.09282325,0.12818150,1.12388089,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00400495,2026-06-30,-0.11405257,1845,252,factor_pit_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.09081282,1.57343952,scripts/build_factor_guard_ablation.py:factor_pit_ext2026:full,137,0.05000000,1,1.01673617,1000,1845,1594,0.00199800,0.99900100,252,0,7.62961862,1.09081282,0.00000000,0.13326173,252,2019-01-03,1.46807482,2019-01-03..2026-06-30,
1,reader,factor_pit_ext2026,,pre_cutoff,portfolio_return_metrics,0.08100786,0.10088922,0.88458522,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00344947,2024-05-31,-0.11405257,1334,252,factor_pit_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.00370600,1.46894876,scripts/build_factor_guard_ablation.py:factor_pit_ext2026:pre_cutoff,120,0.05000000,1,0.80009377,1000,1334,1083,0.01098901,0.99000999,252,0,7.36057798,1.00370600,0.00000000,0.10869986,252,2019-01-03,0.68202594,2019-01-03..2024-05-31,
2,reader,factor_pit_ext2026,,post_cutoff,portfolio_return_metrics,0.11821843,0.20234999,2.03313784,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00518165,2026-06-30,-0.09952596,511,252,factor_pit_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.29642541,1.83865298,scripts/build_factor_guard_ablation.py:factor_pit_ext2026:post_cutoff,50,0.05000000,1,1.41625704,1000,511,260,0.05194805,0.94905095,252,0,1.26929666,1.29642541,0.00000000,1.11578095,252,2024-06-03,0.46732269,2024-06-03..2026-06-30,
3,reader,factor_pit_unguarded_diagnostic_ext2026,,full,portfolio_return_metrics,0.09160815,0.12740606,1.09058827,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00395601,2026-06-30,-0.11682325,1845,252,factor_pit_unguarded_diagnostic_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.09630467,1.57984973,scripts/build_factor_guard_ablation.py:factor_pit_unguarded_diagnostic_ext2026:full,137,0.05000000,1,0.99949627,1000,1845,1594,0.00199800,0.99900100,252,0,7.72319615,1.09630467,0.00000000,0.12941485,252,2019-01-03,1.45539580,2019-01-03..2026-06-30,
4,reader,factor_pit_unguarded_diagnostic_ext2026,,pre_cutoff,portfolio_return_metrics,0.08083052,0.09828304,0.84129698,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00344447,2024-05-31,-0.11682325,1334,252,factor_pit_unguarded_diagnostic_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,0.97573925,1.42702301,scripts/build_factor_guard_ablation.py:factor_pit_unguarded_diagnostic_ext2026:pre_cutoff,120,0.05000000,1,0.77482605,1000,1334,1083,0.01198801,0.98901099,252,0,7.39246961,0.97573925,0.00000000,0.10481288,252,2019-01-03,0.66059594,2019-01-03..2024-05-31,
5,reader,factor_pit_unguarded_diagnostic_ext2026,,post_cutoff,portfolio_return_metrics,0.11505233,0.20679136,2.07770328,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00505299,2026-06-30,-0.09952882,511,252,factor_pit_unguarded_diagnostic_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.36154153,1.92668162,scripts/build_factor_guard_ablation.py:factor_pit_unguarded_diagnostic_ext2026:post_cutoff,57,0.05000000,1,1.43552492,1000,511,260,0.04495504,0.95604396,252,0,1.56948974,1.36154153,0.00000000,0.91464435,252,2024-06-03,0.47862327,2024-06-03..2026-06-30,
6,reader,factor_nonpit_diagnostic_ext2026,,full,portfolio_return_metrics,0.09754772,0.15365372,1.24172361,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00425777,2026-06-30,-0.12374228,1845,252,factor_nonpit_diagnostic_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.27656674,1.82226627,scripts/build_factor_guard_ablation.py:factor_nonpit_diagnostic_ext2026:full,137,0.05000000,1,1.26431161,1000,1845,1594,0.00199800,0.99900100,252,0,8.41494566,1.27656674,0.00000000,0.15024596,252,2019-01-03,1.91737615,2019-01-03..2026-06-30,
7,reader,factor_nonpit_diagnostic_ext2026,,pre_cutoff,portfolio_return_metrics,0.08145626,0.11927485,1.07841788,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00349902,2024-05-31,-0.11060170,1334,252,factor_nonpit_diagnostic_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.20674033,1.75145160,scripts/build_factor_guard_ablation.py:factor_nonpit_diagnostic_ext2026:pre_cutoff,120,0.05000000,1,1.01040425,1000,1334,1083,0.00499500,0.99600400,252,0,8.01916683,1.20674033,0.00000000,0.12599866,252,2019-01-03,0.83970192,2019-01-03..2024-05-31,
8,reader,factor_nonpit_diagnostic_ext2026,,post_cutoff,portfolio_return_metrics,0.13047292,0.24806197,2.00466617,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00578731,2026-06-30,-0.12374228,511,252,factor_nonpit_diagnostic_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.47887284,2.07700842,scripts/build_factor_guard_ablation.py:factor_nonpit_diagnostic_ext2026:post_cutoff,44,0.05000000,1,1.77723396,1000,511,260,0.03196803,0.96903097,252,0,1.13442119,1.47887284,0.00000000,1.56664384,252,2024-06-03,0.58578742,2024-06-03..2026-06-30,
9,reader,factor_nonpit_unguarded_diagnostic_ext2026,,full,portfolio_return_metrics,0.09624073,0.15876739,1.27753908,BIL@provisional_market_total_return_fx_2026-06-30_v1,legacy_mixed_local_quotes,0.00418939,2026-06-30,-0.12427596,1845,252,factor_nonpit_unguarded_diagnostic_ext2026,factor_guard_ablation_equity,performance_only,portfolio_metrics.reader.v2,1.33961825,1.91711140,scripts/build_factor_guard_ablation.py:factor_nonpit_unguarded_diagnostic_ext2026:full,137,0.05000000,1,1.26792077,1000,1845,1594,0.00099900,1.00000000,252,0,8.20011293,1.33961825,0.00000000,0.15462235,252,2019-01-03,2.01564800,2019-01-03..2026-06-30,
