window;snapshot_id;base_currency;valuation_rule;requested_start;requested_end;actual_start;actual_end;n_obs;periods_per_year;source_dates_sha256;residual_tolerance;target_return_ann;success;status;message;iterations;objective;budget_residual;target_residual;bound_violation;return_ann;volatility_ann;feasible;weight_SWDA.L;weight_XLK;weight_IAU;weight_BIL
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,02048883;True;0;Optimization terminated successfully;2;0,00000861;0,00000000;0,00000000;0,00000000;0,02048883;0,00293424;True;0,00000000;0,00000000;0,00000000;1,00000000
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,02410778;True;0;Optimization terminated successfully;10;0,00001741;0,00000000;0,00000000;0,00000000;0,02410778;0,00417227;True;0,00000000;0,01042504;0,01072420;0,97885075
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,02772673;True;0;Optimization terminated successfully;8;0,00004310;0,00000000;0,00000000;0,00000000;0,02772673;0,00656502;True;0,00000000;0,01995389;0,02292156;0,95712455
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,03134568;True;0;Optimization terminated successfully;8;0,00008561;0,00000000;0,00000000;0,00000000;0,03134568;0,00925263;True;0,00000000;0,02948273;0,03511892;0,93539835
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,03496463;True;0;Optimization terminated successfully;8;0,00014494;0,00000000;0,00000000;0,00000000;0,03496463;0,01203923;True;0,00000000;0,03901157;0,04731628;0,91367215
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,03858359;True;0;Optimization terminated successfully;8;0,00022109;-0,00000000;0,00000000;0,00000000;0,03858359;0,01486926;True;0,00000000;0,04854041;0,05951365;0,89194594
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,04220254;True;0;Optimization terminated successfully;8;0,00031407;0,00000000;-0,00000000;0,00000000;0,04220254;0,01772194;True;0,00000000;0,05806925;0,07171101;0,87021974
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,04582149;True;0;Optimization terminated successfully;8;0,00042386;0,00000000;0,00000000;0,00000000;0,04582149;0,02058784;True;0,00000000;0,06759809;0,08390837;0,84849354
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,04944044;True;0;Optimization terminated successfully;8;0,00055047;0,00000000;0,00000000;0,00000000;0,04944044;0,02346213;True;0,00000000;0,07712693;0,09610573;0,82676734
10y;provisional_market_total_return_fx_2026-06-30_v1;USD;"Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days";2016-02-01;2026-01-30;2016-02-12;2026-01-30;521;52,17750000;f0aad35df058825f1cc77139d70ec9ab0c3a8ead1a40738b43d2faf524886136;0,00000001;0,05305939;True;0;Optimization terminated successfully;8;0,00069390;0,00000000;-0,00000000;0,00000000;0,05305939;0,02634205;True;0,00000000;0,08665578;0,10830309;0,80504113
