window,snapshot_id,base_currency,valuation_rule,requested_start,requested_end,actual_start,actual_end,n_obs,periods_per_year,source_dates_sha256,residual_tolerance,target_return_ann,success,status,message,iterations,objective,budget_residual,target_residual,bound_violation,return_ann,volatility_ann,feasible,weight_SWDA.L,weight_XLK,weight_IAU,weight_BIL
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.01228617,True,0,Optimization terminated successfully,2,0.00000804,0.00000000,0.00000000,0.00000000,0.01228617,0.00283589,True,0.00000000,0.00000000,0.00000000,1.00000000
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.01537719,True,0,Optimization terminated successfully,8,0.00001644,0.00000000,0.00000000,0.00000000,0.01537719,0.00405521,True,0.00000000,0.01269001,0.00823367,0.97907632
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.01846821,True,0,Optimization terminated successfully,8,0.00004205,0.00000000,0.00000000,0.00000000,0.01846821,0.00648463,True,0.00000000,0.02480179,0.01758515,0.95761306
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.02155924,True,0,Optimization terminated successfully,8,0.00008482,0.00000000,0.00000000,0.00000000,0.02155924,0.00920981,True,0.00000000,0.03691348,0.02693679,0.93614972
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.02465026,True,0,Optimization terminated successfully,8,0.00014476,0.00000000,0.00000000,0.00000000,0.02465026,0.01203142,True,0.00000000,0.04902518,0.03628843,0.91468639
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.02774129,True,0,Optimization terminated successfully,8,0.00022185,0.00000000,0.00000000,0.00000000,0.02774129,0.01489476,True,0.00000000,0.06113688,0.04564007,0.89322305
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.03083231,True,0,Optimization terminated successfully,8,0.00031612,0.00000000,0.00000000,0.00000000,0.03083231,0.01777969,True,0.00000000,0.07324858,0.05499171,0.87175971
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.03392333,True,0,Optimization terminated successfully,8,0.00042755,0.00000000,0.00000000,0.00000000,0.03392333,0.02067716,True,0.00000000,0.08536028,0.06434334,0.85029637
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.03701436,True,0,Optimization terminated successfully,8,0.00055614,0.00000000,0.00000000,0.00000000,0.03701436,0.02358256,True,0.00000000,0.09747198,0.07369498,0.82883304
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.04010538,True,0,Optimization terminated successfully,8,0.00070189,0.00000000,-0.00000000,0.00000000,0.04010538,0.02649328,True,0.00000000,0.10958368,0.08304662,0.80736970
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.04319641,True,0,Optimization terminated successfully,8,0.00086481,0.00000000,-0.00000000,0.00000000,0.04319641,0.02940773,True,0.00000000,0.12169538,0.09239826,0.78590636
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.04628743,True,0,Optimization terminated successfully,8,0.00104490,0.00000000,0.00000000,0.00000000,0.04628743,0.03232491,True,0.00000000,0.13380708,0.10174990,0.76444303
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.04937845,True,0,Optimization terminated successfully,8,0.00124215,0.00000000,0.00000000,0.00000000,0.04937845,0.03524414,True,0.00000000,0.14591878,0.11110153,0.74297969
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.05246948,True,0,Optimization terminated successfully,8,0.00145656,0.00000000,0.00000000,0.00000000,0.05246948,0.03816496,True,0.00000000,0.15803048,0.12045317,0.72151635
max,provisional_market_total_return_fx_2026-06-30_v1,USD,Friday 22:00 UTC; latest observation at or before cutoff; maximum staleness 3 calendar days,2009-09-25,2026-01-30,2009-10-02,2026-01-30,853,52.17750000,2065f38f826334af24ff25b8be518e5a1c1878ad7b3ad95097c717bd557826c9,0.00000001,0.05556050,True,0,Optimization terminated successfully,8,0.00168814,0.00000000,0.00000000,0.00000000,0.05556050,0.04108701,True,0.00000000,0.17014218,0.12980481,0.70005301
