schema;portfolio_id;return_basis;window_label;start;end;n_obs;periods_per_year;cash_benchmark_id;currency_basis;source;row_kind;actual_end;anchor;ann_vol;boundary_anchored_max_drawdown;cagr;calmar;downside_rms;episode_return;first_return_date;maxdd;n_returns;raw_market_model_beta;raw_market_model_end;raw_market_model_hac_maxlags;raw_market_model_intercept_ann_arithmetic;raw_market_model_intercept_native_period;raw_market_model_intercept_se_hac;raw_market_model_intercept_t_hac;raw_market_model_kind;raw_market_model_n_obs;raw_market_model_periods_per_year;raw_market_model_r2;raw_market_model_start;requested_end;requested_start;sharpe;sortino;ssr_L_hac;ssr_alpha;ssr_block_len;ssr_mean_rolling_sr;ssr_n_boot;ssr_n_obs;ssr_n_rolling;ssr_p_value;ssr_p_value_lower;ssr_periods_per_year;ssr_seed;ssr_sigma_hac;ssr_sr_full;ssr_sr_star;ssr_ssr;ssr_window;total_return;volatility_ann
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z;sjm_v3_overlay_anchored_equity;full 2019-01-03..2026-06-30;2019-01-03;2026-06-30;1845;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_equity.parquet#68141ac49a552c489feda04689df8324666000d1a6a45d9d57e2baa979fe38f4|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;;;0,07898409;;0,11191415;1,26783737;0,00343776;;;-0,08827169;;0,17328515;2026-06-30;5,00000000;0,07982294;0,00031676;0,00009332;3,39425182;raw_market_model;1845,00000000;252,00000000;0,18445502;2019-01-03;;;1,07899189;1,53887652;137,00000000;0,05000000;1,00000000;0,95823719;1000,00000000;1845,00000000;1594,00000000;0,00199800;0,99900100;252,00000000;0,00000000;7,49445785;1,07899189;0,00000000;0,12785944;252,00000000;1,21364880;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z;sjm_v3_overlay_anchored_equity;development 2019-01-03..2024-06-28;2019-01-03;2024-06-28;1353;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_equity.parquet#68141ac49a552c489feda04689df8324666000d1a6a45d9d57e2baa979fe38f4|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;;;0,06395855;;0,09255562;1,27145500;0,00272854;;;-0,07279504;;;;;;;;;;;;;;;;1,12396748;1,63443159;121,00000000;0,05000000;1,00000000;0,79853148;1000,00000000;1353,00000000;1102,00000000;0,00899101;0,99200799;252,00000000;0,00000000;7,61205213;1,12396748;0,00000000;0,10490357;252,00000000;0,62527350;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z;sjm_v3_overlay_anchored_equity;holdout 2024-07-01..2026-06-30;2024-07-01;2026-06-30;492;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_equity.parquet#68141ac49a552c489feda04689df8324666000d1a6a45d9d57e2baa979fe38f4|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;;;0,11022800;;0,16668510;1,88831884;0,00488308;;;-0,08827169;;;;;;;;;;;;;;;;1,10580535;1,55089960;47,00000000;0,05000000;1,00000000;1,33679649;1000,00000000;492,00000000;241,00000000;0,09790210;0,90309690;252,00000000;0,00000000;1,22200145;1,10580535;0,00000000;1,09394018;252,00000000;0,36201618;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z_control;sjm_v3_control_anchored_equity;full 2019-01-03..2026-06-30;2019-01-03;2026-06-30;1845;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_control_returns.parquet#1932ad4369dcd0c118273866a53f011f9e493bbd88b879e967ecab2212e55ac1|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;;;0,08818391;;0,12041909;1,05582097;0,00382423;;;-0,11405257;;0,21855312;2026-06-30;5,00000000;0,08006924;0,00031774;0,00010218;3,10948273;raw_market_model;1845,00000000;252,00000000;0,23538690;2019-01-03;;;1,06351859;1,52614180;137,00000000;0,05000000;1,00000000;1,00418284;1000,00000000;1845,00000000;1594,00000000;0,00199800;0,99900100;252,00000000;0,00000000;7,80616486;1,06351859;0,00000000;0,12863972;252,00000000;1,34367546;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z_control;sjm_v3_control_anchored_equity;development 2019-01-03..2024-06-28;2019-01-03;2024-06-28;1353;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_control_returns.parquet#1932ad4369dcd0c118273866a53f011f9e493bbd88b879e967ecab2212e55ac1|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;;;0,07763892;;0,09803352;0,85954676;0,00333227;;;-0,11405257;;;;;;;;;;;;;;;;1,00386860;1,45681667;121,00000000;0,05000000;1,00000000;0,76619523;1000,00000000;1353,00000000;1102,00000000;0,01498501;0,98601399;252,00000000;0,00000000;7,16645191;1,00386860;0,00000000;0,10691417;252,00000000;0,67048925;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z_control;sjm_v3_control_anchored_equity;holdout 2024-07-01..2026-06-30;2024-07-01;2026-06-30;492;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_control_returns.parquet#1932ad4369dcd0c118273866a53f011f9e493bbd88b879e967ecab2212e55ac1|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;;;0,11219584;;0,18406685;1,95885625;0,00493020;;;-0,09396649;;;;;;;;;;;;;;;;1,22388609;1,73194011;40,00000000;0,05000000;1,00000000;1,48636163;1000,00000000;492,00000000;241,00000000;0,07292707;0,92807193;252,00000000;0,00000000;0,90715584;1,22388609;0,00000000;1,63848544;252,00000000;0,40298745;
attribution.raw_market_model.v1;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z;sjm_v3_overlay_anchored_equity;attribution 2019-01-03..2026-06-30;2019-01-03;2026-06-30;1845;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_equity.parquet#68141ac49a552c489feda04689df8324666000d1a6a45d9d57e2baa979fe38f4|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;;;;;;;;;;;;;0,17328515;2026-06-30;5,00000000;0,07982294;0,00031676;0,00009332;3,39425182;raw_market_model;1845,00000000;252,00000000;0,18445502;2019-01-03;;;;;;;;;;;;;;;;;;;;;;
crisis_metrics.boundary_anchored.v1;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z;sjm_v3_overlay_anchored_equity;crisis 2021-12-31..2022-12-30;2021-12-31;2022-12-30;243;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_equity.parquet#68141ac49a552c489feda04689df8324666000d1a6a45d9d57e2baa979fe38f4|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;;2022-12-30;2021-12-31;;-0,07279504;;;;-0,02478986;2022-01-04;;243,00000000;;;;;;;;;;;;;2022-12-31;2022-01-01;;;;;;;;;;;;;;;;;;;;0,05538790
attribution.raw_market_model.v1;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z_control;sjm_v3_control_anchored_equity;attribution 2019-01-03..2026-06-30;2019-01-03;2026-06-30;1845;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_control_returns.parquet#1932ad4369dcd0c118273866a53f011f9e493bbd88b879e967ecab2212e55ac1|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;;;;;;;;;;;;;0,21855312;2026-06-30;5,00000000;0,08006924;0,00031774;0,00010218;3,10948273;raw_market_model;1845,00000000;252,00000000;0,23538690;2019-01-03;;;;;;;;;;;;;;;;;;;;;;
crisis_metrics.boundary_anchored.v1;sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z_control;sjm_v3_control_anchored_equity;crisis 2021-12-31..2022-12-30;2021-12-31;2022-12-30;243;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_devstartfix_20260730T154855Z/sjm_control_returns.parquet#1932ad4369dcd0c118273866a53f011f9e493bbd88b879e967ecab2212e55ac1|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;;2022-12-30;2021-12-31;;-0,10316702;;;;-0,02791758;2022-01-04;;243,00000000;;;;;;;;;;;;;2022-12-31;2022-01-01;;;;;;;;;;;;;;;;;;;;0,08284724
