schema;portfolio_id;return_basis;window_label;start;end;n_obs;periods_per_year;cash_benchmark_id;currency_basis;source;row_kind;actual_end;anchor;ann_vol;boundary_anchored_max_drawdown;cagr;calmar;downside_rms;episode_return;first_return_date;maxdd;n_returns;raw_market_model_beta;raw_market_model_end;raw_market_model_hac_maxlags;raw_market_model_intercept_ann_arithmetic;raw_market_model_intercept_native_period;raw_market_model_intercept_se_hac;raw_market_model_intercept_t_hac;raw_market_model_kind;raw_market_model_n_obs;raw_market_model_periods_per_year;raw_market_model_r2;raw_market_model_start;requested_end;requested_start;sharpe;sortino;ssr_L_hac;ssr_alpha;ssr_block_len;ssr_mean_rolling_sr;ssr_n_boot;ssr_n_obs;ssr_n_rolling;ssr_p_value;ssr_p_value_lower;ssr_periods_per_year;ssr_seed;ssr_sigma_hac;ssr_sr_full;ssr_sr_star;ssr_ssr;ssr_window;total_return;volatility_ann
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z;sjm_v3_overlay_anchored_equity;full 2016-01-04..2026-06-30;2016-01-04;2026-06-30;2588;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_equity.parquet#262e3e2f83c0d3133394c4fc50ccd027b597c7074d94144dd05c66eb492d322c|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;;;0,07433024;;0,09623242;1,09018434;0,00321606;;;-0,08827169;;0,15553255;2026-06-30;5,00000000;0,07192455;0,00028541;0,00007971;3,58082574;raw_market_model;2588,00000000;252,00000000;0,14114133;2016-01-04;;;1,01446607;1,45767529;155,00000000;0,05000000;1,00000000;0,86850431;1000,00000000;2588,00000000;2337,00000000;0,00199800;0,99900100;252,00000000;0,00000000;8,53419157;1,01446607;0,00000000;0,10176761;252,00000000;1,62334146;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z;sjm_v3_overlay_anchored_equity;development 2016-01-04..2024-06-28;2016-01-04;2024-06-28;2096;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_equity.parquet#262e3e2f83c0d3133394c4fc50ccd027b597c7074d94144dd05c66eb492d322c|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;;;0,06300486;;0,08023745;1,10223782;0,00267840;;;-0,07279504;;;;;;;;;;;;;;;;1,02351066;1,49817792;143,00000000;0,05000000;1,00000000;0,74918492;1000,00000000;2096,00000000;1845,00000000;0,00099900;1,00000000;252,00000000;0,00000000;8,65775878;1,02351066;0,00000000;0,08653336;252,00000000;0,92607217;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z;sjm_v3_overlay_anchored_equity;holdout 2024-07-01..2026-06-30;2024-07-01;2026-06-30;492;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_equity.parquet#262e3e2f83c0d3133394c4fc50ccd027b597c7074d94144dd05c66eb492d322c|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;;;0,11022800;;0,16668510;1,88831884;0,00488308;;;-0,08827169;;;;;;;;;;;;;;;;1,10580535;1,55089960;47,00000000;0,05000000;1,00000000;1,33679649;1000,00000000;492,00000000;241,00000000;0,09790210;0,90309690;252,00000000;0,00000000;1,22200145;1,10580535;0,00000000;1,09394018;252,00000000;0,36201618;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z_control;sjm_v3_control_anchored_equity;full 2016-01-04..2026-06-30;2016-01-04;2026-06-30;2588;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_control_returns.parquet#1415f61c8b082d7f199fbfe2f2faec662cbd15edd76882f9b4fc7daa6aaa74ce|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;full;;;0,08292034;;0,10638012;0,93272879;0,00357658;;;-0,11405257;;0,19955626;2026-06-30;5,00000000;0,07501156;0,00029766;0,00008741;3,40549409;raw_market_model;2588,00000000;252,00000000;0,18670299;2016-01-04;;;1,03111450;1,48915665;155,00000000;0,05000000;1,00000000;0,95752896;1000,00000000;2588,00000000;2337,00000000;0,00099900;1,00000000;252,00000000;0,00000000;8,11817063;1,03111450;0,00000000;0,11794886;252,00000000;1,88975197;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z_control;sjm_v3_control_anchored_equity;development 2016-01-04..2024-06-28;2016-01-04;2024-06-28;2096;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_control_returns.parquet#1415f61c8b082d7f199fbfe2f2faec662cbd15edd76882f9b4fc7daa6aaa74ce|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;;;0,07439218;;0,08880395;0,77862294;0,00317632;;;-0,11405257;;;;;;;;;;;;;;;;0,98561204;1,43982452;143,00000000;0,05000000;1,00000000;0,80294031;1000,00000000;2096,00000000;1845,00000000;0,00199800;0,99900100;252,00000000;0,00000000;7,75030351;0,98561204;0,00000000;0,10360114;252,00000000;1,05971334;
portfolio_metrics.reader.v2;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z_control;sjm_v3_control_anchored_equity;holdout 2024-07-01..2026-06-30;2024-07-01;2026-06-30;492;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_control_returns.parquet#1415f61c8b082d7f199fbfe2f2faec662cbd15edd76882f9b4fc7daa6aaa74ce|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;performance_only;;;0,11219584;;0,18406685;1,95885625;0,00493020;;;-0,09396649;;;;;;;;;;;;;;;;1,22388609;1,73194011;40,00000000;0,05000000;1,00000000;1,48636163;1000,00000000;492,00000000;241,00000000;0,07292707;0,92807193;252,00000000;0,00000000;0,90715584;1,22388609;0,00000000;1,63848544;252,00000000;0,40298745;
attribution.raw_market_model.v1;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z;sjm_v3_overlay_anchored_equity;attribution 2016-01-04..2026-06-30;2016-01-04;2026-06-30;2588;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_equity.parquet#262e3e2f83c0d3133394c4fc50ccd027b597c7074d94144dd05c66eb492d322c|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;;;;;;;;;;;;;0,15553255;2026-06-30;5,00000000;0,07192455;0,00028541;0,00007971;3,58082574;raw_market_model;2588,00000000;252,00000000;0,14114133;2016-01-04;;;;;;;;;;;;;;;;;;;;;;
crisis_metrics.boundary_anchored.v1;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z;sjm_v3_overlay_anchored_equity;crisis 2021-12-31..2022-12-30;2021-12-31;2022-12-30;243;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_equity.parquet#262e3e2f83c0d3133394c4fc50ccd027b597c7074d94144dd05c66eb492d322c|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;;2022-12-30;2021-12-31;;-0,07279504;;;;-0,02478986;2022-01-04;;243,00000000;;;;;;;;;;;;;2022-12-31;2022-01-01;;;;;;;;;;;;;;;;;;;;0,05538790
attribution.raw_market_model.v1;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z_control;sjm_v3_control_anchored_equity;attribution 2016-01-04..2026-06-30;2016-01-04;2026-06-30;2588;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_control_returns.parquet#1415f61c8b082d7f199fbfe2f2faec662cbd15edd76882f9b4fc7daa6aaa74ce|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;;;;;;;;;;;;;0,19955626;2026-06-30;5,00000000;0,07501156;0,00029766;0,00008741;3,40549409;raw_market_model;2588,00000000;252,00000000;0,18670299;2016-01-04;;;;;;;;;;;;;;;;;;;;;;
crisis_metrics.boundary_anchored.v1;sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z_control;sjm_v3_control_anchored_equity;crisis 2021-12-31..2022-12-30;2021-12-31;2022-12-30;243;252;BIL@provisional_market_total_return_fx_2026-06-30_v1;legacy_mixed_local_quotes;sjm_run:sjm_crowding_v3_total_return_bil_provisional_full2016_20260801T100439Z/sjm_control_returns.parquet#1415f61c8b082d7f199fbfe2f2faec662cbd15edd76882f9b4fc7daa6aaa74ce|market_snapshot:provisional_market_total_return_fx_2026-06-30_v1/cash_market_total_return.parquet#SPY@87a8f564aefb4534b692bf5cba693264639bfb88f44e4a32a18655bb7689f0b3;;2022-12-30;2021-12-31;;-0,10316702;;;;-0,02791758;2022-01-04;;243,00000000;;;;;;;;;;;;;2022-12-31;2022-01-01;;;;;;;;;;;;;;;;;;;;0,08284724
