date,pit_p,nonpit_p,delta,segment
2019-01-02,0.29204048,0.62460401,0.33256353,in_training
2019-02-01,0.60414109,0.67300639,0.06886530,in_training
2019-03-01,0.47493392,0.89309922,0.41816529,in_training
2019-04-01,0.61393731,0.66317368,0.04923637,in_training
2019-05-01,0.03837118,0.66351016,0.62513898,in_training
2019-06-03,0.06919663,0.56758252,0.49838589,in_training
2019-07-01,0.01742180,0.96644711,0.94902532,in_training
2019-08-01,0.51660448,0.96246240,0.44585792,in_training
2019-09-02,0.02155456,0.68191206,0.66035750,in_training
2019-10-01,0.21133500,0.92908999,0.71775498,in_training
2019-11-01,0.07019225,0.73907232,0.66888007,in_training
2019-12-02,0.40950246,0.82427587,0.41477341,in_training
2020-01-02,0.44463788,0.93267017,0.48803229,in_training
2020-02-03,0.09316215,0.42910456,0.33594240,in_training
2020-03-02,0.00000542,0.69254283,0.69253741,in_training
2020-04-01,0.05873939,0.69341211,0.63467273,in_training
2020-05-01,0.05213506,0.74430708,0.69217202,in_training
2020-06-01,0.68579960,0.72372537,0.03792578,in_training
2020-07-01,0.39264581,0.61813663,0.22549082,in_training
2020-08-03,0.52038850,0.54248043,0.02209193,in_training
2020-09-01,0.02525352,0.45052104,0.42526752,in_training
2020-10-01,0.47079164,0.57152751,0.10073587,in_training
2020-11-02,0.49792686,0.72457035,0.22664349,in_training
2020-12-01,0.61382488,0.97923081,0.36540593,in_training
2021-01-04,0.01031310,0.63915925,0.62884616,in_training
2021-02-01,0.37683716,0.54063676,0.16379960,in_training
2021-03-01,0.87337078,0.66098023,-0.21239055,in_training
2021-04-01,0.03272645,0.00000000,-0.03272645,in_training
2021-05-03,0.03412558,0.94284173,0.90871614,in_training
2021-06-01,0.06227431,0.89068785,0.82841354,in_training
2021-07-01,0.44179813,0.66250283,0.22070469,in_training
2021-08-02,0.07386986,0.58101548,0.50714562,in_training
2021-09-01,0.02407182,0.96886567,0.94479385,in_training
2021-10-01,0.48361196,0.54454407,0.06093211,in_training
2021-11-01,0.06777449,0.52540224,0.45762775,in_training
2021-12-01,0.66891962,0.34736738,-0.32155224,in_training
2022-01-03,0.14819213,0.67230014,0.52410800,in_training
2022-02-01,0.00294624,0.63117652,0.62823028,in_training
2022-03-01,0.16995719,0.96279461,0.79283742,in_training
2022-04-01,0.29454034,0.93865663,0.64411629,in_training
2022-05-02,0.03648758,0.82580961,0.78932203,in_training
2022-06-01,0.39611799,0.96356488,0.56744689,in_training
2022-07-01,0.00008058,0.68703436,0.68695379,in_training
2022-08-01,0.07209391,0.83006090,0.75796699,in_training
2022-09-01,0.02229805,0.74173978,0.71944173,in_training
2022-10-03,0.68587857,0.80281533,0.11693676,in_training
2022-11-01,0.48571828,0.57715850,0.09144022,in_training
2022-12-01,0.46549314,0.62293527,0.15744212,in_training
2023-01-03,0.30373101,0.43919081,0.13545979,in_training
2023-02-01,0.37049566,0.86388839,0.49339273,in_training
2023-03-01,0.53397321,0.76756049,0.23358728,in_training
2023-04-03,0.45843135,0.60557081,0.14713945,in_training
2023-05-01,0.00186199,0.70245218,0.70059019,in_training
2023-06-01,0.12870553,0.59175009,0.46304456,in_training
2023-07-03,0.50058995,0.58645943,0.08586948,in_training
2023-08-01,0.31888113,0.69578544,0.37690431,in_training
2023-09-01,0.26802470,0.57140736,0.30338266,in_training
2023-10-02,0.04404487,0.72429564,0.68025077,in_training
2023-11-01,0.33222023,0.72053689,0.38831666,in_training
2023-12-01,0.55386779,0.87482770,0.32095991,in_training
2024-01-02,0.26338398,0.68035745,0.41697347,in_training
2024-02-01,0.53628655,0.45309305,-0.08319350,in_training
2024-03-01,0.51533859,0.92720653,0.41186794,in_training
2024-04-01,0.83680060,0.93634068,0.09954007,in_training
2024-05-01,0.66154631,0.56581004,-0.09573627,in_training
2024-06-03,0.49040214,0.58284406,0.09244192,post_cutoff
2024-07-01,0.54352256,0.84841556,0.30489300,post_cutoff
2024-08-01,0.47738421,0.68372509,0.20634088,post_cutoff
2024-09-02,0.00000000,0.98330778,0.98330778,post_cutoff
2024-10-01,0.27776542,0.70353025,0.42576482,post_cutoff
2024-11-01,0.10804431,0.63079925,0.52275494,post_cutoff
2024-12-02,0.52316359,0.95260811,0.42944452,post_cutoff
2025-01-02,0.74142549,0.85252910,0.11110361,post_cutoff
2025-02-03,0.01080625,0.56643783,0.55563158,post_cutoff
2025-03-03,0.47241782,0.65883330,0.18641548,post_cutoff
2025-04-01,0.10428815,0.79983576,0.69554760,post_cutoff
2025-05-01,0.77311989,0.90465568,0.13153579,post_cutoff
2025-06-02,0.61473370,0.86849878,0.25376508,post_cutoff
2025-07-01,0.55991013,0.93423515,0.37432502,post_cutoff
2025-08-01,0.58678198,0.58286023,-0.00392175,post_cutoff
2025-09-01,0.32109040,0.61337597,0.29228557,post_cutoff
2025-10-01,0.00000017,0.60317520,0.60317502,post_cutoff
2025-11-03,0.46976691,0.92961675,0.45984984,post_cutoff
2025-12-01,0.48228975,0.63170961,0.14941985,post_cutoff
2026-01-02,0.49017750,0.72865112,0.23847362,post_cutoff
2026-02-02,0.55955550,0.70050879,0.14095329,post_cutoff
2026-03-02,0.41617241,0.69727182,0.28109941,post_cutoff
2026-04-01,0.35042804,0.60269324,0.25226520,post_cutoff
2026-05-01,0.45231592,0.95702316,0.50470724,post_cutoff
2026-06-01,0.53773076,0.85430595,0.31657520,post_cutoff
