date;parse_ok;segment;variant;inflation;growth;credit_stress;policy;risk_appetite
2019-01-02;True;replayed_v1;pit;0,55000000;-1,00000000;0,65000000;1,00000000;-0,80000000
2019-02-01;True;replayed_v1;pit;-0,03000000;-0,18000000;0,80000000;0,70000000;-0,60000000
2019-03-01;True;replayed_v1;pit;0,00000000;-0,80000000;-0,40000000;-0,60000000;-0,70000000
2019-04-01;True;replayed_v1;pit;0,40000000;-0,60000000;-0,50000000;-0,70000000;-0,50000000
2019-05-01;True;replayed_v1;pit;0,50000000;-0,40000000;-0,60000000;-0,70000000;-0,50000000
2019-06-03;True;replayed_v1;pit;0,30000000;0,00000000;0,80000000;-0,50000000;-0,40000000
2019-07-01;True;replayed_v1;pit;0,20000000;-0,70000000;-0,40000000;-0,50000000;-0,60000000
2019-08-01;True;replayed_v1;pit;0,30000000;-0,40000000;0,50000000;0,40000000;-0,50000000
2019-09-02;True;replayed_v1;pit;0,26000000;-0,80000000;-0,20000000;-0,60000000;0,50000000
2019-10-01;True;replayed_v1;pit;0,20000000;0,50000000;-0,60000000;-0,80000000;0,70000000
2019-11-01;True;replayed_v1;pit;0,25000000;-0,90000000;-0,40000000;0,50000000;-0,60000000
2019-12-02;True;replayed_v1;pit;0,60000000;-0,50000000;0,80000000;0,70000000;-0,60000000
2020-01-02;True;replayed_v1;pit;0,88000000;-0,91000000;-0,85000000;-0,40000000;-0,70000000
2020-02-03;True;replayed_v1;pit;0,80000000;-0,70000000;-0,40000000;0,60000000;-0,50000000
2020-03-02;True;replayed_v1;pit;0,80000000;0,40000000;0,90000000;0,70000000;-0,80000000
2020-04-01;True;replayed_v1;pit;-0,20000000;-0,40000000;0,80000000;-0,50000000;-0,60000000
2020-05-01;True;replayed_v1;pit;-0,80000000;-0,40000000;0,90000000;-0,50000000;-0,60000000
2020-06-01;True;replayed_v1;pit;-0,80000000;-0,70000000;0,60000000;0,50000000;-0,60000000
2020-07-01;True;replayed_v1;pit;-0,90000000;-0,70000000;0,80000000;0,60000000;-0,50000000
2020-08-03;True;replayed_v1;pit;-0,80000000;-0,70000000;0,40000000;-0,50000000;-0,60000000
2020-09-01;True;replayed_v1;pit;-0,60000000;-0,14000000;0,22000000;-0,10000000;-0,30000000
2020-10-01;True;replayed_v1;pit;-0,50000000;-0,30000000;0,50000000;-0,20000000;-0,40000000
2020-11-02;True;replayed_v1;pit;-0,80000000;0,30000000;0,50000000;0,20000000;-0,40000000
2020-12-01;True;replayed_v1;pit;-0,80000000;0,40000000;-0,20000000;0,30000000;0,50000000
2021-01-04;True;replayed_v1;pit;-0,74000000;-0,58000000;0,58000000;-0,50000000;-0,60000000
2021-02-01;True;replayed_v1;pit;-0,60000000;-0,50000000;-0,50000000;0,70000000;-0,40000000
2021-03-01;True;replayed_v1;pit;-0,20000000;0,40000000;-0,80000000;0,80000000;-0,30000000
2021-04-01;True;replayed_v1;pit;0,90000000;0,70000000;-0,60000000;0,80000000;-0,20000000
2021-05-03;True;replayed_v1;pit;0,90000000;-0,70000000;0,80000000;0,60000000;-0,50000000
2021-06-01;True;replayed_v1;pit;0,90000000;-0,40000000;0,50000000;0,80000000;-0,60000000
2021-07-01;True;replayed_v1;pit;0,90000000;-0,50000000;0,40000000;0,60000000;-0,70000000
2021-08-02;True;replayed_v1;pit;0,90000000;0,50000000;-0,70000000;0,80000000;-0,30000000
2021-09-01;True;replayed_v1;pit;0,90000000;0,50000000;-0,40000000;0,70000000;0,30000000
2021-10-01;True;replayed_v1;pit;0,90000000;-0,70000000;0,80000000;0,60000000;-0,50000000
2021-11-01;True;replayed_v1;pit;0,90000000;-0,50000000;0,80000000;0,70000000;-0,60000000
2021-12-01;True;replayed_v1;pit;0,90000000;0,30000000;-0,40000000;0,60000000;-0,50000000
2022-01-03;True;replayed_v1;pit;0,90000000;0,20000000;-0,70000000;0,60000000;-0,50000000
2022-02-01;True;replayed_v1;pit;1,00000000;-0,50000000;-0,30000000;0,50000000;0,60000000
2022-03-01;True;replayed_v1;pit;1,00000000;-0,20000000;0,80000000;0,60000000;-0,50000000
2022-04-01;True;replayed_v1;pit;0,90000000;-0,70000000;0,80000000;0,60000000;-0,50000000
2022-05-02;True;replayed_v1;pit;0,90000000;-0,10000000;-0,80000000;-0,70000000;0,80000000
