date,pit_p,nonpit_p,delta,segment
2016-01-04,0.65134069,0.72514613,0.07380544,in_training
2016-02-01,0.01073616,0.61050598,0.59976983,in_training
2016-03-01,0.51796195,0.60099249,0.08303054,in_training
2016-04-01,0.29993862,0.71056870,0.41063008,in_training
2016-05-02,0.68442743,0.90676296,0.22233554,in_training
2016-06-01,0.57354383,0.63823135,0.06468752,in_training
2016-07-01,0.39315309,0.80302996,0.40987686,in_training
2016-08-01,0.01331009,0.52997329,0.51666320,in_training
2016-09-01,0.64523067,0.66083295,0.01560228,in_training
2016-10-03,0.13505021,0.62183989,0.48678968,in_training
2016-11-01,0.30464695,0.76259764,0.45795069,in_training
2016-12-01,0.53068674,0.65632058,0.12563384,in_training
2017-01-03,0.68677964,0.81717058,0.13039094,in_training
2017-02-01,0.20799492,0.31396222,0.10596729,in_training
2017-03-01,0.52292669,0.96193511,0.43900842,in_training
2017-04-03,0.29872171,0.93581928,0.63709758,in_training
2017-05-01,0.20689644,0.92905073,0.72215429,in_training
2017-06-01,0.15590619,0.95735255,0.80144637,in_training
2017-07-03,0.30413853,0.61825797,0.31411944,in_training
2017-08-01,0.38610372,0.98612233,0.60001861,in_training
2017-09-01,0.00000873,0.58525256,0.58524383,in_training
2017-10-02,0.01258825,0.59181788,0.57922963,in_training
2017-11-01,0.00281149,0.95873740,0.95592591,in_training
2017-12-01,0.65473642,0.55413265,-0.10060377,in_training
2018-01-02,0.15845944,0.72227058,0.56381114,in_training
2018-02-01,0.46993283,0.94942277,0.47948994,in_training
2018-03-01,0.32362337,0.67366186,0.35003849,in_training
2018-04-02,0.28489673,0.83699951,0.55210279,in_training
2018-05-01,0.59644171,0.72526239,0.12882068,in_training
2018-06-01,0.46972034,0.78373201,0.31401167,in_training
2018-07-02,0.06871229,0.81210782,0.74339553,in_training
2018-08-01,0.00000000,0.96470885,0.96470884,in_training
2018-09-03,0.45112116,0.41893809,-0.03218307,in_training
2018-10-01,0.11800290,0.71869477,0.60069187,in_training
2018-11-01,0.00138831,0.41842341,0.41703510,in_training
2018-12-03,0.49858477,0.55070949,0.05212471,in_training
2019-01-02,0.29204048,0.62460401,0.33256353,in_training
2019-02-01,0.60414109,0.67300639,0.06886530,in_training
2019-03-01,0.47493392,0.89309922,0.41816529,in_training
2019-04-01,0.61393731,0.66317368,0.04923637,in_training
2019-05-01,0.03837118,0.66351016,0.62513898,in_training
2019-06-03,0.06919663,0.56758252,0.49838589,in_training
2019-07-01,0.01742180,0.96644711,0.94902532,in_training
2019-08-01,0.51660448,0.96246240,0.44585792,in_training
2019-09-02,0.02155456,0.68191206,0.66035750,in_training
2019-10-01,0.21133500,0.92908999,0.71775498,in_training
