date,parse_ok,segment,variant,inflation,growth,credit_stress,policy,risk_appetite
2016-01-04,True,replayed_v1,nonpit_diagnostic,-0.97000000,1.00000000,-1.00000000,0.01500000,1.00000000
2016-02-01,True,replayed_v1,nonpit_diagnostic,-0.41000000,-0.20000000,1.00000000,-1.00000000,-0.40000000
2016-03-01,True,replayed_v1,nonpit_diagnostic,-0.70000000,-0.90000000,0.90000000,-0.80000000,-0.70000000
2016-04-01,True,replayed_v1,nonpit_diagnostic,-0.68000000,-1.00000000,1.00000000,-1.00000000,1.00000000
2016-05-02,True,replayed_v1,nonpit_diagnostic,-0.39000000,-0.65000000,-1.00000000,1.00000000,-0.50000000
2016-06-01,False,replayed_v1,nonpit_diagnostic,,,,,
2016-07-01,True,replayed_v1,nonpit_diagnostic,-0.43000000,0.62000000,-1.00000000,0.50000000,-0.90000000
2016-08-01,False,replayed_v1,nonpit_diagnostic,,,,,
2016-09-01,True,replayed_v1,nonpit_diagnostic,-0.40000000,-0.30000000,-0.90000000,-0.50000000,0.60000000
2016-10-03,True,replayed_v1,nonpit_diagnostic,0.18000000,-0.60000000,0.80000000,-0.50000000,-0.40000000
2016-11-01,True,replayed_v1,nonpit_diagnostic,0.40000000,-0.39000000,1.00000000,-0.10000000,-0.30000000
2016-12-01,False,replayed_v1,nonpit_diagnostic,,,,,
2017-01-03,True,replayed_v1,nonpit_diagnostic,0.98000000,0.98000000,0.75000000,-0.75000000,-0.20000000
2017-02-01,True,replayed_v1,nonpit_diagnostic,0.80000000,-0.70000000,-0.50000000,-0.60000000,0.30000000
2017-03-01,True,replayed_v1,nonpit_diagnostic,0.85000000,-0.75000000,-0.80000000,0.65000000,-0.60000000
2017-04-03,True,replayed_v1,nonpit_diagnostic,0.80000000,-0.70000000,-0.80000000,-0.70000000,0.20000000
2017-05-01,True,replayed_v1,nonpit_diagnostic,0.80000000,-0.40000000,-0.70000000,-0.60000000,-0.50000000
2017-06-01,True,replayed_v1,nonpit_diagnostic,0.76000000,-1.00000000,1.00000000,1.00000000,-0.80000000
2017-07-03,False,replayed_v1,nonpit_diagnostic,,,,,
2017-08-01,True,replayed_v1,nonpit_diagnostic,0.57000000,0.50000000,-1.00000000,-1.00000000,0.70000000
2017-09-01,True,replayed_v1,nonpit_diagnostic,0.84000000,-0.90000000,-0.80000000,0.80000000,-0.70000000
2017-10-02,True,replayed_v1,nonpit_diagnostic,0.90000000,-0.80000000,0.90000000,0.30000000,-0.70000000
2017-11-01,True,replayed_v1,nonpit_diagnostic,0.90000000,0.60000000,-0.80000000,-0.90000000,-0.70000000
2017-12-01,True,replayed_v1,nonpit_diagnostic,1.00000000,-1.00000000,-1.00000000,-1.00000000,-0.40000000
2018-01-02,True,replayed_v1,nonpit_diagnostic,1.00000000,-1.00000000,-1.00000000,-1.00000000,0.70000000
2018-02-01,True,replayed_v1,nonpit_diagnostic,0.80000000,-0.70000000,-0.90000000,-0.60000000,-0.50000000
2018-03-01,True,replayed_v1,nonpit_diagnostic,0.90000000,-0.60000000,-0.70000000,-0.80000000,-0.80000000
2018-04-02,True,replayed_v1,nonpit_diagnostic,0.63000000,-0.40000000,0.82000000,-0.45000000,-0.50000000
2018-05-01,True,replayed_v1,nonpit_diagnostic,0.80000000,-0.50000000,-0.70000000,-0.90000000,-0.60000000
2018-06-01,True,replayed_v1,nonpit_diagnostic,0.90000000,-0.80000000,-0.40000000,-0.70000000,-0.50000000
2018-07-02,True,replayed_v1,nonpit_diagnostic,1.00000000,-0.49000000,-0.99000000,0.80000000,-0.70000000
2018-08-01,True,replayed_v1,nonpit_diagnostic,0.85000000,0.40000000,-0.68000000,-0.84000000,0.68000000
2018-09-03,True,replayed_v1,nonpit_diagnostic,1.00000000,-0.80000000,-0.97000000,-1.00000000,-0.30000000
2018-10-01,True,replayed_v1,nonpit_diagnostic,0.85000000,-0.65000000,0.95000000,0.75000000,-0.70000000
2018-11-01,True,replayed_v1,nonpit_diagnostic,0.80000000,0.40000000,0.90000000,0.70000000,-0.50000000
2018-12-03,True,replayed_v1,nonpit_diagnostic,0.73000000,-1.00000000,-0.23000000,-0.44000000,0.62000000
2019-01-02,True,replayed_v1,nonpit_diagnostic,0.55000000,0.65000000,1.00000000,1.00000000,-0.90000000
2019-02-01,True,replayed_v1,nonpit_diagnostic,-0.03000000,-0.80000000,0.80000000,0.70000000,-0.80000000
2019-03-01,True,replayed_v1,nonpit_diagnostic,0.00000000,-0.50000000,0.90000000,-0.80000000,-0.60000000
2019-04-01,True,replayed_v1,nonpit_diagnostic,0.41000000,-0.47000000,0.90000000,0.50000000,-0.60000000
2019-05-01,True,replayed_v1,nonpit_diagnostic,0.54000000,-0.75000000,-1.00000000,-0.70000000,-0.80000000
2019-06-03,True,replayed_v1,nonpit_diagnostic,0.30000000,0.00000000,0.90000000,0.70000000,-0.80000000
2019-07-01,True,replayed_v1,nonpit_diagnostic,0.20000000,-0.40000000,0.80000000,-0.30000000,-0.60000000
2019-08-01,False,replayed_v1,nonpit_diagnostic,,,,,
2019-09-02,True,replayed_v1,nonpit_diagnostic,0.26000000,0.43000000,1.00000000,1.00000000,-1.00000000
2019-10-01,True,replayed_v1,nonpit_diagnostic,0.20000000,-0.40000000,0.80000000,-0.50000000,-0.60000000
2019-11-01,True,replayed_v1,nonpit_diagnostic,0.25000000,0.40000000,-0.40000000,-0.80000000,-1.00000000
2019-12-02,False,replayed_v1,nonpit_diagnostic,,,,,
2020-01-02,False,replayed_v1,nonpit_diagnostic,,,,,
2020-02-03,True,replayed_v1,nonpit_diagnostic,1.00000000,-0.46000000,-1.00000000,0.80000000,-0.80000000
2020-03-02,False,replayed_v1,nonpit_diagnostic,,,,,
2020-04-01,True,replayed_v1,nonpit_diagnostic,-0.22000000,1.00000000,-0.53000000,-0.50000000,0.90000000
2020-05-01,True,replayed_v1,nonpit_diagnostic,-0.87000000,1.00000000,0.29000000,1.00000000,0.97000000
2020-06-01,True,replayed_v1,nonpit_diagnostic,-1.00000000,1.00000000,0.44000000,0.50000000,-0.44000000
2020-07-01,True,replayed_v1,nonpit_diagnostic,-1.00000000,1.00000000,-0.39000000,-0.70000000,0.64000000
2020-08-03,True,replayed_v1,nonpit_diagnostic,-0.94000000,0.31000000,0.50000000,-0.30000000,-0.40000000
2020-09-01,True,replayed_v1,nonpit_diagnostic,-0.60000000,-0.14000000,0.22000000,-0.14000000,0.30000000
2020-10-01,True,replayed_v1,nonpit_diagnostic,-0.51000000,0.53000000,-0.15000000,0.00000000,0.33000000
2020-11-02,True,replayed_v1,nonpit_diagnostic,-0.80000000,0.40000000,-0.30000000,0.00000000,0.60000000
2020-12-01,True,replayed_v1,nonpit_diagnostic,-0.93000000,-0.25000000,0.22000000,0.22000000,-0.22000000
2021-01-04,True,replayed_v1,nonpit_diagnostic,-0.74000000,-0.58000000,-0.40000000,0.58000000,-0.50000000
2021-02-01,True,replayed_v1,nonpit_diagnostic,-0.66000000,1.00000000,-0.57000000,0.25000000,0.30000000
2021-03-01,True,replayed_v1,nonpit_diagnostic,-0.10000000,-0.40000000,1.00000000,1.00000000,-0.80000000
2021-04-01,True,replayed_v1,nonpit_diagnostic,0.53000000,-0.37000000,1.00000000,0.37000000,-1.00000000
2021-05-03,True,replayed_v1,nonpit_diagnostic,0.90000000,0.80000000,-0.70000000,0.80000000,0.60000000
2021-06-01,True,replayed_v1,nonpit_diagnostic,0.95000000,-0.30000000,0.50000000,0.60000000,-0.70000000
2021-07-01,True,replayed_v1,nonpit_diagnostic,1.00000000,0.38000000,-0.31000000,0.38000000,-0.40000000
2021-08-02,True,replayed_v1,nonpit_diagnostic,0.90000000,0.70000000,-0.60000000,0.80000000,0.50000000
2021-09-01,True,replayed_v1,nonpit_diagnostic,0.90000000,-0.40000000,0.70000000,0.80000000,-0.60000000
2021-10-01,True,replayed_v1,nonpit_diagnostic,0.92000000,-0.28000000,0.75000000,0.63000000,-0.81000000
2021-11-01,True,replayed_v1,nonpit_diagnostic,0.90000000,-0.80000000,0.60000000,0.50000000,-0.70000000
2021-12-01,True,replayed_v1,nonpit_diagnostic,0.95000000,0.40000000,0.20000000,0.50000000,-0.30000000
2022-01-03,True,replayed_v1,nonpit_diagnostic,0.95000000,-0.80000000,0.40000000,0.90000000,-0.70000000
2022-02-01,True,replayed_v1,nonpit_diagnostic,0.95000000,-0.30000000,-0.05000000,0.00000000,-0.60000000
2022-03-01,False,replayed_v1,nonpit_diagnostic,,,,,
2022-04-01,True,replayed_v1,nonpit_diagnostic,1.00000000,-0.60000000,0.70000000,-0.60000000,-0.70000000
2022-05-02,True,replayed_v1,nonpit_diagnostic,0.95000000,-0.85000000,-0.05000000,0.80000000,-0.70000000
2022-06-01,True,replayed_v1,nonpit_diagnostic,0.95000000,-0.60000000,0.12000000,0.50000000,-0.70000000
2022-07-01,True,replayed_v1,nonpit_diagnostic,1.00000000,1.00000000,-1.00000000,1.00000000,-0.50000000
2022-08-01,True,replayed_v1,nonpit_diagnostic,1.00000000,-0.90000000,0.90000000,0.80000000,-0.50000000
2022-09-01,True,replayed_v1,nonpit_diagnostic,0.95000000,0.60000000,0.90000000,0.80000000,-0.80000000
2022-10-03,True,replayed_v1,nonpit_diagnostic,1.00000000,1.00000000,-1.00000000,-1.00000000,-1.00000000
2022-11-01,True,replayed_v1,nonpit_diagnostic,1.00000000,0.30000000,0.40000000,-1.00000000,0.50000000
2022-12-01,True,replayed_v1,nonpit_diagnostic,0.80000000,0.30000000,-0.80000000,0.20000000,0.60000000
2023-01-03,True,replayed_v1,nonpit_diagnostic,1.00000000,-0.90000000,0.50000000,-0.90000000,-0.90000000
2023-02-01,True,replayed_v1,nonpit_diagnostic,0.98000000,0.03000000,0.80000000,0.40000000,-0.60000000
2023-03-01,False,replayed_v1,nonpit_diagnostic,,,,,
2023-04-03,True,replayed_v1,nonpit_diagnostic,0.40000000,0.30000000,-0.80000000,-0.60000000,-0.70000000
