date,p_memorized,fail_reason,segment,variant
2016-01-04,0.72514613,,replayed_v1,nonpit_diagnostic
2016-02-01,0.61050598,,replayed_v1,nonpit_diagnostic
2016-03-01,0.60099249,,replayed_v1,nonpit_diagnostic
2016-04-01,0.71056870,,replayed_v1,nonpit_diagnostic
2016-05-02,0.90676296,,replayed_v1,nonpit_diagnostic
2016-06-01,0.63823135,,replayed_v1,nonpit_diagnostic
2016-07-01,0.80302996,,replayed_v1,nonpit_diagnostic
2016-08-01,0.52997329,,replayed_v1,nonpit_diagnostic
2016-09-01,0.66083295,,replayed_v1,nonpit_diagnostic
2016-10-03,0.62183989,,replayed_v1,nonpit_diagnostic
2016-11-01,0.76259764,,replayed_v1,nonpit_diagnostic
2016-12-01,0.65632058,,replayed_v1,nonpit_diagnostic
2017-01-03,0.81717058,,replayed_v1,nonpit_diagnostic
2017-02-01,0.31396222,,replayed_v1,nonpit_diagnostic
2017-03-01,0.96193511,,replayed_v1,nonpit_diagnostic
2017-04-03,0.93581928,,replayed_v1,nonpit_diagnostic
2017-05-01,0.92905073,,replayed_v1,nonpit_diagnostic
2017-06-01,0.95735255,,replayed_v1,nonpit_diagnostic
2017-07-03,0.61825797,,replayed_v1,nonpit_diagnostic
2017-08-01,0.98612233,,replayed_v1,nonpit_diagnostic
2017-09-01,0.58525256,,replayed_v1,nonpit_diagnostic
2017-10-02,0.59181788,,replayed_v1,nonpit_diagnostic
2017-11-01,0.95873740,,replayed_v1,nonpit_diagnostic
2017-12-01,0.55413265,,replayed_v1,nonpit_diagnostic
2018-01-02,0.72227058,,replayed_v1,nonpit_diagnostic
2018-02-01,0.94942277,,replayed_v1,nonpit_diagnostic
2018-03-01,0.67366186,,replayed_v1,nonpit_diagnostic
2018-04-02,0.83699951,,replayed_v1,nonpit_diagnostic
2018-05-01,0.72526239,,replayed_v1,nonpit_diagnostic
2018-06-01,0.78373201,,replayed_v1,nonpit_diagnostic
2018-07-02,0.81210782,,replayed_v1,nonpit_diagnostic
2018-08-01,0.96470885,,replayed_v1,nonpit_diagnostic
2018-09-03,0.41893809,,replayed_v1,nonpit_diagnostic
2018-10-01,0.71869477,,replayed_v1,nonpit_diagnostic
2018-11-01,0.41842341,,replayed_v1,nonpit_diagnostic
2018-12-03,0.55070949,,replayed_v1,nonpit_diagnostic
2019-01-02,0.62460401,,replayed_v1,nonpit_diagnostic
2019-02-01,0.67300639,,replayed_v1,nonpit_diagnostic
2019-03-01,0.89309922,,replayed_v1,nonpit_diagnostic
2019-04-01,0.66317368,,replayed_v1,nonpit_diagnostic
2019-05-01,0.66351016,,replayed_v1,nonpit_diagnostic
2019-06-03,0.56758252,,replayed_v1,nonpit_diagnostic
2019-07-01,0.96644711,,replayed_v1,nonpit_diagnostic
2019-08-01,0.96246240,,replayed_v1,nonpit_diagnostic
2019-09-02,0.68191206,,replayed_v1,nonpit_diagnostic
2019-10-01,0.92908999,,replayed_v1,nonpit_diagnostic
2019-11-01,0.73907232,,replayed_v1,nonpit_diagnostic
2019-12-02,0.82427587,,replayed_v1,nonpit_diagnostic
2020-01-02,0.93267017,,replayed_v1,nonpit_diagnostic
2020-02-03,0.42910456,,replayed_v1,nonpit_diagnostic
2020-03-02,0.69254283,,replayed_v1,nonpit_diagnostic
2020-04-01,0.69341211,,replayed_v1,nonpit_diagnostic
2020-05-01,0.74430708,,replayed_v1,nonpit_diagnostic
2020-06-01,0.72372537,,replayed_v1,nonpit_diagnostic
2020-07-01,0.61813663,,replayed_v1,nonpit_diagnostic
2020-08-03,0.54248043,,replayed_v1,nonpit_diagnostic
2020-09-01,0.45052104,,replayed_v1,nonpit_diagnostic
2020-10-01,0.57152751,,replayed_v1,nonpit_diagnostic
2020-11-02,0.72457035,,replayed_v1,nonpit_diagnostic
2020-12-01,0.97923081,,replayed_v1,nonpit_diagnostic
2021-01-04,0.63915925,,replayed_v1,nonpit_diagnostic
2021-02-01,0.54063676,,replayed_v1,nonpit_diagnostic
2021-03-01,0.66098023,,replayed_v1,nonpit_diagnostic
2021-04-01,0.00000000,,replayed_v1,nonpit_diagnostic
2021-05-03,0.94284173,,replayed_v1,nonpit_diagnostic
2021-06-01,0.89068785,,replayed_v1,nonpit_diagnostic
2021-07-01,0.66250283,,replayed_v1,nonpit_diagnostic
2021-08-02,0.58101548,,replayed_v1,nonpit_diagnostic
2021-09-01,0.96886567,,replayed_v1,nonpit_diagnostic
2021-10-01,0.54454407,,replayed_v1,nonpit_diagnostic
2021-11-01,0.52540224,,replayed_v1,nonpit_diagnostic
