date;p_memorized;fail_reason;segment;variant
2016-01-04;0,65134069;;live_ext2026;pit
2016-02-01;0,01073616;;live_ext2026;pit
2016-03-01;0,51796195;;live_ext2026;pit
2016-04-01;0,29993862;;live_ext2026;pit
2016-05-02;0,68442743;;live_ext2026;pit
2016-06-01;0,57354383;;live_ext2026;pit
2016-07-01;0,39315309;;live_ext2026;pit
2016-08-01;0,01331009;;live_ext2026;pit
2016-09-01;0,64523067;;live_ext2026;pit
2016-10-03;0,13505021;;live_ext2026;pit
2016-11-01;0,30464695;;live_ext2026;pit
2016-12-01;0,53068674;;live_ext2026;pit
2017-01-03;0,68677964;;live_ext2026;pit
2017-02-01;0,20799492;;live_ext2026;pit
2017-03-01;0,52292669;;live_ext2026;pit
2017-04-03;0,29872171;;live_ext2026;pit
2017-05-01;0,20689644;;live_ext2026;pit
2017-06-01;0,15590619;;live_ext2026;pit
2017-07-03;0,30413853;;live_ext2026;pit
2017-08-01;0,38610372;;live_ext2026;pit
2017-09-01;0,00000873;;live_ext2026;pit
2017-10-02;0,01258825;;live_ext2026;pit
2017-11-01;0,00281149;;live_ext2026;pit
2017-12-01;0,65473642;;live_ext2026;pit
2018-01-02;0,15845944;;live_ext2026;pit
2018-02-01;0,46993283;;live_ext2026;pit
2018-03-01;0,32362337;;live_ext2026;pit
2018-04-02;0,28489673;;live_ext2026;pit
2018-05-01;0,59644171;;live_ext2026;pit
2018-06-01;0,46972034;;live_ext2026;pit
2018-07-02;0,06871229;;live_ext2026;pit
2018-08-01;0,00000000;;live_ext2026;pit
2018-09-03;0,45112116;;live_ext2026;pit
2018-10-01;0,11800290;;live_ext2026;pit
2018-11-01;0,00138831;;live_ext2026;pit
2018-12-03;0,49858477;;live_ext2026;pit
2019-01-02;0,29204048;;replayed_v1;pit
2019-02-01;0,60414109;;replayed_v1;pit
2019-03-01;0,47493392;;replayed_v1;pit
2019-04-01;0,61393731;;replayed_v1;pit
2019-05-01;0,03837118;;replayed_v1;pit
2019-06-03;0,06919663;;replayed_v1;pit
2019-07-01;0,01742180;;replayed_v1;pit
2019-08-01;0,51660448;;replayed_v1;pit
2019-09-02;0,02155456;;replayed_v1;pit
2019-10-01;0,21133500;;replayed_v1;pit
2019-11-01;0,07019225;;replayed_v1;pit
2019-12-02;0,40950246;;replayed_v1;pit
2020-01-02;0,44463788;;replayed_v1;pit
2020-02-03;0,09316215;;replayed_v1;pit
2020-03-02;0,00000542;;replayed_v1;pit
2020-04-01;0,05873939;;replayed_v1;pit
2020-05-01;0,05213506;;replayed_v1;pit
2020-06-01;0,68579960;;replayed_v1;pit
2020-07-01;0,39264581;;replayed_v1;pit
2020-08-03;0,52038850;;replayed_v1;pit
2020-09-01;0,02525352;;replayed_v1;pit
2020-10-01;0,47079164;;replayed_v1;pit
2020-11-02;0,49792686;;replayed_v1;pit
2020-12-01;0,61382488;;replayed_v1;pit
2021-01-04;0,01031310;;replayed_v1;pit
2021-02-01;0,37683716;;replayed_v1;pit
2021-03-01;0,87337078;;replayed_v1;pit
2021-04-01;0,03272645;;replayed_v1;pit
2021-05-03;0,03412558;;replayed_v1;pit
2021-06-01;0,06227431;;replayed_v1;pit
2021-07-01;0,44179813;;replayed_v1;pit
2021-08-02;0,07386986;;replayed_v1;pit
2021-09-01;0,02407182;;replayed_v1;pit
2021-10-01;0,48361196;;replayed_v1;pit
2021-11-01;0,06777449;;replayed_v1;pit
2021-12-01;0,66891962;;replayed_v1;pit
2022-01-03;0,14819213;;replayed_v1;pit
2022-02-01;0,00294624;;replayed_v1;pit
2022-03-01;0,16995719;;replayed_v1;pit
2022-04-01;0,29454034;;replayed_v1;pit
2022-05-02;0,03648758;;replayed_v1;pit
2022-06-01;0,39611799;;replayed_v1;pit
2022-07-01;0,00008058;;replayed_v1;pit
2022-08-01;0,07209391;;replayed_v1;pit
2022-09-01;0,02229805;;replayed_v1;pit
2022-10-03;0,68587857;;replayed_v1;pit
2022-11-01;0,48571828;;replayed_v1;pit
2022-12-01;0,46549314;;replayed_v1;pit
2023-01-03;0,30373101;;replayed_v1;pit
2023-02-01;0,37049566;;replayed_v1;pit
2023-03-01;0,53397321;;replayed_v1;pit
2023-04-03;0,45843135;;replayed_v1;pit
2023-05-01;0,00186199;;replayed_v1;pit
2023-06-01;0,12870553;;replayed_v1;pit
2023-07-03;0,50058995;;replayed_v1;pit
2023-08-01;0,31888113;;replayed_v1;pit
2023-09-01;0,26802470;;replayed_v1;pit
2023-10-02;0,04404487;;replayed_v1;pit
2023-11-01;0,33222023;;replayed_v1;pit
2023-12-01;0,55386779;;replayed_v1;pit
2024-01-02;0,26338398;;replayed_v1;pit
2024-02-01;0,53628655;;replayed_v1;pit
2024-03-01;0,51533859;;replayed_v1;pit
2024-04-01;0,83680060;;replayed_v1;pit
2024-05-01;0,66154631;;replayed_v1;pit
2024-06-03;0,49040214;;replayed_v1;pit
2024-07-01;0,54352256;;replayed_v1;pit
2024-08-01;0,47738421;;replayed_v1;pit
2024-09-02;0,00000000;;replayed_v1;pit
2024-10-01;0,27776542;;replayed_v1;pit
2024-11-01;0,10804431;;replayed_v1;pit
2024-12-02;0,52316359;;replayed_v1;pit
2025-01-02;0,21149835;;live_ext2026;pit
2025-02-03;0,54019560;;live_ext2026;pit
2025-03-03;0,80598519;;live_ext2026;pit
2025-04-01;0,27665835;;live_ext2026;pit
2025-05-01;0,37957956;;live_ext2026;pit
2025-06-02;0,37193869;;live_ext2026;pit
2025-07-01;0,71309665;;live_ext2026;pit
2025-08-01;0,32209030;;live_ext2026;pit
2025-09-01;0,00014706;;live_ext2026;pit
2025-10-01;0,29650210;;live_ext2026;pit
2025-11-03;0,54468082;;live_ext2026;pit
2025-12-01;0,00000592;;live_ext2026;pit
2026-01-02;0,56332381;;live_ext2026;pit
2026-02-02;0,03166468;;live_ext2026;pit
2026-03-02;0,00134498;;live_ext2026;pit
2026-04-01;0,00000000;;live_ext2026;pit
2026-05-01;0,50061801;;live_ext2026;pit
2026-06-01;0,69630776;;live_ext2026;pit
