year,1,2,3,4,5,6,7,8,9,10,11,12
2016,0.017121,0.065292,0.008595,0.021093,-0.027122,0.058869,0.025425,-0.014965,0.007949,-0.009654,-0.046392,0.004262
2017,0.020781,0.031605,0.002086,0.009004,0.007932,-0.015486,0.020185,0.029967,-0.019250,0.008303,0.003905,0.015537
2018,0.026188,-0.012360,-0.007584,0.000649,0.007342,-0.017832,-0.006310,-0.001503,-0.002597,-0.004559,0.001096,0.010059
2019,0.029086,0.007280,0.000518,0.006942,0.000032,0.061978,0.011888,0.040175,-0.015329,0.008859,-0.009786,0.025211
2020,0.031270,-0.018124,-0.016778,0.062148,0.023977,0.018397,0.039584,0.012486,-0.016634,-0.013968,0.013038,0.030606
2021,-0.015022,-0.016287,0.004554,0.027551,0.025716,-0.010633,0.012586,0.011179,-0.030132,0.018570,0.004085,0.015776
2022,-0.019608,0.020170,0.019849,-0.022829,-0.016084,-0.033651,0.008075,-0.010236,-0.024161,-0.007340,0.047142,0.003320
2023,0.048828,-0.030812,0.035722,0.003577,0.005839,-0.001424,0.016760,-0.005702,-0.017552,0.015172,0.028366,0.016101
2024,0.002183,0.015673,0.043392,0.001439,0.015832,0.022829,0.014963,0.005334,0.017772,0.020107,0.005498,-0.004766
2025,0.026331,-0.000002,0.009262,0.005569,0.024338,0.015475,0.013514,0.017231,0.051451,0.041076,-0.002763,0.008561
2026,0.063318,0.012833,-0.044794,0.039123,0.053234,-0.030678,,,,,,
