date;pit_p;nonpit_p;delta;segment
2014-01-02;0,22283152;0,56071009;0,33787858;in_training
2014-02-03;0,00000000;0,89889440;0,89889440;in_training
2014-03-03;0,53808824;0,87759159;0,33950335;in_training
2014-04-01;0,36174317;0,93318401;0,57144084;in_training
2014-05-01;0,38020446;0,48349746;0,10329300;in_training
2014-06-02;0,01247552;0,95868124;0,94620573;in_training
2014-07-01;0,53147888;0,96615066;0,43467179;in_training
2014-08-01;0,09433294;0,53932241;0,44498947;in_training
2014-09-01;0,00286099;0,65688034;0,65401935;in_training
2014-10-01;0,67297409;0,66067279;-0,01230131;in_training
2014-11-03;0,46497473;0,75902295;0,29404822;in_training
2014-12-01;0,35937802;0,93137379;0,57199577;in_training
2015-01-02;0,23720969;0,69455393;0,45734424;in_training
2015-02-02;0,03346404;0,41454319;0,38107915;in_training
2015-03-02;0,52848077;0,71031492;0,18183414;in_training
2015-04-01;0,46004796;0,58861495;0,12856699;in_training
2015-05-01;0,06536285;0,96214081;0,89677796;in_training
2015-06-01;0,12609925;0,94564926;0,81955001;in_training
2015-07-01;0,34159638;0,78012679;0,43853041;in_training
2015-08-03;0,28430421;0,76935437;0,48505016;in_training
2015-09-01;0,17980457;0,69576336;0,51595880;in_training
2015-10-01;0,25512955;0,63243678;0,37730723;in_training
2015-11-02;0,73534633;0,80206807;0,06672174;in_training
2015-12-01;0,02302226;0,83149239;0,80847013;in_training
2016-01-04;0,43863726;0,97853129;0,53989403;in_training
2016-02-01;0,36593767;0,74894033;0,38300266;in_training
2016-03-01;0,32058587;0,92282579;0,60223993;in_training
2016-04-01;0,00597082;0,78631013;0,78033931;in_training
2016-05-02;0,00007522;0,59589574;0,59582052;in_training
2016-06-01;0,24750830;0,52419495;0,27668665;in_training
2016-07-01;0,29523768;0,65261551;0,35737783;in_training
2016-08-01;0,40740234;0,58108508;0,17368274;in_training
2016-09-01;0,18436440;0,68432490;0,49996049;in_training
2016-10-03;0,73760455;0,86719728;0,12959273;in_training
2016-11-01;0,38170220;0,96425902;0,58255682;in_training
2016-12-01;0,35733121;0,93589038;0,57855917;in_training
2017-01-03;0,00000072;0,92030319;0,92030247;in_training
2017-02-01;0,28388685;0,80316315;0,51927630;in_training
2017-03-01;0,53628430;0,67762932;0,14134502;in_training
2017-04-03;0,63726126;0,84796851;0,21070725;in_training
2017-05-01;0,02379613;0,64222468;0,61842855;in_training
2017-06-01;0,03703840;0,68291177;0,64587336;in_training
2017-07-03;0,27882630;0,95822605;0,67939974;in_training
2017-08-01;0,54233181;0,94683984;0,40450803;in_training
2017-09-01;0,54466014;0,34636976;-0,19829038;in_training
2017-10-02;0,00001615;0,75379544;0,75377929;in_training
2017-11-01;0,13458538;0,92983060;0,79524521;in_training
2017-12-01;0,02777373;0,89937080;0,87159707;in_training
2018-01-02;0,00986593;0,70775449;0,69788856;in_training
2018-02-01;0,00027113;0,95253349;0,95226236;in_training
2018-03-01;0,16425223;0,71653358;0,55228135;in_training
2018-04-02;0,06656950;0,65767562;0,59110612;in_training
2018-05-01;0,00137626;0,73644952;0,73507326;in_training
2018-06-01;0,52387229;0,71818222;0,19430992;in_training
2018-07-02;0,06248024;0,49043483;0,42795459;in_training
2018-08-01;0,43244341;0,50970045;0,07725704;in_training
2018-09-03;0,44669441;0,57806884;0,13137444;in_training
2018-10-01;0,72539569;0,62506716;-0,10032852;in_training
2018-11-01;0,57437678;0,98442276;0,41004598;in_training
2018-12-03;0,51805791;0,49085490;-0,02720301;in_training
2019-01-02;0,29204048;0,62460401;0,33256353;in_training
2019-02-01;0,60414109;0,67300639;0,06886530;in_training
2019-03-01;0,47493392;0,89309922;0,41816529;in_training
2019-04-01;0,61393731;0,66317368;0,04923637;in_training
2019-05-01;0,03837118;0,66351016;0,62513898;in_training
2019-06-03;0,06919663;0,56758252;0,49838589;in_training
2019-07-01;0,01742180;0,96644711;0,94902532;in_training
2019-08-01;0,51660448;0,96246240;0,44585792;in_training
2019-09-02;0,02155456;0,68191206;0,66035750;in_training
2019-10-01;0,21133500;0,92908999;0,71775498;in_training
2019-11-01;0,07019225;0,73907232;0,66888007;in_training
2019-12-02;0,40950246;0,82427587;0,41477341;in_training
2020-01-02;0,44463788;0,93267017;0,48803229;in_training
2020-02-03;0,09316215;0,42910456;0,33594240;in_training
2020-03-02;0,00000542;0,69254283;0,69253741;in_training
2020-04-01;0,05873939;0,69341211;0,63467273;in_training
2020-05-01;0,05213506;0,74430708;0,69217202;in_training
2020-06-01;0,68579960;0,72372537;0,03792578;in_training
2020-07-01;0,39264581;0,61813663;0,22549082;in_training
2020-08-03;0,52038850;0,54248043;0,02209193;in_training
2020-09-01;0,02525352;0,45052104;0,42526752;in_training
2020-10-01;0,47079164;0,57152751;0,10073587;in_training
2020-11-02;0,49792686;0,72457035;0,22664349;in_training
2020-12-01;0,61382488;0,97923081;0,36540593;in_training
2021-01-04;0,01031310;0,63915925;0,62884616;in_training
2021-02-01;0,37683716;0,54063676;0,16379960;in_training
2021-03-01;0,87337078;0,66098023;-0,21239055;in_training
2021-04-01;0,03272645;0,00000000;-0,03272645;in_training
2021-05-03;0,03412558;0,94284173;0,90871614;in_training
2021-06-01;0,06227431;0,89068785;0,82841354;in_training
2021-07-01;0,44179813;0,66250283;0,22070469;in_training
2021-08-02;0,07386986;0,58101548;0,50714562;in_training
2021-09-01;0,02407182;0,96886567;0,94479385;in_training
2021-10-01;0,48361196;0,54454407;0,06093211;in_training
2021-11-01;0,06777449;0,52540224;0,45762775;in_training
2021-12-01;0,66891962;0,34736738;-0,32155224;in_training
2022-01-03;0,14819213;0,67230014;0,52410800;in_training
2022-02-01;0,00294624;0,63117652;0,62823028;in_training
2022-03-01;0,16995719;0,96279461;0,79283742;in_training
2022-04-01;0,29454034;0,93865663;0,64411629;in_training
2022-05-02;0,03648758;0,82580961;0,78932203;in_training
2022-06-01;0,39611799;0,96356488;0,56744689;in_training
2022-07-01;0,00008058;0,68703436;0,68695379;in_training
2022-08-01;0,07209391;0,83006090;0,75796699;in_training
2022-09-01;0,02229805;0,74173978;0,71944173;in_training
2022-10-03;0,68587857;0,80281533;0,11693676;in_training
2022-11-01;0,48571828;0,57715850;0,09144022;in_training
2022-12-01;0,46549314;0,62293527;0,15744212;in_training
2023-01-03;0,30373101;0,43919081;0,13545979;in_training
2023-02-01;0,37049566;0,86388839;0,49339273;in_training
2023-03-01;0,53397321;0,76756049;0,23358728;in_training
2023-04-03;0,45843135;0,60557081;0,14713945;in_training
2023-05-01;0,00186199;0,70245218;0,70059019;in_training
2023-06-01;0,12870553;0,59175009;0,46304456;in_training
2023-07-03;0,50058995;0,58645943;0,08586948;in_training
2023-08-01;0,31888113;0,69578544;0,37690431;in_training
2023-09-01;0,26802470;0,57140736;0,30338266;in_training
2023-10-02;0,04404487;0,72429564;0,68025077;in_training
2023-11-01;0,33222023;0,72053689;0,38831666;in_training
2023-12-01;0,55386779;0,87482770;0,32095991;in_training
