date,p_memorized,fail_reason,segment,variant
2014-01-02,0.22283152,,live_ext2026,pit
2014-02-03,0.00000000,,live_ext2026,pit
2014-03-03,0.53808824,,live_ext2026,pit
2014-04-01,0.36174317,,live_ext2026,pit
2014-05-01,0.38020446,,live_ext2026,pit
2014-06-02,0.01247552,,live_ext2026,pit
2014-07-01,0.53147888,,live_ext2026,pit
2014-08-01,0.09433294,,live_ext2026,pit
2014-09-01,0.00286099,,live_ext2026,pit
2014-10-01,0.67297409,,live_ext2026,pit
2014-11-03,0.46497473,,live_ext2026,pit
2014-12-01,0.35937802,,live_ext2026,pit
2015-01-02,0.23720969,,live_ext2026,pit
2015-02-02,0.03346404,,live_ext2026,pit
2015-03-02,0.52848077,,live_ext2026,pit
2015-04-01,0.46004796,,live_ext2026,pit
2015-05-01,0.06536285,,live_ext2026,pit
2015-06-01,0.12609925,,live_ext2026,pit
2015-07-01,0.34159638,,live_ext2026,pit
2015-08-03,0.28430421,,live_ext2026,pit
2015-09-01,0.17980457,,live_ext2026,pit
2015-10-01,0.25512955,,live_ext2026,pit
2015-11-02,0.73534633,,live_ext2026,pit
2015-12-01,0.02302226,,live_ext2026,pit
2016-01-04,0.43863726,,live_ext2026,pit
2016-02-01,0.36593767,,live_ext2026,pit
2016-03-01,0.32058587,,live_ext2026,pit
2016-04-01,0.00597082,,live_ext2026,pit
2016-05-02,0.00007522,,live_ext2026,pit
2016-06-01,0.24750830,,live_ext2026,pit
2016-07-01,0.29523768,,live_ext2026,pit
2016-08-01,0.40740234,,live_ext2026,pit
2016-09-01,0.18436440,,live_ext2026,pit
2016-10-03,0.73760455,,live_ext2026,pit
2016-11-01,0.38170220,,live_ext2026,pit
2016-12-01,0.35733121,,live_ext2026,pit
2017-01-03,0.00000072,,live_ext2026,pit
2017-02-01,0.28388685,,live_ext2026,pit
2017-03-01,0.53628430,,live_ext2026,pit
2017-04-03,0.63726126,,live_ext2026,pit
2017-05-01,0.02379613,,live_ext2026,pit
2017-06-01,0.03703840,,live_ext2026,pit
2017-07-03,0.27882630,,live_ext2026,pit
2017-08-01,0.54233181,,live_ext2026,pit
2017-09-01,0.54466014,,live_ext2026,pit
2017-10-02,0.00001615,,live_ext2026,pit
2017-11-01,0.13458538,,live_ext2026,pit
2017-12-01,0.02777373,,live_ext2026,pit
2018-01-02,0.00986593,,live_ext2026,pit
2018-02-01,0.00027113,,live_ext2026,pit
2018-03-01,0.16425223,,live_ext2026,pit
2018-04-02,0.06656950,,live_ext2026,pit
2018-05-01,0.00137626,,live_ext2026,pit
2018-06-01,0.52387229,,live_ext2026,pit
2018-07-02,0.06248024,,live_ext2026,pit
2018-08-01,0.43244341,,live_ext2026,pit
2018-09-03,0.44669441,,live_ext2026,pit
2018-10-01,0.72539569,,live_ext2026,pit
2018-11-01,0.57437678,,live_ext2026,pit
2018-12-03,0.51805791,,live_ext2026,pit
2019-01-02,0.29204048,,replayed_v1,pit
2019-02-01,0.60414109,,replayed_v1,pit
2019-03-01,0.47493392,,replayed_v1,pit
2019-04-01,0.61393731,,replayed_v1,pit
2019-05-01,0.03837118,,replayed_v1,pit
2019-06-03,0.06919663,,replayed_v1,pit
2019-07-01,0.01742180,,replayed_v1,pit
2019-08-01,0.51660448,,replayed_v1,pit
2019-09-02,0.02155456,,replayed_v1,pit
2019-10-01,0.21133500,,replayed_v1,pit
2019-11-01,0.07019225,,replayed_v1,pit
2019-12-02,0.40950246,,replayed_v1,pit
2020-01-02,0.44463788,,replayed_v1,pit
2020-02-03,0.09316215,,replayed_v1,pit
2020-03-02,0.00000542,,replayed_v1,pit
2020-04-01,0.05873939,,replayed_v1,pit
2020-05-01,0.05213506,,replayed_v1,pit
2020-06-01,0.68579960,,replayed_v1,pit
2020-07-01,0.39264581,,replayed_v1,pit
2020-08-03,0.52038850,,replayed_v1,pit
2020-09-01,0.02525352,,replayed_v1,pit
2020-10-01,0.47079164,,replayed_v1,pit
2020-11-02,0.49792686,,replayed_v1,pit
2020-12-01,0.61382488,,replayed_v1,pit
2021-01-04,0.01031310,,replayed_v1,pit
2021-02-01,0.37683716,,replayed_v1,pit
2021-03-01,0.87337078,,replayed_v1,pit
2021-04-01,0.03272645,,replayed_v1,pit
2021-05-03,0.03412558,,replayed_v1,pit
2021-06-01,0.06227431,,replayed_v1,pit
2021-07-01,0.44179813,,replayed_v1,pit
2021-08-02,0.07386986,,replayed_v1,pit
2021-09-01,0.02407182,,replayed_v1,pit
2021-10-01,0.48361196,,replayed_v1,pit
2021-11-01,0.06777449,,replayed_v1,pit
2021-12-01,0.66891962,,replayed_v1,pit
2022-01-03,0.14819213,,replayed_v1,pit
2022-02-01,0.00294624,,replayed_v1,pit
2022-03-01,0.16995719,,replayed_v1,pit
2022-04-01,0.29454034,,replayed_v1,pit
2022-05-02,0.03648758,,replayed_v1,pit
2022-06-01,0.39611799,,replayed_v1,pit
2022-07-01,0.00008058,,replayed_v1,pit
2022-08-01,0.07209391,,replayed_v1,pit
2022-09-01,0.02229805,,replayed_v1,pit
2022-10-03,0.68587857,,replayed_v1,pit
2022-11-01,0.48571828,,replayed_v1,pit
2022-12-01,0.46549314,,replayed_v1,pit
2023-01-03,0.30373101,,replayed_v1,pit
2023-02-01,0.37049566,,replayed_v1,pit
2023-03-01,0.53397321,,replayed_v1,pit
2023-04-03,0.45843135,,replayed_v1,pit
2023-05-01,0.00186199,,replayed_v1,pit
2023-06-01,0.12870553,,replayed_v1,pit
2023-07-03,0.50058995,,replayed_v1,pit
2023-08-01,0.31888113,,replayed_v1,pit
2023-09-01,0.26802470,,replayed_v1,pit
2023-10-02,0.04404487,,replayed_v1,pit
2023-11-01,0.33222023,,replayed_v1,pit
2023-12-01,0.55386779,,replayed_v1,pit
2024-01-02,0.26338398,,replayed_v1,pit
