Date;SWDA.L;XLK;IAU;BIL
2014-01-02;;;;
2014-01-03;;;;
2014-01-06;;;;
2014-01-07;;;;
2014-01-08;;;;
2014-01-09;;;;
2014-01-10;;;;
2014-01-13;;;;
2014-01-14;;;;
2014-01-15;;;;
2014-01-16;;;;
2014-01-17;;;;
2014-01-20;;;;
2014-01-21;;;;
2014-01-22;;;;
2014-01-23;;;;
2014-01-24;;;;
2014-01-27;;;;
2014-01-28;;;;
2014-01-29;;;;
2014-01-30;;;;
2014-01-31;;;;
2014-02-03;;;;
2014-02-04;;;;
2014-02-05;;;;
2014-02-06;;;;
2014-02-07;;;;
2014-02-10;;;;
2014-02-11;;;;
2014-02-12;;;;
2014-02-13;;;;
2014-02-14;;;;
2014-02-17;;;;
2014-02-18;;;;
2014-02-19;;;;
2014-02-20;;;;
2014-02-21;;;;
2014-02-24;;;;
2014-02-25;;;;
2014-02-26;;;;
2014-02-27;;;;
2014-02-28;;;;
2014-03-03;;;;
2014-03-04;;;;
2014-03-05;;;;
2014-03-06;;;;
2014-03-07;;;;
2014-03-10;;;;
2014-03-11;;;;
2014-03-12;;;;
2014-03-13;;;;
2014-03-14;;;;
2014-03-17;;;;
2014-03-18;;;;
2014-03-19;;;;
2014-03-20;;;;
2014-03-21;;;;
2014-03-24;;;;
2014-03-25;;;;
2014-03-26;;;;
2014-03-27;;;;
2014-03-28;;;;
2014-03-31;;;;
2014-04-01;;;;
2014-04-02;;;;
2014-04-03;;;;
2014-04-04;;;;
2014-04-07;;;;
2014-04-08;;;;
2014-04-09;;;;
2014-04-10;;;;
2014-04-11;;;;
2014-04-14;;;;
2014-04-15;;;;
2014-04-16;;;;
2014-04-17;;;;
2014-04-21;;;;
2014-04-22;;;;
2014-04-23;;;;
2014-04-24;;;;
2014-04-25;;;;
2014-04-28;;;;
2014-04-29;;;;
2014-04-30;;;;
2014-05-01;0,48745665;0,12578329;0,21176006;0,17500000
2014-05-02;;;;
2014-05-05;;;;
2014-05-06;;;;
2014-05-07;;;;
2014-05-08;;;;
2014-05-09;;;;
2014-05-12;;;;
2014-05-13;;;;
2014-05-14;;;;
2014-05-15;;;;
2014-05-16;;;;
2014-05-19;;;;
2014-05-20;;;;
2014-05-21;;;;
2014-05-22;;;;
2014-05-23;;;;
2014-05-27;;;;
2014-05-28;;;;
2014-05-29;;;;
2014-05-30;;;;
2014-06-02;0,41718509;0,20131503;0,20649987;0,17500000
2014-06-03;;;;
2014-06-04;;;;
2014-06-05;;;;
2014-06-06;;;;
2014-06-09;;;;
2014-06-10;;;;
2014-06-11;;;;
2014-06-12;;;;
2014-06-13;;;;
2014-06-16;;;;
2014-06-17;;;;
2014-06-18;;;;
2014-06-19;;;;
2014-06-20;;;;
2014-06-23;;;;
2014-06-24;;;;
2014-06-25;;;;
2014-06-26;;;;
2014-06-27;;;;
2014-06-30;;;;
2014-07-01;0,18201480;0,43340323;0,20958197;0,17500000
2014-07-02;;;;
2014-07-03;;;;
2014-07-04;;;;
2014-07-07;;;;
2014-07-08;;;;
2014-07-09;;;;
2014-07-10;;;;
2014-07-11;;;;
2014-07-14;;;;
