year,1,2,3,4,5,6,7,8,9,10,11,12
2014,,,,,0.010325,0.017214,-0.002222,0.021596,-0.014416,-0.002766,0.019821,-0.006964
2015,0.016536,0.002590,-0.017377,-0.003800,0.006337,-0.021603,-0.026927,0.004139,-0.016227,0.034223,-0.025432,-0.004662
2016,0.018590,0.065311,0.008573,0.022883,-0.027122,0.058869,0.026601,-0.014295,0.008834,-0.010366,-0.046392,-0.001144
2017,0.032955,0.029557,0.002013,0.009004,0.007932,-0.015486,0.020185,0.024946,-0.019562,0.008331,0.003905,0.015537
2018,0.026188,-0.012360,-0.007585,0.000649,0.005440,-0.018996,-0.006310,-0.001503,-0.002597,-0.004559,0.001096,0.010059
2019,0.029086,0.007280,0.000518,0.006942,0.000032,0.061978,0.011888,0.040175,-0.015328,0.008859,-0.009744,0.025165
2020,0.031260,-0.018124,-0.016778,0.062148,0.023977,0.018397,0.039780,0.012575,-0.016634,-0.013992,0.013144,0.030593
2021,-0.014841,-0.016317,0.004554,0.027543,0.025561,-0.010635,0.012584,0.010937,-0.030152,0.018580,0.004085,0.015776
2022,-0.019608,0.019933,0.019836,-0.022874,-0.016184,-0.033812,0.008082,-0.010237,-0.024161,-0.007339,0.047121,0.003309
2023,0.048824,-0.030812,0.035723,0.003577,0.005839,-0.001424,0.016755,-0.005699,-0.017552,0.015172,0.028366,0.016102
2024,0.002183,0.015675,0.043392,0.001439,0.015832,0.022831,0.014959,0.005334,0.017772,0.020107,0.005498,-0.004766
2025,0.026331,-0.007181,-0.008318,0.005218,0.025466,0.015129,0.024157,0.013100,0.060921,0.043168,-0.004231,0.009349
2026,0.033457,0.019415,-0.051714,0.062233,0.064317,-0.024272,,,,,,
