date;value
2016-01-04;10000,00000000
2016-01-05;10018,84424492
2016-01-06;10084,73328578
2016-01-07;10109,79052528
2016-01-08;10050,91426290
2016-01-11;9998,93370226
2016-01-12;10005,34887750
2016-01-13;9999,35033551
2016-01-14;9911,99501186
2016-01-15;9925,74903069
2016-01-19;9945,96718411
2016-01-20;9961,85338115
2016-01-21;9999,97933590
2016-01-22;10014,64695261
2016-01-25;10066,35773611
2016-01-26;10139,23563750
2016-01-27;10142,57985529
2016-01-28;10078,59641503
2016-01-29;10171,21387187
2016-02-01;10236,81885533
2016-02-02;10194,75738344
2016-02-03;10225,78980479
2016-02-04;10317,17436341
2016-02-05;10356,55382991
2016-02-08;10402,08139043
2016-02-09;10371,29573076
2016-02-10;10421,37933447
2016-02-11;10646,42220011
2016-02-12;10638,04011283
2016-02-16;10502,12282559
2016-02-17;10594,53482886
2016-02-18;10749,80773375
2016-02-19;10698,89430894
2016-02-22;10644,11927986
2016-02-23;10712,42061220
2016-02-24;10721,91340808
2016-02-25;10796,49751866
2016-02-26;10759,14174004
2016-02-29;10835,31582181
2016-03-01;10827,52020672
2016-03-02;10876,70111632
2016-03-03;10972,21324106
2016-03-04;10990,27208045
2016-03-07;11008,47288308
2016-03-08;10959,47369287
2016-03-09;10929,09157036
2016-03-10;11009,40691096
2016-03-11;10942,80070277
2016-03-14;10866,17622679
2016-03-15;10886,66922932
2016-03-16;11038,87787083
2016-03-17;11009,36327325
2016-03-18;11002,70536789
2016-03-21;10967,94619192
2016-03-22;11009,99761141
2016-03-23;10857,93868806
2016-03-24;10832,82806023
2016-03-29;10962,65739628
2016-03-30;10909,43501021
2016-03-31;10928,44104416
2016-04-01;10913,59714400
2016-04-04;10856,33277200
2016-04-05;10920,96469153
2016-04-06;10909,91813349
2016-04-07;10971,65649781
2016-04-08;10972,61064763
2016-04-11;11040,43209977
2016-04-12;11061,77871223
2016-04-13;11030,86478025
2016-04-14;10959,20282026
2016-04-15;10986,70604301
2016-04-18;10970,93991875
2016-04-19;11063,96672543
2016-04-20;11041,74792190
2016-04-21;11064,12455987
2016-04-22;10951,56162843
2016-04-25;10946,03190872
2016-04-26;10967,72219099
2016-04-27;10980,88678476
2016-04-28;11070,77418021
2016-04-29;11158,95182517
2016-05-03;11129,11212386
2016-05-04;11089,19591088
2016-05-05;11078,95517150
2016-05-06;11142,53327182
2016-05-09;11011,49876294
2016-05-10;11064,06426113
2016-05-11;11109,12403138
2016-05-12;11041,17963434
2016-05-13;11076,98762981
2016-05-16;11102,29494723
2016-05-17;11100,86077518
2016-05-18;10969,43916156
2016-05-19;10933,26678539
2016-05-20;10959,79225407
2016-05-23;10954,78687089
2016-05-24;10870,90223828
2016-05-25;10869,60849118
2016-05-26;10852,71259975
2016-05-27;10825,88653893
2016-05-31;10856,29617576
2016-06-01;10848,32574375
2016-06-02;10829,62327058
2016-06-03;10984,42154636
2016-06-06;11018,05371802
2016-06-07;11017,08987391
2016-06-08;11119,00660385
2016-06-09;11151,82382037
2016-06-10;11163,34608449
2016-06-13;11191,92937079
2016-06-14;11189,91731531
2016-06-15;11236,36722109
2016-06-16;11168,05068762
2016-06-17;11229,76778508
2016-06-20;11194,32077276
2016-06-21;11081,38521911
2016-06-22;11074,56858762
2016-06-23;11054,56394328
2016-06-24;11373,56945737
2016-06-27;11387,70260058
2016-06-28;11349,02810445
2016-06-29;11407,72490684
2016-06-30;11495,39337148
2016-07-01;11625,45251333
2016-07-05;11650,66320269
2016-07-06;11685,02358953
2016-07-07;11683,91034239
2016-07-08;11736,72025983
2016-07-11;11735,44183667
2016-07-12;11677,66490470
2016-07-13;11708,05888907
2016-07-14;11687,63765550
2016-07-15;11684,76466405
2016-07-18;11694,21402203
2016-07-19;11707,19711153
2016-07-20;11692,93466338
2016-07-21;11720,54793672
2016-07-22;11720,31644664
2016-07-25;11691,38420244
2016-07-26;11708,01852534
2016-07-27;11772,02557195
2016-07-28;11755,96219691
2016-07-29;11787,66961884
2016-08-01;11807,17665694
2016-08-02;11819,67921045
2016-08-03;11791,86575180
2016-08-04;11841,45264830
2016-08-05;11763,19180148
2016-08-08;11761,86130199
2016-08-09;11806,01773286
2016-08-10;11827,04407746
2016-08-11;11803,60768222
2016-08-12;11785,72808663
2016-08-15;11833,20266248
2016-08-16;11833,74565940
2016-08-17;11819,27657011
2016-08-18;11844,00936479
2016-08-19;11795,30113200
2016-08-22;11773,31709359
2016-08-23;11779,81281385
2016-08-24;11695,79024293
2016-08-25;11689,02477112
2016-08-26;11684,96831900
