date;value
2016-01-04;1,00000000
2016-01-05;1,00188442
2016-01-06;1,00847333
2016-01-07;1,01097905
2016-01-08;1,00509143
2016-01-11;0,99989337
2016-01-12;1,00053489
2016-01-13;0,99993503
2016-01-14;0,99119950
2016-01-15;0,99257490
2016-01-19;0,99459672
2016-01-20;0,99618534
2016-01-21;0,99999793
2016-01-22;1,00146470
2016-01-25;1,00663577
2016-01-26;1,01392356
2016-01-27;1,01425799
2016-01-28;1,00785964
2016-01-29;1,01712139
2016-02-01;1,02368189
2016-02-02;1,01947574
2016-02-03;1,02257898
2016-02-04;1,03171744
2016-02-05;1,03565538
2016-02-08;1,04020814
2016-02-09;1,03712957
2016-02-10;1,04213793
2016-02-11;1,06464222
2016-02-12;1,06380401
2016-02-16;1,05021228
2016-02-17;1,05945348
2016-02-18;1,07498077
2016-02-19;1,06988943
2016-02-22;1,06441193
2016-02-23;1,07124206
2016-02-24;1,07219134
2016-02-25;1,07964975
2016-02-26;1,07591417
2016-02-29;1,08353158
2016-03-01;1,08275202
2016-03-02;1,08767011
2016-03-03;1,09722132
2016-03-04;1,09902721
2016-03-07;1,10084729
2016-03-08;1,09594737
2016-03-09;1,09290916
2016-03-10;1,10094069
2016-03-11;1,09428007
2016-03-14;1,08661762
2016-03-15;1,08866692
2016-03-16;1,10388779
2016-03-17;1,10093633
2016-03-18;1,10027054
2016-03-21;1,09679462
2016-03-22;1,10099976
2016-03-23;1,08579387
2016-03-24;1,08328281
2016-03-29;1,09626574
2016-03-30;1,09094350
2016-03-31;1,09284410
2016-04-01;1,09135971
2016-04-04;1,08563328
2016-04-05;1,09209647
2016-04-06;1,09099181
2016-04-07;1,09716565
2016-04-08;1,09726106
2016-04-11;1,10404321
2016-04-12;1,10617787
2016-04-13;1,10308648
2016-04-14;1,09592028
2016-04-15;1,09867060
2016-04-18;1,09709399
2016-04-19;1,10639667
2016-04-20;1,10417479
2016-04-21;1,10641246
2016-04-22;1,09515616
2016-04-25;1,09460319
2016-04-26;1,09677222
2016-04-27;1,09808868
2016-04-28;1,10707742
2016-04-29;1,11589518
2016-05-03;1,11291121
2016-05-04;1,10891959
2016-05-05;1,10789552
2016-05-06;1,11425333
2016-05-09;1,10114988
2016-05-10;1,10640643
2016-05-11;1,11091240
2016-05-12;1,10411796
2016-05-13;1,10769876
2016-05-16;1,11022949
2016-05-17;1,11008608
2016-05-18;1,09694392
2016-05-19;1,09332668
2016-05-20;1,09465174
2016-05-23;1,09415181
2016-05-24;1,08577351
2016-05-25;1,08584587
2016-05-26;1,08508634
2016-05-27;1,08400996
2016-05-31;1,08538019
2016-06-01;1,08480645
2016-06-02;1,08339345
2016-06-03;1,09460974
2016-06-06;1,09796123
2016-06-07;1,09786518
2016-06-08;1,10802129
2016-06-09;1,11129156
2016-06-10;1,11243977
2016-06-13;1,11528813
2016-06-14;1,11508762
2016-06-15;1,11971641
2016-06-16;1,11290859
2016-06-17;1,11905877
2016-06-20;1,11552643
2016-06-21;1,10427228
2016-06-22;1,10359300
2016-06-23;1,10159951
2016-06-24;1,13338876
2016-06-27;1,13479715
2016-06-28;1,13094319
2016-06-29;1,13679239
2016-06-30;1,14552865
2016-07-01;1,15848919
2016-07-05;1,16100146
2016-07-06;1,16442551
2016-07-07;1,16431457
2016-07-08;1,16957714
2016-07-11;1,16944974
2016-07-12;1,16369221
2016-07-13;1,16672100
2016-07-14;1,16468601
2016-07-15;1,16439971
2016-07-18;1,16534135
2016-07-19;1,16663513
2016-07-20;1,16521386
2016-07-21;1,16796555
2016-07-22;1,16794248
2016-07-25;1,16505935
2016-07-26;1,16671698
2016-07-27;1,17309535
2016-07-28;1,17149462
2016-07-29;1,17465430
2016-08-01;1,17659820
2016-08-02;1,17784409
2016-08-03;1,17507245
2016-08-04;1,18001384
2016-08-05;1,17221506
2016-08-08;1,17208247
2016-08-09;1,17648271
2016-08-10;1,17857801
2016-08-11;1,17624255
2016-08-12;1,17446082
2016-08-15;1,17919172
2016-08-16;1,17924583
2016-08-17;1,17780397
2016-08-18;1,18026862
2016-08-19;1,17541479
2016-08-22;1,17322406
2016-08-23;1,17387136
2016-08-24;1,16549842
2016-08-25;1,16482423
2016-08-26;1,16442000
2016-08-30;1,16030431
2016-08-31;1,15707579
2016-09-01;1,15765660
2016-09-02;1,16323737
2016-09-06;1,16815634
2016-09-07;1,16859838
2016-09-08;1,16599650
2016-09-09;1,15922788
2016-09-12;1,15861890
2016-09-13;1,15613605
2016-09-14;1,15742411
2016-09-15;1,15886823
2016-09-16;1,15800733
2016-09-19;1,15981511
2016-09-20;1,16127117
2016-09-21;1,16781445
2016-09-22;1,17063502
2016-09-23;1,17086497
2016-09-26;1,16741593
2016-09-27;1,16699907
2016-09-28;1,16656496
2016-09-29;1,16614011
2016-09-30;1,16576841
2016-10-03;1,16650556
2016-10-04;1,14609369
2016-10-05;1,14560455
2016-10-06;1,14162255
2016-10-07;1,14355630
2016-10-10;1,14697867
2016-10-11;1,14380138
2016-10-12;1,14442843
2016-10-13;1,14387145
2016-10-14;1,14283142
2016-10-17;1,14307264
2016-10-18;1,14595937
2016-10-19;1,14978169
2016-10-20;1,14738193
2016-10-21;1,14865717
2016-10-24;1,14926086
2016-10-25;1,15231607
2016-10-26;1,14873447
2016-10-27;1,14961801
2016-10-28;1,15206666
2016-10-31;1,15223802
2016-11-01;1,15268687
2016-11-02;1,15420976
2016-11-03;1,15391026
2016-11-04;1,15295152
2016-11-07;1,14930740
2016-11-08;1,14874737
2016-11-09;1,14775549
2016-11-10;1,13908741
2016-11-11;1,12822222
2016-11-14;1,12439182
2016-11-15;1,13059675
2016-11-16;1,12984880
2016-11-17;1,12913439
2016-11-18;1,12581031
2016-11-21;1,12772049
2016-11-22;1,12831771
2016-11-23;1,11883148
2016-11-25;1,11766142
2016-11-28;1,12246093
2016-11-29;1,11979868
2016-11-30;1,11309328
2016-12-01;1,10893591
2016-12-02;1,10917804
2016-12-05;1,10964228
2016-12-06;1,11016747
2016-12-07;1,11466976
2016-12-08;1,11629479
2016-12-09;1,11544122
2016-12-12;1,11472146
2016-12-13;1,11644258
2016-12-14;1,11292263
2016-12-15;1,11322991
2016-12-16;1,11222978
2016-12-19;1,11504939
2016-12-20;1,11497035
2016-12-21;1,11481566
2016-12-22;1,11401219
2016-12-23;1,11531780
2016-12-28;1,11681666
2016-12-29;1,11900345
2016-12-30;1,11658961
2017-01-03;1,11972273
2017-01-04;1,12269021
2017-01-05;1,12452360
2017-01-06;1,12731848
