date;cpi_yoy;t10y2y;hy_oas;cpi_yoy_z;t10y2y_z;hy_oas_z
2015-12-31;0,63872475;1,21000000;6,95000000;-0,96642560;-1,40586328;1,52791103
2016-01-31;1,23750250;1,18000000;7,77000000;-0,40513047;-1,44099527;2,14531644
2016-02-29;0,84727758;0,96000000;7,75000000;-0,74327370;-1,86510586;2,01414435
2016-03-31;0,89161610;1,05000000;7,05000000;-0,67791169;-1,62191167;1,37001615
2016-04-30;1,17262575;1,06000000;6,21000000;-0,39492946;-1,56439518;0,64834341
2016-05-31;1,07847646;0,97000000;5,97000000;-0,45728847;-1,71737362;0,43570889
2016-06-30;1,07928653;0,91000000;6,21000000;-0,43023724;-1,81677321;0,62247584
2016-07-31;0,86836334;0,79000000;5,69000000;-0,61466196;-2,01286048;0,18942484
2016-08-31;1,05531586;0,78000000;5,10000000;-0,39600530;-1,93439335;-0,27501245
2016-09-30;1,54864462;0,83000000;4,97000000;0,18474843;-1,74399370;-0,35629536
2016-10-31;1,68592497;0,98000000;4,91000000;0,39632768;-1,36619293;-0,38511540
2016-11-30;1,68433347;1,26000000;4,67000000;0,45454728;-0,74307622;-0,58101246
2016-12-31;2,05079891;1,25000000;4,22000000;0,97541079;-0,74697359;-0,98373440
2017-01-31;2,51039335;1,26000000;4,00000000;1,62613746;-0,71017337;-1,16048018
2017-02-28;2,81036168;1,14000000;3,74000000;2,04009214;-0,93842650;-1,36321061
2017-03-31;2,44119624;1,13000000;3,92000000;1,55296778;-0,92900063;-1,14899132
2017-04-30;2,17622347;1,01000000;3,81000000;1,19875062;-1,14441814;-1,21185739
2017-05-31;1,85634317;0,93000000;3,74000000;0,75908542;-1,28106587;-1,24627895
2017-06-30;1,64056581;0,93000000;3,77000000;0,46618586;-1,25194739;-1,17917133
2017-07-31;1,72510735;0,96000000;3,61000000;0,57264281;-1,16945387;-1,28994338
2017-08-31;1,92812156;0,79000000;3,85000000;0,83923994;-1,46549756;-1,02187711
2017-09-30;2,18056523;0,86000000;3,56000000;1,16872004;-1,29088805;-1,25836513
2017-10-31;2,02075775;0,78000000;3,51000000;0,96013938;-1,40166669;-1,26089565
2017-11-30;2,17249386;0,64000000;3,61000000;1,14727834;-1,60961041;-1,12635176
2017-12-31;2,12993072;0,51000000;3,63000000;1,07455851;-1,77077378;-1,07198644
2018-01-31;2,15131887;0,58000000;3,29000000;1,08368182;-1,57654991;-1,34540656
2018-02-28;2,26346893;0,62000000;3,47000000;1,21891764;-1,44932371;-1,14233873
2018-03-31;2,33094976;0,47000000;3,72000000;1,27210086;-1,64010138;-0,88930372
2018-04-30;2,47099630;0,46000000;3,46000000;1,40090586;-1,59226513;-1,09848145
2018-05-31;2,78192161;0,43000000;3,63000000;1,72083679;-1,57554184;-0,92326060
2018-06-30;2,80755069;0,33000000;3,71000000;1,68929752;-1,67190869;-0,82599759
2018-07-31;2,85412479;0,29000000;3,46000000;1,68797152;-1,67505896;-1,02133213
2018-08-31;2,64292386;0,24000000;3,49000000;1,39292280;-1,69933341;-0,96828061
2018-09-30;2,33205511;0,24000000;3,28000000;1,00036944;-1,64395345;-1,11810508
2018-10-31;2,49203247;0,28000000;3,81000000;1,14531910;-1,52998518;-0,64764313
2018-11-30;2,14732858;0,21000000;4,29000000;0,73029241;-1,60502743;-0,23244082
2018-12-31;2,00238090;0,21000000;5,33000000;0,55415989;-1,58715468;0,64765574
2019-01-31;1,48758936;0,18000000;4,37000000;-0,03021485;-1,59932940;-0,18449514
2019-02-28;1,51886154;0,21000000;3,92000000;-0,00219275;-1,51619788;-0,57582790
2019-03-31;1,88318635;0,14000000;4,05000000;0,40735864;-1,60580403;-0,46845828
2019-04-30;2,00058347;0,24000000;3,73000000;0,54134103;-1,40160296;-0,74660398
2019-05-31;1,79591056;0,19000000;4,59000000;0,31657087;-1,46124673;-0,01352818
2019-06-30;1,67119489;0,25000000;4,07000000;0,18199305;-1,32110109;-0,47793871
2019-07-31;1,82633134;0,13000000;3,93000000;0,36308874;-1,51990579;-0,59867516
2019-08-31;1,73764121;0,00000000;4,13000000;0,26084925;-1,72179937;-0,42854264
2019-09-30;1,68449770;0,05000000;4,02000000;0,19986001;-1,58824128;-0,51862942
2019-10-31;1,73397370;0,17000000;4,15000000;0,25413906;-1,31977011;-0,40208469
2019-11-30;2,09229039;0,17000000;4,02000000;0,64689240;-1,28647506;-0,50544679
2019-12-31;2,31952747;0,34000000;3,60000000;0,87680668;-0,90533675;-0,84764132
