;Buy & hold;AI macro-factor;SJM v3 overlay
VaR 95 (daily);-0,01216759;-0,00739535;-0,00654589
CVaR 95 (daily);-0,01904250;-0,01167390;-0,01000995
Skew (daily);-0,10448663;-0,13876351;-0,19071004
Excess kurtosis (daily);11,81423756;17,53147139;25,01886851
Hit rate (daily > 0);0,57252836;0,55609559;0,55812070
Max DD peak;2021-12-29;2020-02-21;2025-02-19
Max DD trough;2022-10-14;2020-03-19;2025-04-07
Max DD recovered;2023-06-12;2020-04-14;2025-07-03
R² (own 4-ETF basket);0,98453219;0,90969916;0,86518314
Idio vol vs basket (ann.);0,01608465;0,02518767;0,02629633
