,name,median $vol/day (M),CAGR,ann. vol,Sharpe,mean roll SR,sigma_HAC,L,SSR,MBB p,verdict
QQQ,Invesco QQQ Trust,5401.458351,0.183599,0.205963,0.923139,1.076670,8.798046,184,0.122376,0.000999,"SSR=0.12: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
SPY,SPDR S&P 500 ETF Trust,24172.023880,0.122617,0.171839,0.760458,0.969130,8.811914,184,0.109980,0.000999,"SSR=0.11: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
IVV,iShares Core S&P 500 ETF,1047.992362,0.122747,0.172588,0.758607,0.973050,8.871488,184,0.109683,0.000999,"SSR=0.11: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
DIA,SPDR Dow Jones Industrial Average ETF,983.192487,0.100410,0.164986,0.663778,0.897714,9.156931,184,0.098037,0.000999,"SSR=0.10: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.001 < 0.05) — temporal consistency, not a skill claim"
XLF,Financial Select Sector SPDR Fund,1326.835965,0.093028,0.218774,0.517010,0.744108,10.173221,184,0.073144,0.010989,"SSR=0.07: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.011 < 0.05) — temporal consistency, not a skill claim"
IWM,iShares Russell 2000 ETF,4318.248897,0.097052,0.222770,0.528363,0.590701,8.500327,184,0.069492,0.016983,"SSR=0.07: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.017 < 0.05) — temporal consistency, not a skill claim"
EFA,iShares MSCI EAFE ETF,1224.548788,0.038087,0.185514,0.295038,0.413418,9.335782,184,0.044283,0.118881,"SSR=0.04: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.119, mirror p=0.882) — luck-compatible"
GLD,SPDR Gold Shares,1255.845744,0.084141,0.165452,0.572190,0.541813,12.263339,184,0.044182,0.005994,"SSR=0.04: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.006 < 0.05) — temporal consistency, not a skill claim"
XLE,Energy Select Sector SPDR Fund,1153.652632,0.041140,0.272687,0.285383,0.330435,9.666445,184,0.034184,0.135864,"SSR=0.03: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.136, mirror p=0.865) — luck-compatible"
EEM,iShares MSCI Emerging Markets ETF,2050.797693,0.029340,0.215059,0.242589,0.251768,9.519628,184,0.026447,0.123876,"SSR=0.03: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.124, mirror p=0.877) — luck-compatible"
GDX,VanEck Gold Miners ETF,809.816600,0.037462,0.381037,0.287825,0.238867,10.179762,184,0.023465,0.111888,"SSR=0.02: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.112, mirror p=0.889) — luck-compatible"
FXI,iShares China Large-Cap ETF,842.028648,-0.012693,0.269927,0.086971,0.186406,7.968475,184,0.023393,0.378621,"SSR=0.02: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.379, mirror p=0.622) — luck-compatible"
TLT,iShares 20+ Year Treasury Bond ETF,1261.144010,-0.002825,0.150109,0.056160,0.035015,10.375877,184,0.003375,0.403596,"SSR=0.00: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.404, mirror p=0.597) — luck-compatible"
HYG,iShares iBoxx $ High Yield Corporate Bond ETF,1193.666556,-0.005988,0.084031,-0.029553,0.027892,8.698735,184,0.003206,0.468531,"SSR=0.00: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.469, mirror p=0.532) — luck-compatible"
EWZ,iShares MSCI Brazil ETF,778.453083,-0.045290,0.330501,0.026540,0.012923,8.265435,184,0.001564,0.436563,"SSR=0.00: rolling Sharpe NOT distinguishable from 0 (one-sided MBB p=0.437, mirror p=0.564) — luck-compatible"
