,Factor PIT,SJM×crowding v2 (dd-armed),SJM×crowding v1 (always-on),Corr-overlay control
Total Return,1.655392,1.480681,1.103858,1.452646
CAGR,0.139253,0.128949,0.104389,0.127237
Ann. Volatility,0.096657,0.085661,0.072849,0.091174
Sharpe (rf=0),1.428781,1.491933,1.431275,1.390008
Max Drawdown,-0.120805,-0.112423,-0.094745,-0.117550
Calmar,1.152713,1.147001,1.101789,1.082411
VaR 95 (daily),-0.008327,-0.007292,-0.006223,-0.007898
CVaR 95 (daily),-0.013665,-0.011957,-0.010156,-0.012885
Excess Kurtosis,19.714161,27.252279,23.795837,23.994413
Hit Rate,0.570732,0.570732,0.569648,0.570732
SSR (Sharpe Stability),0.133965,0.137899,0.131180,0.131507
SSR MBB p (one-sided),0.000000,0.000000,0.000000,0.000000
SSR MBB p (mirror tail),1.000000,1.000000,1.000000,1.000000
SSR verdict,"SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.000 < 0.05) — temporal consistency, not a skill claim","SSR=0.14: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.000 < 0.05) — temporal consistency, not a skill claim","SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.000 < 0.05) — temporal consistency, not a skill claim","SSR=0.13: rolling Sharpe stably > 0 in this sample (one-sided MBB p=0.000 < 0.05) — temporal consistency, not a skill claim"
"HAC t (mean, NW)",3.808852,4.019026,3.853234,3.708078
Beta (SPY),0.234572,0.177839,0.156160,0.220209
SPY regression intercept (ann.),0.102573,0.102675,0.081524,0.092881
SPY regression R2,0.239683,0.176092,0.196886,0.230427
Basket R2 (4-ETF),0.810993,0.750213,0.758282,0.793211
Basket intercept (ann.),0.011910,0.021708,0.017167,0.006892
Basket appraisal ratio,0.290465,0.522127,0.503758,0.167607
Basket intercept t-stat (HAC),0.860604,1.584809,1.474077,0.490719
