Section;Metric;Buy-and-hold;AI macro-factor;SJM de-risk
Return vs. risk;CAGR;18.1%;13.7%;13.0%
Return vs. risk;Ann. volatility;14.6%;9.2%;8.1%
Return vs. risk;Sharpe;1.23;1.48;1.57
Return vs. risk;Max drawdown;-19.6%;-12.1%;-8.4%
Return vs. risk;Calmar;0.92;1.14;1.55
Return vs. risk;SSR;0.14;0.13;0.13
Benchmark vs. S&P 500;Correlation to S&P 500;0.86;0.49;0.41
Benchmark vs. S&P 500;Beta;0.63;0.23;0.17
Benchmark vs. S&P 500;Active return (ann.);-0.1%;-4.6%;-5.4%
Benchmark vs. S&P 500;Tracking error (ann.);10.5%;17.3%;18.0%
Benchmark vs. S&P 500;Information Ratio;-0.01;-0.27;-0.30
Factor risk and performance;R² (CAPM, 1-factor);0.74;0.24;0.17
Factor risk and performance;Idio vol σε (ann., CAPM);7.5%;8.0%;7.4%
Factor risk and performance;α (regression, ann.);6.5%;9.5%;9.7%
Factor risk and performance;Appraisal ratio (α/σε);0.87;1.18;1.31
Factor risk and performance;R² (4-ETF basket);0.99;0.91;0.87
Factor risk and performance;Residual vol basket (ann.);1.5%;2.8%;2.9%
