# source_table=/home/mc/projects/Global_Macro_AI_Factors/data/provisional_remediation/canonical_reports_devstartfix_full_20260730T154855Z/tables/tear_sheet_trio_ext2026.parquet sha256=1380f9aa2ed77e7b86154d95407e0b9fbd32d92a52f6b02af450310e780497cf
Section,Metric,Buy-and-hold,AI macro-factor,SJM de-risk
Return vs. risk,Total return,240.2%,146.8%,121.4%
Return vs. risk,CAGR,17.8%,12.8%,11.2%
Return vs. risk,Ann. volatility,13.6%,9.3%,7.9%
Return vs. risk,Sharpe,1.10,1.09,1.08
Return vs. risk,Sortino,1.57,1.57,1.54
Return vs. risk,Max drawdown,-17.8%,-11.4%,-8.8%
Return vs. risk,Calmar,0.99,1.12,1.27
Return vs. risk,SSR,0.14,0.13,0.13
Raw market model,Beta,0.57,0.24,0.17
Raw market model,R² (raw market model),0.67,0.25,0.18
Raw market model,Intercept (ann.),7.1%,8.5%,8.0%
Raw market model,HAC t(intercept),2.92,3.14,3.39
Window and provenance,Start,2019-01-03,2019-01-03,2019-01-03
Window and provenance,End,2026-06-30,2026-06-30,2026-06-30
Window and provenance,Number of days,1845,1845,1845
Window and provenance,Cash benchmark,BIL@provisional_market_total_return_fx_2026-06-30_v1,BIL@provisional_market_total_return_fx_2026-06-30_v1,BIL@provisional_market_total_return_fx_2026-06-30_v1
Window and provenance,Currency basis,legacy_mixed_local_quotes,legacy_mixed_local_quotes,legacy_mixed_local_quotes
